# Idx, longitude, latitude, start timestamp, duration, start frame, end frame
0,9.951064860484667429e-01,5.272429075887379302e-01,0.000000000000000000e+00,6.799914359999820590e+02,1,17
1,9.299940965968529483e-01,5.788403428459227840e-01,7.560120239999960177e+02,1.919806169999937993e+02,18,23
2,9.055693648332465706e-01,5.267350759798621329e-01,1.035967861999990419e+03,1.160772060000163037e+02,25,28
3,8.912430292514089691e-01,4.868589819985318368e-01,1.195998751999984961e+03,1.559621909999987110e+02,29,33
4,8.211046816118082736e-01,4.737403507469596375e-01,1.443986044999997830e+03,2.319776480000000447e+02,35,41
5,7.800284247110658153e-01,4.738301539887584957e-01,1.739966639999998733e+03,3.120760569999984000e+02,42,50
6,8.255090107159613888e-01,4.928544854876475423e-01,2.199988945999997668e+03,4.919748839999956544e+02,53,65
7,6.970527188450758027e-01,4.899655657651206253e-01,2.908006813999993028e+03,2.039648999999917578e+02,70,75
8,6.607623066854584337e-01,4.801176782076215233e-01,3.171980945999996038e+03,2.000279199999931734e+02,77,81
9,6.425484032656171296e-01,4.686093656809424690e-01,3.408034703999990597e+03,2.999244170000019949e+02,82,89
10,5.481186077903239529e-01,4.729970137816041920e-01,3.807998170000006212e+03,2.599958119999791961e+02,92,98
11,4.860352145121111800e-01,4.808200976741074939e-01,4.163955209999985527e+03,4.600037740000116173e+02,100,111
12,4.204644394179661848e-01,4.663275276947068670e-01,4.723973228999995627e+03,7.399969609999970999e+02,114,131
13,3.646616161511597731e-01,4.942567418786067979e-01,5.543958834999997634e+03,2.440588660000066739e+02,133,139
14,3.934738541684312807e-01,5.652034741282104813e-01,5.887967512999981409e+03,3.439505170000193175e+02,142,150
15,4.022194145964628209e-01,5.377512747099563173e-01,6.375926157999987481e+03,1.920527480000164360e+02,153,158
16,4.296780991498369007e-01,4.899876343280771263e-01,6.763997998999984702e+03,1.131954750000004424e+03,163,190
17,4.977843251861227003e-01,4.964473132621018969e-01,8.007970093999989331e+03,5.559969339999952354e+02,193,206
18,4.995395715821770999e-01,4.951134056192667554e-01,8.587976651000004495e+03,1.320204229999799281e+02,206,210
19,4.381721686309623109e-01,4.747667463864230220e-01,8.799986573999980465e+03,2.039820060000056401e+02,212,216
20,4.879271795725297345e-01,4.940818982274300941e-01,9.071972085999994306e+03,3.000427349999954458e+02,218,225
21,6.134164628127009022e-01,4.841775409502636629e-01,9.647959551999985706e+03,1.840199850000208244e+02,232,236
22,6.513508168863635373e-01,4.737430785925778043e-01,9.895949411999987205e+03,1.800402380000159610e+02,238,242
23,7.278022329237963106e-01,4.526856270310648522e-01,1.021996271100000013e+04,2.879880309999862220e+02,246,253
24,7.349007412206434164e-01,4.530760856728439645e-01,1.054398171199997887e+04,3.999919770000269637e+02,253,263
25,7.559663895710551085e-01,4.603836953577880031e-01,1.097996959100000095e+04,1.639875419999880251e+02,264,268
26,7.498549768663966830e-01,4.643470311331482359e-01,1.116795620699998108e+04,2.120244630000088364e+02,268,273
27,8.349402442439326499e-01,4.898529119607558657e-01,1.148399091199997929e+04,4.119511720000009518e+02,276,286
28,7.722079258248353284e-01,4.747595930575525536e-01,1.200791837499997928e+04,2.680285750000039116e+02,288,295
29,7.884843434619882574e-01,4.645566832074327079e-01,1.229597255000000587e+04,1.160102059999771882e+02,295,298
30,8.256494765946176262e-01,4.929048545190728436e-01,1.246391303799999878e+04,4.360665670000016689e+02,299,310
31,1.148254091887324080e-02,5.064581291330954027e-01,1.327996708000000217e+04,9.197777499997755513e+01,319,321
32,4.574947027094822261e-02,4.828031496807521084e-01,1.343592812999998569e+04,2.240050409999967087e+02,323,328
33,6.473125942443591629e-03,4.828461825010305075e-01,1.370799717799999053e+04,1.839680959999968763e+02,329,334
34,8.043053232040209277e-01,4.685569185814840720e-01,1.416401578899999731e+04,1.759216479999886360e+02,340,344
35,8.456737605843230865e-01,4.977602985492924903e-01,1.439598687900000368e+04,4.839974320000037551e+02,346,357
36,9.003632026409801314e-01,5.135358119163657697e-01,1.494395247499999823e+04,2.360175499999895692e+02,359,364
37,8.644276840539508733e-01,5.383964093473079249e-01,1.524799348800000735e+04,4.239930469999962952e+02,366,376
38,9.235926519382789968e-01,5.318005040014170959e-01,1.582795100699999603e+04,2.160110519999871030e+02,380,385
39,8.823286220393455892e-01,4.936593818299200853e-01,1.611592307200000505e+04,2.920173849999846425e+02,387,394
40,8.692149187999838045e-01,5.366997288633226226e-01,1.643198172599999816e+04,6.680222619999840390e+02,394,411
41,8.946501579353920430e-01,4.946363004629007465e-01,1.727997295100000338e+04,3.119657219999935478e+02,415,422
42,9.079005493968216323e-01,4.970392435656438845e-01,1.761193889900000067e+04,4.600485359999875072e+02,423,434
43,1.031147304741266146e-01,4.957708854981002222e-01,1.835197691500000656e+04,1.119982439999876078e+02,441,443
44,1.514506811827150412e-01,5.023261589454059983e-01,1.867595714199999929e+04,1.360363769999821670e+02,448,452
45,2.965426418890700910e-01,4.878197344598866891e-01,1.916797849799998221e+04,1.759903570000024047e+02,460,464
46,3.765336817905140521e-01,4.720490447720863125e-01,1.982791924499999732e+04,1.640519740000017919e+02,476,480
0,5.032421955945152181e-01,5.148837104532821840e-01,0.000000000000000000e+00,2.440687160000088625e+02,1,6
1,5.139671847328599608e-01,5.274449376625796049e-01,2.680301719999988563e+02,1.679799399999901652e+02,7,11
2,6.060712447896681176e-01,4.897175773064539328e-01,5.359959110000054352e+02,1.160424980000243522e+02,13,16
3,6.423337898213061781e-01,4.778899378252619012e-01,7.160342689999961294e+02,8.805225599999539554e+01,18,20
4,6.522576986063690629e-01,4.822499480640136671e-01,9.160931090000085533e+02,4.839672359999967739e+02,22,34
5,6.002864071402695956e-01,4.859205610137041775e-01,1.464002036000019871e+03,3.239795799999847077e+02,36,43
6,4.614364578749747814e-01,5.037439168129809186e-01,2.024006445000006352e+03,1.360695360000245273e+02,49,52
7,4.133046028134349514e-01,4.908613130898497046e-01,2.256029857999994420e+03,3.600105730000068434e+02,55,63
8,3.223502448047339541e-01,5.056564194444986837e-01,2.724051015999983065e+03,1.039989040000364184e+02,66,68
9,9.634404537193981266e-01,4.930474129300824737e-01,3.876013003000000026e+03,1.679614080000319518e+02,93,97
10,9.013123112747871701e-01,5.044242267847383054e-01,4.132025812000036240e+03,1.359512179999728687e+02,100,103
11,8.544915458846561451e-01,5.292802791014606933e-01,4.448046465000021271e+03,8.794306099996902049e+01,107,109
12,8.193942581499567002e-01,4.820307022440317724e-01,4.616021558000007644e+03,2.640133599999826401e+02,111,118
