# Idx, longitude, latitude, start timestamp, duration, start frame, end frame
0,9.957818654462993191e-01,4.981824711611250178e-01,0.000000000000000000e+00,2.119989410000271164e+02,1,7
1,1.573993755106706249e-02,5.294336033234668948e-01,2.679831310000154190e+02,1.119923279999638908e+02,9,12
2,8.499377346809028344e-02,6.069012453565714171e-01,4.999538000000175089e+02,2.240009079999872483e+02,16,22
3,8.803571400139564851e-02,6.492515131407600171e-01,7.839671139999991283e+02,2.759819710000301711e+02,24,32
4,7.430013082896108623e-02,6.298186022859348920e-01,1.083961288999998942e+03,5.119794310000143014e+02,33,49
5,8.930208557843094530e-01,6.833026156426577069e-01,1.819962440999981482e+03,1.240250879999948665e+02,55,59
6,8.696917090582734211e-01,7.016532508310567851e-01,2.000009067000006326e+03,9.205481300002429634e+01,61,63
7,8.639617599178384122e-01,5.418523809631192734e-01,2.379975687999976799e+03,1.760363720000023022e+02,72,77
8,8.878132567053940161e-01,5.170534090768562629e-01,2.599988865000021178e+03,2.160807550000026822e+02,79,85
9,1.774098819914299296e-02,5.555872847044911467e-01,2.947971239999984391e+03,1.360324729999992996e+02,89,93
10,8.462424691887204808e-02,6.183913095704192120e-01,3.260002166000020225e+03,3.040280940000084229e+02,98,107
11,1.072783393389891149e-01,6.167134968368344072e-01,3.608015332999988459e+03,6.239979889999958687e+02,109,128
12,7.720770868112980523e-02,6.067463488098789881e-01,4.292064787000010256e+03,1.759174839999759570e+02,129,135
13,1.008043785247466073e-01,7.038477152444790885e-01,4.543966985000006389e+03,2.000599800000200048e+02,137,143
14,1.164026754628804117e-01,7.341517715498070418e-01,4.792005186000023969e+03,1.559848149999743327e+02,144,149
15,1.087547522396528077e-01,6.688974007990503567e-01,5.000044905000017025e+03,2.239447429999709129e+02,151,157
16,3.932036893940581423e-01,6.853284778395880572e-01,5.827991960000013933e+03,1.000034759999834932e+02,175,178
17,4.563327658049894930e-01,5.940929926644598069e-01,6.175966068000008818e+03,8.805966799997258931e+01,186,188
18,4.702186541443842405e-01,5.131818949496671500e-01,6.363966489000013098e+03,7.720064849999616854e+02,191,215
19,5.564595096650343242e-01,5.321978056473477547e-01,7.371967867999977898e+03,2.240080350000062026e+02,222,228
20,6.079592694491080529e-01,6.107521015675159148e-01,7.683949470999999903e+03,1.760523370000300929e+02,231,236
21,6.172663587869235968e-01,7.470390179693553456e-01,7.951947711999993771e+03,1.680152920000255108e+02,239,244
22,4.623263635552061768e-01,5.151354436678932114e-01,8.543940356999984942e+03,1.640064922999998089e+03,257,306
23,3.463136646842481792e-01,6.246764203155263928e-01,1.031996676300000399e+04,1.920599979999824427e+02,310,316
24,3.351953867631256578e-01,6.285568688966525208e-01,1.053234374899999239e+04,9.796479159999871626e+02,316,346
25,4.441255893988593773e-01,5.331375075422603027e-01,1.164798678999999538e+04,2.480165329999872483e+02,350,357
26,4.701428780766820914e-01,5.171756733969791187e-01,1.194001234499999555e+04,1.240045600000303239e+02,359,362
27,5.547675346522722428e-01,5.435971431907491436e-01,1.223199427899997681e+04,4.680331320000113919e+02,367,381
28,5.242008194633671625e-01,5.854756014694449950e-01,1.276797422500001267e+04,3.999993609999655746e+02,383,395
29,5.435328612007888083e-01,5.529821096633962263e-01,1.321197519500000635e+04,3.160112450000015087e+02,397,406
30,5.555351005578523793e-01,5.405837516606076809e-01,1.355997809799999231e+04,4.720858669999870472e+02,407,421
31,6.610507928229888419e-01,6.419166097591397779e-01,1.416398782199999550e+04,1.319771729999920353e+02,425,429
32,6.670330763857459377e-01,4.861557714940198949e-01,1.440800094400002854e+04,1.359751669999677688e+02,433,437
33,6.486504314778782643e-01,4.533862220653400721e-01,1.459999308799998835e+04,6.359623230000142939e+02,438,457
34,7.413802268784130955e-01,4.585922047743191676e-01,1.533594292100000894e+04,1.440735090000089258e+02,460,465
35,7.288919105115649888e-01,4.579280717450185945e-01,1.550397161399998004e+04,1.319703290000325069e+02,465,469
36,6.757995562369180087e-01,4.830478231100813202e-01,1.570393636900000274e+04,3.000779960000072606e+02,471,480
37,6.203764289295321532e-01,7.086729434076770584e-01,1.615196384500002023e+04,1.679676810000091791e+02,485,490
38,6.088304208763736236e-01,6.628343291141620686e-01,1.637195307300001150e+04,2.920415209999773651e+02,491,500
39,5.832300071415096321e-01,6.333515399321859585e-01,1.671996709500002908e+04,1.679805099999648519e+02,502,507
40,6.180840731079111361e-01,6.651543466684530781e-01,1.694400021999998717e+04,3.440094699999899603e+02,508,519
41,2.739016772734705896e-01,6.684313214899321176e-01,1.777996208199998364e+04,9.201176200003828853e+01,534,536
42,1.779085559755640422e-01,5.339477253268039014e-01,1.837198010200000135e+04,2.600387440000195056e+02,551,559
43,1.977986609740225998e-01,5.337209131382003591e-01,1.866804100000002654e+04,1.319731809999793768e+02,560,564
44,1.045801868536498924e-01,5.174207025660964021e-01,1.888402510600001551e+04,2.239350499999709427e+02,567,573
45,1.606559837973470239e-02,5.496069099789830936e-01,1.923599891899997601e+04,1.200094170000520535e+02,577,581
46,9.798822367187880467e-01,6.137908923468688993e-01,1.943602668299997458e+04,4.119354700000258163e+02,583,596
0,5.901017125382008732e-01,5.972398345654392759e-01,0.000000000000000000e+00,1.119946099999942817e+02,1,4
1,5.357626234361612116e-01,5.722115124039592882e-01,1.799841889999952400e+02,3.680533199999990757e+02,6,17
2,5.456486056084783876e-01,5.381401427300129825e-01,5.880302889999948093e+02,1.839208870000002207e+02,18,24
3,4.609778156212795963e-01,5.392735148792062727e-01,8.519712329999965732e+02,2.320014599999994971e+02,26,33
4,4.591457349578377256e-01,5.236557566915925888e-01,1.103968940999999177e+03,2.240667669999966165e+02,34,40
5,4.602039857967044068e-01,5.168760861099093162e-01,1.339954425999996602e+03,9.600328510000035749e+02,41,70
6,4.714278852317086432e-01,5.904071727060161701e-01,2.359982291000000259e+03,2.400191179999965243e+02,71,79
7,4.613742671742191437e-01,5.180500346951359969e-01,2.659985020000000077e+03,7.600264699999970617e+02,80,103
8,3.789171381213284340e-01,5.277237649470106762e-01,3.495959995999997773e+03,1.680018930000005639e+02,105,110
9,3.717878989502416687e-01,6.224115261319432824e-01,3.731961446999994223e+03,3.680028569999994943e+02,112,124
10,3.393045121078457349e-01,6.412568866691792380e-01,4.143924572999996599e+03,2.559991240000017569e+02,125,133
11,3.248078766343930335e-01,5.834286675294509950e-01,4.559964951999994810e+03,1.079840699999986100e+02,137,141
12,3.177309281327729273e-01,5.576249976639722217e-01,4.711949490999999398e+03,3.000412169999981415e+02,142,151
