# Idx, longitude, latitude, start timestamp, duration, start frame, end frame
0,9.797574593083582251e-01,5.100585185289092660e-01,0.000000000000000000e+00,3.359773400000012771e+02,1,11
1,3.033308935811562801e-02,5.101930931753000387e-01,4.160304180000021006e+02,1.120039459999970859e+02,13,16
2,5.162042424570767452e-02,5.185577217495915825e-01,5.680188510000007227e+02,2.360406430000002729e+02,18,25
3,9.688840433684454689e-01,4.936361657207336551e-01,9.079756520000009914e+02,1.520180829999990237e+02,28,32
4,9.511911654455422749e-01,4.811709263430835604e-01,1.096023280000001250e+03,3.279779339999986405e+02,33,43
5,9.577833826389171579e-01,4.958422737734512475e-01,1.663969144000002416e+03,5.160418129999998200e+02,51,66
6,9.907253588375489750e-01,5.442867640111581640e-01,2.244007632000000740e+03,2.479636299999983748e+02,68,75
7,5.016130091975362637e-02,5.262310642024071727e-01,2.567979020999999193e+03,1.000438960000028601e+02,78,81
8,5.778972059244019688e-02,5.229804544967686653e-01,2.684047387999999046e+03,2.759284800000023097e+02,81,89
9,1.820123078317448240e-02,5.286973149358376034e-01,3.027977947999999742e+03,3.440371890000023996e+02,91,102
10,6.475807654784559997e-03,5.077034065666803375e-01,3.407973406000000978e+03,3.480209260000010545e+02,103,113
11,6.502314232583039644e-02,5.203831817336435073e-01,4.164032187000000704e+03,3.279457169999986945e+02,125,135
12,9.488831685724515852e-01,4.908113132713128879e-01,4.599974449000001187e+03,2.720231459999995423e+02,139,147
13,9.205199878985285133e-01,6.004202078691402988e-01,5.263991022000001976e+03,1.239927909999969415e+02,158,162
14,8.939476833941650824e-01,5.636605619590060456e-01,5.439984230000001844e+03,1.920259479999986070e+02,164,169
15,8.915313654423189238e-01,5.240589644856474827e-01,5.663940803000001324e+03,1.760134509999988950e+02,170,176
16,9.411021384537455736e-01,4.968407773584518905e-01,6.023966541000001598e+03,1.200150409999987460e+02,181,185
17,9.270156379695392301e-01,4.902067242617332843e-01,6.175962385999999242e+03,2.359916050000028918e+02,186,193
18,8.420202205360793890e-01,5.702938057553578188e-01,6.523950240000001941e+03,2.560380179999992833e+02,196,204
19,8.299722074700388585e-01,5.533200450536674975e-01,6.828028601000001800e+03,8.798691099999996368e+01,205,208
20,8.118075775723974097e-01,5.431827122063103142e-01,6.948031953000001522e+03,2.799412979999979143e+02,209,217
21,7.945342996373063738e-01,5.364751127831842714e-01,7.247962358000000677e+03,1.920077009999986331e+02,218,224
22,7.599583320102165640e-01,5.381551410574785255e-01,7.500003523999999743e+03,1.720616450000015902e+02,225,231
23,7.274154789376909847e-01,5.378531524466536595e-01,7.740027050000000600e+03,3.919589280000000144e+02,233,244
24,7.133023066147742286e-01,5.521615243034352360e-01,8.175962470000002213e+03,4.680901369999992312e+02,246,260
25,7.446402553583235662e-01,5.615932304075126336e-01,8.691988032000001112e+03,3.360409189999991213e+02,261,271
26,7.468135322994646774e-01,5.539753467709267465e-01,9.216034383000001981e+03,3.039303929999987304e+02,277,286
27,7.908768099634840842e-01,5.368418554674591059e-01,1.021199380999999994e+04,3.640023470000014640e+02,307,318
28,8.089727462789605417e-01,5.409107394016747783e-01,1.072797346999999718e+04,3.520263310000009369e+02,322,333
29,8.159433759969212385e-01,5.282243372621890920e-01,1.109601429400000052e+04,1.320030320000005304e+02,333,337
30,8.004762756556433878e-01,4.770774421038912472e-01,1.128397952700000315e+04,1.000099689999988186e+02,339,342
31,6.805088588377505854e-01,5.136548682916360908e-01,1.168395325800000137e+04,1.680111929999984568e+02,351,356
32,6.496622707449062339e-01,5.115553541041251151e-01,1.190798424299999897e+04,2.440460370000000694e+02,358,365
33,6.215775811506123461e-01,5.194063024575019671e-01,1.221199389399999927e+04,5.359516619999994873e+02,367,383
34,5.670198866666261717e-01,5.343490657089118301e-01,1.284398860799999966e+04,2.359545419999994920e+02,386,393
35,6.514158484584727793e-01,5.930640953109678204e-01,1.318397163900000305e+04,3.519938289999990957e+02,396,406
36,5.332131525489207657e-01,5.760473558655784254e-01,1.396804174100000091e+04,2.399593769999992219e+02,419,426
37,4.924590068914200813e-01,4.923270456755320934e-01,1.457999659899999824e+04,8.798605600000155391e+01,438,440
38,5.012023804402016003e-01,4.492327684654582320e-01,1.471198223999999755e+04,1.320395239999998012e+02,442,446
39,5.145219375572517295e-01,3.861014752841442910e-01,1.490400334100000327e+04,1.160009120999995503e+03,447,482
40,5.079958677276710244e-01,3.850130600268220071e-01,1.614003647099999944e+04,3.599496149999977206e+02,484,495
41,5.075857317581815575e-01,3.839056858969978059e-01,1.651994896400000289e+04,3.360494709999984480e+02,496,506
42,4.247601997266828855e-01,4.862588755779977401e-01,1.698797153100000287e+04,1.999803079999983311e+02,510,516
