# Idx, longitude, latitude, start timestamp, duration, start frame, end frame
0,4.909256994373323302e-01,5.068662039420097631e-01,0.000000000000000000e+00,5.359776060000294819e+02,1,17
1,4.498112044980351332e-01,5.172791937445736510e-01,6.040170340000186116e+02,6.119577099999878556e+02,19,37
2,4.352505090394589438e-01,5.826624585292845548e-01,1.303995580999995582e+03,3.160455400000209920e+02,40,49
3,4.325807423911356420e-01,6.190466562183205568e-01,1.656001954999985173e+03,3.560280300000449643e+02,50,61
4,4.352559379055198630e-01,6.665680352137832720e-01,2.383973862000042573e+03,1.160284529999480583e+02,72,76
5,4.738135681813128164e-01,5.586080813057081595e-01,2.623987408999993932e+03,2.000387540000374429e+02,79,85
6,4.588225744108347381e-01,5.332775246569445571e-01,2.868036582000029739e+03,5.519681499999715015e+02,87,103
7,4.409229185572869358e-01,5.241725549407478812e-01,3.460020865000027698e+03,2.919788960000150837e+02,104,113
8,4.917282256943930063e-01,5.484177857943109968e-01,3.819990722000016831e+03,1.239400480000185780e+02,115,119
9,6.586521493653361148e-01,4.803624550715267505e-01,4.375959715000004508e+03,1.799969029999920167e+02,132,137
10,6.816824485228581976e-01,4.728116961635988602e-01,4.635978334999992512e+03,1.439927330000209622e+02,140,144
11,7.163949841593362233e-01,4.920987049059801777e-01,4.835972898000036366e+03,2.799643909999867901e+02,146,154
12,7.966473400178885056e-01,4.471627895192760160e-01,5.215989168000000063e+03,2.360166949999984354e+02,157,164
13,8.356625292048696085e-01,4.393468449706220413e-01,5.536028423000010662e+03,9.198205200000666082e+01,167,169
14,8.288944978930432583e-01,4.604637975323730981e-01,5.672035719000035897e+03,1.839458579999627545e+02,171,176
15,9.029981225924619270e-01,4.415495169767154060e-01,5.956016635000007227e+03,2.439818879999802448e+02,179,186
16,9.518016552968461275e-01,4.468748577377122944e-01,6.331986159000021871e+03,3.600188949999865144e+02,190,201
17,7.884098519481907985e-03,4.307925192872938958e-01,6.767988294000038877e+03,2.320212679999531247e+02,204,211
18,6.897335715861374617e-02,4.276748683174851351e-01,7.160013650999986567e+03,1.680097680000471883e+02,215,220
19,1.061228915606711176e-01,4.423153823046533928e-01,7.435990884000028018e+03,1.360004539999645203e+02,224,228
20,1.466304171039785609e-01,4.461248087538185469e-01,7.732012818999995943e+03,2.879757710000267252e+02,232,241
21,1.571733782711515204e-02,5.017563061617018594e-01,8.524006489999999758e+03,2.079751520000281744e+02,256,262
22,9.497379827376328798e-01,5.021484253040806589e-01,8.831989615000027698e+03,2.039993980000144802e+02,265,271
23,9.112964840056838600e-01,4.924420675810242676e-01,9.112006180000025779e+03,2.919623600000049919e+02,274,283
24,7.398819423737335033e-01,4.955529076957336798e-01,9.932043674000015017e+03,2.999495069999829866e+02,298,307
25,6.830983565872390528e-01,5.223974477035144837e-01,1.031999035500001628e+04,3.360092719999956898e+02,310,320
26,6.599613552482835876e-01,5.211057479137910509e-01,1.069994333199999528e+04,2.920775420000427403e+02,321,330
27,5.202770244193122284e-01,5.506966996639102163e-01,1.150393383200000972e+04,2.360221119999769144e+02,345,353
28,4.724228116141726552e-01,5.738686555633208952e-01,1.179600852199998917e+04,1.879609570000320673e+02,354,360
29,4.015541093732428735e-01,5.869477612650281229e-01,1.209593721699999878e+04,1.680223119999864139e+02,363,368
30,3.673111770646462215e-01,5.332299288160936568e-01,1.233994476500002202e+04,1.799869239999679849e+02,371,376
31,3.313767465890713471e-01,5.123094515830783902e-01,1.253195531699998537e+04,7.920216110000037588e+02,376,400
32,4.174223514409356461e-01,5.399315277971474814e-01,1.341596268699999200e+04,1.880168360000243410e+02,403,408
33,4.939841406569560611e-01,6.158040880659250149e-01,1.377206370300002163e+04,2.319619669999810867e+02,413,420
34,5.685155138097975902e-01,6.471108624555953481e-01,1.411595491900003981e+04,1.800043149999692105e+02,424,429
35,6.078302431614749368e-01,6.575552446867837242e-01,1.444000898700003745e+04,5.599781049999874085e+02,434,450
36,6.105248149432516147e-01,6.312993482984635696e-01,1.502395366400002968e+04,2.560514189999666996e+02,451,459
37,5.920248163084101956e-01,6.022401836672139908e-01,1.532395306400000118e+04,2.000173710000235587e+02,460,466
38,5.916083225014636682e-01,5.641642080578894713e-01,1.555600597900000867e+04,2.159708519999985583e+02,467,473
39,5.084369554058505436e-01,5.670270087223641120e-01,1.587197311500000069e+04,2.000259240000159480e+02,476,482
40,4.610417932032367938e-01,6.026659294543583734e-01,1.614799624900001800e+04,3.240155789999989793e+02,485,494
41,4.275439048372211559e-01,6.118008458214847511e-01,1.660001059499999974e+04,9.996777400001883507e+01,498,501
42,4.226537221130345356e-01,5.793285560368470755e-01,1.673199538000003668e+04,2.439579399999929592e+02,502,510
