# Idx, longitude, latitude, start timestamp, duration, start frame, end frame
0,9.784279210903545909e-01,5.242474910404690824e-01,0.000000000000000000e+00,3.236731720000097994e+02,1,9
1,1.399816900220374194e-02,4.804164901565975976e-01,3.916897919999901205e+02,3.799646670000220183e+02,10,20
2,9.841317179590436393e-02,4.633542832632788766e-01,8.476719110000121873e+02,2.919760439999809023e+02,22,29
3,1.491323083153998086e-01,5.274435485220736464e-01,1.327691021000006003e+03,1.479556579999916721e+02,34,37
4,1.774004273417659761e-01,5.799234719878105793e-01,1.675641242000012426e+03,1.120039459999825340e+02,42,45
5,1.913319982885892667e-01,6.172289779800994580e-01,1.899656546000012895e+03,3.800775670000002719e+02,48,58
6,2.856088156823517465e-01,5.655363486240668758e-01,2.703677836999995634e+03,1.319947640000027604e+02,68,71
7,2.986239052402965832e-01,5.323499758824754569e-01,2.903652158000011696e+03,1.600710879999969620e+02,73,77
8,3.650503281822967683e-01,4.712049608837326486e-01,3.203716845999995712e+03,1.040102420000184793e+02,81,83
9,3.688183753616482985e-01,4.576328397532072323e-01,3.339688790000014706e+03,9.997290499997325242e+01,84,87
10,3.704207692115000228e-01,4.517319115061860790e-01,3.471665592000004835e+03,7.040059049999981653e+02,87,105
11,4.580010544236138292e-01,4.472919256517755571e-01,4.435692683000001125e+03,2.760145809999958146e+02,111,118
12,4.770552941595110896e-01,4.444617713434133588e-01,4.747664676999993389e+03,1.440563110000221059e+02,119,123
13,4.978285786990410688e-01,4.572911037322950900e-01,4.995659954000002472e+03,1.519881469999963883e+02,125,129
14,5.206458486784550921e-01,4.766314021038403625e-01,5.203680722999997670e+03,3.359964420000032987e+02,131,139
15,5.783425424128150194e-01,4.300149776512600663e-01,5.671671358999999939e+03,8.520208630000124685e+02,142,164
16,4.960493320133884110e-01,5.580108791688664915e-01,6.627693341000005603e+03,4.319682190000021365e+02,166,177
17,5.067254782979517813e-01,6.525797417729054528e-01,7.439700922999996692e+03,1.119597550000180490e+02,187,189
18,5.154029761931383513e-01,7.119933738132226964e-01,7.603684473000001162e+03,6.079734020000032615e+02,191,206
19,4.758344847413598089e-01,7.980424146281107634e-01,8.343624129000003450e+03,2.360164090000034776e+02,209,215
20,4.948933744494918852e-01,8.147565270968983864e-01,8.723627569000003859e+03,2.240338359999877866e+02,219,224
21,4.349720585127532235e-01,7.922969771351844326e-01,9.047617774000013014e+03,8.004509599998709746e+01,227,229
22,4.341958815233051272e-01,7.903908128185697102e-01,9.247635715999989770e+03,4.600225910000153817e+02,232,243
23,5.042934381150738776e-01,7.170934150667014340e-01,1.002766448999999557e+04,1.360440750000125263e+02,251,255
24,5.268182338516084195e-01,7.446809727420331537e-01,1.038765031299999100e+04,8.005136700000730343e+01,260,262
25,5.309853392677573725e-01,7.754187672263077591e-01,1.048768850600000587e+04,1.679536030000017490e+02,263,267
26,5.505300998931104139e-01,7.850098043829625283e-01,1.068765883599998779e+04,3.481506470000022091e+02,268,276
27,5.846676841226432497e-01,4.986559602831585059e-01,1.127966336100001354e+04,1.160734989999909885e+02,283,285
28,5.808342277804739995e-01,4.488825743080759878e-01,1.143966060800000560e+04,3.200324120000004768e+02,287,295
29,4.973376981842867472e-01,4.273849557486812945e-01,1.186368986199999927e+04,1.639501940000045579e+02,297,301
30,4.748471406757188706e-01,3.877933964463772254e-01,1.207567583699998795e+04,1.879635220000054687e+02,302,307
31,5.922246239342234819e-01,4.131014908924350859e-01,1.236364676199998939e+04,7.840487190000130795e+02,310,329
32,4.792959208431657459e-01,5.163632998013407693e-01,1.338766198599999188e+04,9.197749099999782629e+01,335,338
33,4.906983615877298366e-01,5.229730716698099968e-01,1.349162689700000919e+04,5.920344610000029206e+02,338,353
34,3.769946046331937861e-01,4.732608890735376939e-01,1.431967263499999535e+04,1.207991873999999370e+03,359,389
35,3.821233172108278175e-01,4.811807352804617910e-01,1.561566253800000413e+04,1.752024195000005420e+03,391,435
36,3.753816216721248544e-01,4.936041220555347220e-01,1.739167468799999915e+04,8.802710999999544583e+01,435,438
