# Idx, longitude, latitude, start timestamp, duration, start frame, end frame
0,5.084787012402764983e-01,4.912025600890650434e-01,2.960148069999995641e+02,1.760182979999808595e+02,8,13
1,6.327753187739271201e-01,5.402301020828835787e-01,6.399638989999657497e+02,3.680442449999973178e+02,17,26
2,7.193441195323553305e-01,5.940025163461331026e-01,1.235983807999989949e+03,4.240255480000050738e+02,32,42
3,6.856661639983977485e-01,6.040154181847763315e-01,1.712016044999996666e+03,1.119968189999926835e+02,44,46
4,6.366159610335513364e-01,5.700179784053650556e-01,1.904047124999982771e+03,1.879455609999713488e+02,48,53
5,6.252247229998249001e-01,5.553788559277397230e-01,2.103985807999968529e+03,3.320107089999946766e+02,53,62
6,6.721768989032156361e-01,4.764613846092725646e-01,2.528008219999959692e+03,1.560331820000428706e+02,64,68
7,7.573892185429196289e-01,4.693867182559497975e-01,2.752017822999972850e+03,2.439374120000284165e+02,70,76
8,8.855738799271049011e-01,4.839224028084244678e-01,3.320038669999979902e+03,2.359759249999769963e+02,84,90
9,9.356426567524085414e-01,4.882123833242313360e-01,3.619997869999962859e+03,2.360300939999870025e+02,91,97
10,9.598336965840614798e-01,4.847140242077856431e-01,3.912015539999993052e+03,2.280141519999597222e+02,99,104
11,9.270815695744306639e-01,5.276567312854013592e-01,4.191991905000002589e+03,2.720120269999606535e+02,106,112
12,3.738605319698679041e-02,5.039142081494260017e-01,4.548015942999976687e+03,6.320072589999763295e+02,114,130
13,8.757449472724537776e-02,5.004550192951608967e-01,5.244023297999985516e+03,4.119323549999971874e+02,132,142
14,6.660364173134242227e-02,5.053733976776718650e-01,5.687998609000002034e+03,1.879997299999813549e+02,143,148
15,9.253811344953718487e-01,5.316674029400654256e-01,6.067963844999962021e+03,4.359921559999929741e+02,152,163
16,8.704397691293574990e-01,5.063411325080062753e-01,6.576012239000003319e+03,2.319961789999506436e+02,165,171
17,6.385552442285753472e-01,5.434870539455046723e-01,7.408016055999964010e+03,3.599570270000258461e+02,186,195
18,6.366880997949611043e-01,5.316154566872491882e-01,7.787993266999954358e+03,1.800197110000299290e+02,195,200
19,6.843286420031331474e-01,5.221720275665124866e-01,8.036009640999953263e+03,2.239899300000397488e+02,202,207
20,7.542767194020458810e-01,5.285754705419378752e-01,8.347979924999992363e+03,3.240016089999699034e+02,209,218
21,7.682960225821839906e-01,5.109504254751580099e-01,8.715972280999994837e+03,2.360859749999945052e+02,219,225
22,7.207478774392979126e-01,6.165945105891632583e-01,9.060027145999949425e+03,1.919472600000444800e+02,227,232
23,7.072516331805580592e-01,6.318324663080960857e-01,9.323973052999994252e+03,1.840296779999625869e+02,234,238
24,8.734588128561300291e-01,6.263972312567603895e-01,9.675996532999968622e+03,1.440152550000348128e+02,243,246
