# Idx, longitude, latitude, start timestamp, duration, start frame, end frame
0,9.648267713582222571e-01,4.258625149375051544e-01,0.000000000000000000e+00,1.519850109999970300e+02,1,5
1,9.966412737998679994e-01,4.650810532643805395e-01,2.159751280000054976e+02,8.797351099998923019e+01,7,10
2,1.813989968781348772e-02,4.940135415113877659e-01,3.479553520000044955e+02,1.119993839999951888e+02,11,14
3,5.953250163684115082e-02,5.217381765190123311e-01,5.279628039999952307e+02,4.120099029999983031e+02,16,29
4,1.083160345495502441e-01,5.120363044657172402e-01,1.008094815000004019e+03,1.998374709999916377e+02,31,37
5,2.439576550244748621e-02,6.150643104329499566e-01,1.311973603999998886e+03,3.239662570000073174e+02,40,50
6,1.246917245816085984e-01,5.237540707896106706e-01,1.807914835000003222e+03,1.720108959999924991e+02,55,60
7,1.020555708749653623e-01,5.057262772090735936e-01,2.111973809000002802e+03,3.159659959999989951e+02,64,73
8,1.518413288049965670e-01,4.959113221372799529e-01,2.495935043000004953e+03,2.760120150000002468e+02,75,84
9,2.027869801240179681e-01,4.942694670005710611e-01,2.851933422000001883e+03,3.119719939999922644e+02,86,95
10,2.368715116190528436e-01,4.911037966567101121e-01,3.223944583000004059e+03,3.200061829999904148e+02,97,107
11,2.863585579300260697e-01,4.828673719030696088e-01,3.691985967000000528e+03,2.079962499999965075e+02,111,117
12,3.338441106985990947e-01,4.133603098974995005e-01,4.127972135999996681e+03,4.119788269999990007e+02,124,137
13,4.181686219810676342e-01,4.578967071264201660e-01,4.807992652000000817e+03,1.559975439999980154e+02,145,149
14,3.707276600714612957e-01,4.848623130496468869e-01,5.031980301999996300e+03,2.119514770000096178e+02,151,158
15,4.494379338126869294e-01,4.328442827673808502e-01,5.363913178000002517e+03,1.800453710000001593e+02,161,167
16,4.593040529694205620e-01,4.010395113554164892e-01,5.592014286999998149e+03,1.999834439999976894e+02,168,174
17,4.788216466522410286e-01,3.908314931080764110e-01,5.831944868999999017e+03,1.680072020000079647e+02,175,180
18,5.071712502468904704e-01,4.822306261256031901e-01,6.199954901999997674e+03,1.063970629999996163e+03,186,218
19,5.093261908187537435e-01,4.370361358504695204e-01,7.331960970000000088e+03,2.440175259999959962e+02,220,228
