# Idx, longitude, latitude, start timestamp, duration, start frame, end frame
0,9.995260358544701962e-01,5.195684695546174403e-01,0.000000000000000000e+00,2.560042559999856167e+02,1,8
1,9.565084706540403214e-01,4.861499195955384378e-01,3.480505149999517016e+02,8.795104499999433756e+01,11,14
2,9.154083890277681101e-01,5.683834590311825918e-01,5.160281749999849126e+02,2.040357369999983348e+02,16,22
3,9.060361512555832331e-01,5.864888748819648834e-01,8.280248879999853671e+02,1.319919980000122450e+02,25,29
4,9.094183403569380264e-01,6.898837129469725937e-01,1.052021519999951124e+03,1.832020859000040218e+03,32,87
5,9.166177363233218855e-01,6.131901551209133494e-01,2.960024241999955848e+03,2.800589400000171736e+02,89,98
6,9.085815852546533788e-01,6.818076099859244898e-01,3.295993529999977909e+03,5.280615039999829605e+02,99,115
7,9.119167038629393263e-01,6.447261740087618653e-01,3.864051804999995511e+03,2.280197159999515861e+02,116,123
8,9.120903263588643339e-01,5.967942652292028693e-01,4.144081093999964651e+03,3.359367869999841787e+02,125,135
9,9.042715783732697687e-01,6.592764518786070616e-01,4.536012334999977611e+03,1.680050289999926463e+02,137,142
10,9.224667499879448673e-01,6.897151210220749951e-01,4.747993883999995887e+03,2.560290589999640360e+02,143,151
11,7.524392139365796428e-01,6.823123012634135787e-01,5.128018665999989025e+03,9.200891099998261780e+01,154,157
12,7.494756879558956975e-01,6.709261873933611842e-01,5.352049509999982547e+03,8.797556300001451746e+01,161,164
13,4.174638211127640330e-01,4.617102600721456618e-01,6.379995817999995779e+03,9.600804599997354671e+01,192,195
14,2.924556438993118901e-01,6.884991569381738730e-01,7.183981986999977380e+03,2.560059659999678843e+02,216,224
15,3.658605414561968416e-01,6.791055792088847021e-01,7.515999751999974251e+03,1.480201859999797307e+02,226,230
16,3.724768063894463577e-01,6.044677290671611747e-01,7.732034035999968182e+03,4.600553879999788478e+02,232,246
17,4.041609251143911674e-01,5.816040348011451977e-01,8.244025725999963470e+03,1.879847399999853224e+02,248,253
18,3.782603868210081544e-01,5.449194539660020542e-01,8.492034846999973524e+03,2.680273210000013933e+02,255,263
19,4.045076108210533539e-01,4.786604779605350135e-01,8.836050017999950796e+03,1.760209759999997914e+02,265,271
20,4.194965083520272309e-01,4.074501109856361047e-01,9.096063957999984268e+03,1.439677359999623150e+02,273,278
21,4.005811950102613483e-01,3.924662626055024361e-01,9.296038121999998111e+03,2.680056539999786764e+02,279,287
22,4.720340138378830153e-01,6.201205462041147198e-01,9.772027043999987654e+03,1.479893949999823235e+02,294,298
23,5.304741147810538848e-01,6.103190657084844872e-01,1.000004504999995697e+04,1.400113659999915399e+02,300,305
24,5.386249817778641091e-01,5.784144011033630628e-01,1.020805340699997032e+04,1.919673409999813884e+02,307,312
25,5.594659213585284618e-01,5.552057111123008815e-01,1.045600864399998682e+04,2.120054980000131764e+02,314,320
26,6.146022255424843372e-01,4.970780076375358458e-01,1.076002818399999524e+04,1.319831600000034086e+02,323,327
27,6.484771050986083418e-01,4.911985409782858580e-01,1.094805996699997922e+04,1.319880059999995865e+02,329,333
28,6.691065297979394977e-01,4.851144832773134352e-01,1.113605325999995694e+04,1.119276110000209883e+02,334,338
29,9.367150237671442170e-01,6.305368569574861803e-01,1.185200599099998362e+04,2.160274409999838099e+02,356,362
30,9.136938537914260916e-01,6.861879362503803259e-01,1.213201019099995028e+04,5.920040500000468455e+02,364,382
31,9.410697728104988613e-01,6.222325815726961196e-01,1.279200610099994810e+04,2.000328950000111945e+02,384,390
32,9.153744279842512821e-01,6.394190214687831553e-01,1.303601551599998493e+04,3.999648639999795705e+02,391,403
33,9.081562959566300552e-01,6.807901788379625563e-01,1.347201564999995753e+04,2.560014049999881536e+02,404,412
34,9.097549348757127952e-01,5.973275181697973446e-01,1.380801572899997700e+04,1.919987020000116900e+02,414,420
35,9.043778436658630460e-01,5.912336455749012121e-01,1.400797991499997443e+04,2.440795500000240281e+02,420,428
36,9.069444492026359494e-01,6.761837782809747566e-01,1.432000912999996217e+04,5.600004180000396445e+02,430,447
37,9.111475993485622649e-01,6.445460498448237763e-01,1.493604077999998117e+04,2.880095979999750853e+02,448,457
38,9.204898052844476819e-01,6.313422189410877738e-01,1.524800812799995765e+04,3.119930070000118576e+02,458,467
39,9.038774112993160914e-01,6.860176941854058130e-01,1.562799983799998881e+04,3.800863639999879524e+02,469,480
40,9.053720929221166225e-01,6.581315158960587830e-01,1.601606508599995868e+04,6.599970500000054017e+02,481,500
41,9.278914217361616812e-01,6.093566495012485706e-01,1.673608109999995213e+04,2.855979150000028312e+03,502,588
0,5.009605437444133447e-01,5.189252818576544080e-01,0.000000000000000000e+00,7.839893519999895943e+02,1,24
1,5.289891049868087336e-01,5.009902148792393373e-01,8.279818369999993593e+02,3.319835529999982100e+02,25,35
2,5.058077147477537672e-01,3.866158147741253215e-01,1.295974199000003864e+03,2.680216199999995297e+02,39,48
3,5.017233227873667545e-01,3.402987747416215125e-01,1.624057262000002083e+03,1.759206199999898672e+02,49,55
4,4.984510303615891091e-01,3.021509118038820940e-01,1.843969228000001749e+03,1.120228349999961210e+02,56,59
5,4.956880144943891509e-01,2.421755141606796169e-01,2.011967413999998826e+03,2.800751909999962663e+02,61,69
6,4.831566798037070232e-01,1.465822339917471906e-01,2.379979963999998290e+03,3.240080909999960568e+02,72,82
7,4.813367590118213801e-01,9.878392879188457876e-02,2.723953796000001603e+03,2.120633739999902900e+02,82,89
8,4.918243066444862865e-01,6.500962677058774730e-02,2.971953794000000926e+03,1.679967610000021523e+02,90,95
9,6.322113587801609924e-01,3.535777281134588890e-02,3.203961240999997244e+03,3.400434059999970486e+02,97,107
10,7.539018805764122755e-01,4.104741821769020138e-02,3.572006292999998550e+03,4.519550500000041211e+02,108,121
11,8.950154806223696857e-01,1.678094302838628593e-02,4.055975808999995934e+03,4.239879019999934826e+02,122,135
12,9.865232638005746457e-01,5.554415279263902328e-02,4.527982131999990088e+03,1.079835000000020955e+02,136,140
13,2.517468375222199350e-01,7.219002849447464509e-02,4.795964976999995997e+03,1.199934510000020964e+02,144,148
14,4.079525434576584120e-01,6.966394408992959697e-02,4.979955999999991036e+03,8.405711100000189617e+01,150,152
15,4.682739545701206652e-01,6.887408428167318686e-02,5.096014177999997628e+03,4.439208559999970021e+02,153,167
16,4.124346446700486446e-01,1.668949489326536639e-01,6.023954444000002695e+03,2.079966690000001108e+02,181,187
17,3.772217456355597687e-01,2.664418212416732601e-01,6.331942043999995803e+03,3.480345490000036079e+02,190,201
18,3.705299196145281915e-01,4.132847734528812822e-01,6.779945855999991181e+03,2.160365650000021560e+02,204,210
19,3.783916944444285502e-01,5.153843038251486597e-01,7.068006202999997186e+03,2.280410989999945741e+02,213,219
20,3.937121176478204365e-01,6.306716075712295311e-01,7.371955038000000059e+03,2.360379439999960596e+02,222,229
21,4.072411278575540639e-01,7.426168588220033451e-01,7.684000788999997894e+03,3.040312299999932293e+02,231,240
22,4.015572772589892647e-01,8.088454095642605424e-01,8.055970849999997881e+03,6.040248350000038045e+02,242,260
23,3.739874715467312871e-01,8.445581629230032306e-01,8.704002139999996871e+03,4.919940179999975953e+02,261,276
24,4.164681569896344637e-01,8.028731316149548825e-01,9.276020776999997906e+03,3.399250880000035977e+02,279,289
25,4.017136572576391895e-01,7.490773766444873694e-01,9.807995029999990948e+03,2.880104540000029374e+02,295,303
26,4.038332862559974590e-01,7.180836767220248884e-01,1.011996522899999400e+04,2.160248750000027940e+02,304,310
27,3.907505976361624889e-01,6.804881255969089660e-01,1.036395468699999037e+04,1.800275240000046324e+02,311,317
28,3.279753124983733059e-01,6.177182578713122929e-01,1.063601278999999340e+04,1.319406790000066394e+02,319,323
29,2.786967088367692247e-01,5.904907973858508630e-01,1.086795551899999555e+04,5.040059630000032485e+02,326,341
30,2.416697897255294381e-01,5.870501576957322110e-01,1.142796676999999909e+04,4.120047510000003967e+02,343,356
31,2.178096005065165985e-01,5.820693353334949194e-01,1.188396828299999470e+04,1.160000169999984792e+02,357,360
32,2.088613740057392865e-01,5.387658078563157815e-01,1.205193510799999058e+04,4.160115840000071330e+02,362,374
33,1.646361060389832653e-01,6.052396224775747902e-01,1.253595594400000118e+04,5.679844329999905312e+02,376,393
34,1.657124058019803226e-01,5.905850963595085101e-01,1.322795178000000305e+04,1.879998510000004899e+02,397,403
35,2.017128078402765090e-01,6.005379274168189951e-01,1.353995048899999529e+04,1.072020617999995011e+03,406,439
36,1.853217916924593811e-01,5.357205222525939226e-01,1.480397693599999184e+04,5.680006839999987278e+02,444,461
37,1.054762071984619021e-01,5.223818253803416134e-01,1.549197050100000342e+04,3.720390549999865470e+02,465,476
38,7.786602207039250434e-02,4.957732166437629484e-01,1.593201966299999913e+04,1.639602769999910379e+02,478,483
39,7.544209544684354896e-02,4.600357969948518644e-01,1.611600355700000364e+04,2.239932109999936074e+02,484,490
40,7.659642156572743499e-02,3.811440409673076957e-01,1.643198344100000395e+04,9.996954799999366514e+01,493,496
41,7.564405066999640992e-02,3.122713314262042239e-01,1.661198045899999852e+04,4.439975499999854947e+02,498,512
42,7.633581717375215181e-03,4.816976727125521496e-01,1.716798544799999218e+04,1.119877670000132639e+02,515,519
43,2.790543233598608008e-02,6.019731627028113152e-01,1.735598501400000532e+04,2.519928599999984726e+02,521,528
44,9.868452662282787280e-01,6.541907630076618796e-01,1.767998825699998997e+04,2.359592560000019148e+02,531,538
