# Idx, longitude, latitude, start timestamp, duration, start frame, end frame
0,9.642663172763816792e-01,5.238632198438160081e-01,0.000000000000000000e+00,3.239542819999915082e+02,1,9
1,9.893657233735886347e-01,5.093814316839164746e-01,3.719997569999832194e+02,1.800282639999932144e+02,10,14
2,1.617769018913817192e-02,5.050186800271723175e-01,6.040027790000021923e+02,3.839640839999774471e+02,16,25
3,8.863586010601779419e-01,5.717304390176723983e-01,1.143987215000001015e+03,8.799888499997905456e+01,29,31
4,8.526044119367410801e-01,5.899275833252033419e-01,1.316016357999993488e+03,1.080145069999853149e+02,33,36
5,8.243293772386206530e-01,5.422132975424805990e-01,1.512050277000002097e+03,1.319041009999928065e+02,38,42
6,8.134223239974511799e-01,5.030338400242634345e-01,1.688000149999978021e+03,2.040008230000094045e+02,43,48
7,8.140314162859040303e-01,5.292690788965981330e-01,1.924198454999976093e+03,5.477765730000101030e+02,49,62
8,7.528891561740745919e-01,5.187451040170121264e-01,2.551981348999979673e+03,3.000082380000094417e+02,64,72
9,7.042164032878666102e-01,4.949552978485198818e-01,2.967932223999989219e+03,3.280184189999999944e+02,75,83
10,6.753507239707979837e-01,5.185854393767213022e-01,3.371969805999979144e+03,1.760259950000036042e+02,85,89
11,6.470319687593752978e-01,4.970886059427432890e-01,3.599983102999976836e+03,2.319551240000000689e+02,90,96
12,6.114256656553295199e-01,5.070601048491489848e-01,3.895976811999978963e+03,2.839472729999979492e+02,98,105
13,5.736841392946492313e-01,5.141086218042153488e-01,4.232000054000003729e+03,2.160563829999882728e+02,106,112
14,5.418770560349892573e-01,5.012013891052766734e-01,4.503934817999979714e+03,6.120586360000015702e+02,113,128
15,4.913111096152877888e-01,5.020918200443165169e-01,5.187986113999999361e+03,2.439978539999865461e+02,130,136
16,5.071260226318751174e-01,5.118170874461570596e-01,5.464016945999988820e+03,2.559912609999882989e+02,137,144
17,5.290976235682262052e-01,5.191022592390139856e-01,5.763992111999978079e+03,4.159830910000018775e+02,145,155
18,4.787960005600473412e-01,5.058779443326879566e-01,6.243999817999982042e+03,3.079836960000102408e+02,157,164
19,5.020486140540728615e-01,5.196427368618830034e-01,6.591957165999978315e+03,2.120238930000050459e+02,165,171
20,5.307616486515278620e-01,5.376404594124788439e-01,6.864020511999988230e+03,9.599543999999877997e+01,172,175
21,5.416967227771727345e-01,5.532774279247663074e-01,7.028041124999988824e+03,2.559091520000074524e+02,176,183
22,5.125858081908486463e-01,5.619128679278786453e-01,7.343988588999985950e+03,1.680183210000104737e+02,184,188
23,4.776167457815450046e-01,5.502015823857043797e-01,7.551976570999977412e+03,3.959979760000132956e+02,189,199
24,5.011568582621018786e-01,5.493722773187629249e-01,7.991994088999985252e+03,2.800222669999930076e+02,200,207
25,4.749338699835431443e-01,5.293181530385424605e-01,8.323988547999993898e+03,3.799948870000080206e+02,209,218
26,4.332290393928950323e-01,5.195217906896791860e-01,8.771949307000002591e+03,2.920675629999896046e+02,220,227
27,4.867766621337006328e-01,5.209608975681812026e-01,9.139950501999992412e+03,1.680168950000079349e+02,229,233
28,5.166858624105445941e-01,5.208328984112720050e-01,9.343951609999989159e+03,5.559898059999977704e+02,234,248
29,4.992117320648234990e-01,5.220478397509960011e-01,9.931974963999993633e+03,3.239457300000067335e+02,249,257
30,4.739363718908994327e-01,5.170780315105365510e-01,1.030398441499998444e+04,2.519738819999911357e+02,258,264
31,4.795788881011382454e-01,5.018024344912410672e-01,1.059196332300000358e+04,4.999928220000001602e+02,265,278
32,5.042722880966061805e-01,5.255484583941281151e-01,1.113991894000000320e+04,4.120389839999843389e+02,279,289
33,4.776342529193480235e-01,5.294423350002539497e-01,1.160793010299999150e+04,2.320366639999847393e+02,291,297
34,4.023753571816497399e-01,5.071812188875406413e-01,1.195995785999999498e+04,1.600251869999920018e+02,299,304
35,3.657633141702592017e-01,4.976434726038259093e-01,1.217595237600000110e+04,1.280218599999789149e+02,305,308
36,3.461812023207782030e-01,4.981231979173914581e-01,1.234800005000000237e+04,5.639752419999858830e+02,309,323
37,4.017392286067568152e-01,5.024124650573196238e-01,1.298395825899997726e+04,3.439969890000065789e+02,325,334
38,3.408303397525869194e-01,5.011507704784088357e-01,1.340796784199998365e+04,3.999717339999915566e+02,336,346
39,4.285084958705591696e-01,5.085507691348573056e-01,1.411998455699998885e+04,3.799552580000017770e+02,354,363
40,3.441588868810927515e-01,5.136899098991992707e-01,1.459204132499999832e+04,4.359579429999866989e+02,365,376
41,3.309536525924247075e-01,5.075969574721967970e-01,1.504793734199999017e+04,1.360355219999910332e+02,377,380
42,3.335317530913763928e-01,4.980745416421337168e-01,1.539196198599998024e+04,2.720197250000201166e+02,385,392
43,3.116568928701223262e-01,4.934318272770527036e-01,1.570793083299999125e+04,1.240486709999968298e+02,393,396
44,4.078542819619304094e-01,5.039769784455385704e-01,1.593199403499998152e+04,3.679441740000038408e+02,399,408
45,4.277456599464357634e-01,4.970616986210594224e-01,1.635595942599998671e+04,2.119819830000051297e+02,409,415
46,4.211201232231522873e-01,4.972168444793542141e-01,1.672393610199997784e+04,4.039859780000115279e+02,419,429
47,3.208858158773745251e-01,5.162731168613751143e-01,1.721592124999998487e+04,4.480174950000073295e+02,431,442
48,4.138400986253183422e-01,5.096172734188996190e-01,1.776392647499998566e+04,3.480200710000062827e+02,445,453
49,4.979205740562524518e-01,5.135511298376700395e-01,1.838790752799998154e+04,9.999343200001749210e+01,460,463
50,5.445531919966677403e-01,4.958559255920772513e-01,1.861190715199999977e+04,1.560491469999833498e+02,466,470
51,6.102652227308003052e-01,4.842316499670764607e-01,1.891198609500000020e+04,2.439605060000030790e+02,473,479
52,6.463329987954529177e-01,4.912248845780806672e-01,1.921592903299999307e+04,1.440135449999943376e+02,481,484
53,7.114714559835454422e-01,5.567130246477629552e-01,1.946400356799998553e+04,3.439348370000079740e+02,487,496
54,7.579287582735515505e-01,5.378750750039162920e-01,1.988393475899999612e+04,1.679940869999991264e+02,498,502
0,4.804577121130038098e-01,5.288023750961745595e-01,0.000000000000000000e+00,4.399476700002560392e+01,1,2
1,4.597476687453827537e-01,5.048900276741234983e-01,1.039966240000212565e+02,3.320425689999829046e+02,3,11
2,5.224265225219485442e-01,5.272466709273010421e-01,5.240444070000085048e+02,2.600048160000005737e+02,14,20
3,5.568001568749945118e-01,5.221601846897236943e-01,8.640709920000517741e+02,2.199458919999888167e+02,22,28
4,5.920878665271231966e-01,5.070360761046830422e-01,1.152048089000047185e+03,1.600369789999676868e+02,29,33
5,6.580447521914722930e-01,5.026385564286421914e-01,1.668023803999996744e+03,1.640133060000371188e+02,42,46
6,5.180088451042843545e-01,5.164848283998132450e-01,2.080030550000024959e+03,1.119849159999866970e+02,52,55
7,4.881752994841679349e-01,4.980105210968692742e-01,2.248018188000016380e+03,1.879813190000131726e+02,57,61
8,4.466257127145097927e-01,5.122669210661442429e-01,2.504136200000008103e+03,1.239004970000241883e+02,63,66
9,3.234906185593193761e-01,5.676355659514891183e-01,2.892016701000044122e+03,1.280427550000022165e+02,73,76
10,2.633379755944894596e-01,5.537759043011997173e-01,3.116018465000030119e+03,1.000593549999757670e+02,78,81
11,3.259710310667793820e-01,5.475690921595937066e-01,3.376015298000012990e+03,1.199988679999951273e+02,85,88
12,4.894722354194582792e-01,5.320898238454569995e-01,3.932049082000041381e+03,2.680025169999571517e+02,99,106
13,4.955498609342354754e-01,5.213924545850605607e-01,4.236044389000046067e+03,3.559829269999754615e+02,106,115
14,5.263785306393248264e-01,5.215517896471602022e-01,4.672021999000047799e+03,2.079898260000045411e+02,117,123
15,5.535845503610160590e-01,5.220504319535268500e-01,4.927997174000018276e+03,1.360401710000005551e+02,124,127
16,6.006050625229495399e-01,5.362983153436426953e-01,5.128041759000043385e+03,1.559691339999553747e+02,129,133
17,6.648727516209954613e-01,5.128686420694279491e-01,5.340040414000046439e+03,1.119891929999575950e+02,134,137
18,6.591772662825650109e-01,5.156582075465645509e-01,5.563996846000023652e+03,2.120211789999739267e+02,140,145
19,7.180149722183695182e-01,5.079399527896628630e-01,6.200037288000050467e+03,1.232017111999972258e+03,156,186
20,8.862722444013326761e-01,4.868888920104940121e-01,7.788056714000005741e+03,1.799496919999946840e+02,195,200
21,9.901489114335133568e-01,5.192739479254860901e-01,8.379996901000034995e+03,2.199983519999659620e+02,210,216
22,9.605445287068695714e-01,5.081410845902595286e-01,8.656027340000029653e+03,1.479979479999747127e+02,217,221
23,7.444487890191068269e-01,5.230777892805101859e-01,9.080039476000005379e+03,1.239945820000139065e+02,228,231
24,7.789250711437962771e-01,5.062959346435251806e-01,9.248012288000027183e+03,3.920695159999886528e+02,232,242
25,5.218372148550726175e-01,9.401112211422884002e-01,1.045200124000001233e+04,1.320302019999944605e+02,262,265
26,4.068497548414520271e-01,9.324582127499581041e-01,1.070802973000000929e+04,1.399643240000004880e+02,269,272
27,6.280761203232136936e-01,9.555234200926814303e-01,1.091602468800003408e+04,1.840346429999917746e+02,274,278
28,4.046722568481634363e-01,7.801948056970533507e-01,1.137198828200000571e+04,1.560004950000438839e+02,285,289
29,4.650950093054924128e-01,7.406664481866731542e-01,1.159203795200004242e+04,2.480364909999771044e+02,290,297
30,4.374602590751268671e-01,7.175223641925160267e-01,1.191206258700002218e+04,4.079765350000234321e+02,298,309
31,4.960696745915134098e-01,5.521725822671218475e-01,1.250400163400004385e+04,2.520065459999605082e+02,313,319
32,4.977965551332816929e-01,5.381606547114543559e-01,1.276802668400004040e+04,1.360256299999891780e+02,320,323
33,5.401670472374728860e-01,5.449756767792337531e-01,1.295999944100005087e+04,1.559771159999654628e+02,324,328
34,4.865615055157311852e-01,5.502372931712342652e-01,1.319201173500000732e+04,4.359736189999966882e+02,330,341
35,4.805882864676729316e-01,5.274463902583730324e-01,1.367201176700001815e+04,2.160322879999876022e+02,342,348
36,4.580411147083183199e-01,5.126376381335420174e-01,1.393198579200002132e+04,1.439782850000192411e+02,349,352
37,3.984550434873643798e-01,5.092035155270898672e-01,1.414399927300005220e+04,1.759887589999707416e+02,354,359
38,3.863004727290432205e-01,5.079598309303907655e-01,1.436401102400000673e+04,1.440019479999900796e+02,360,363
39,3.464253479921999279e-01,5.158385317812097526e-01,1.457603476800001226e+04,1.600215840000309981e+02,365,369
40,3.384360411009970093e-01,5.024883972557303569e-01,1.476799982800002908e+04,1.360464420000207610e+02,370,373
41,5.921711929893972437e-01,5.411330988251501495e-01,1.526800608600000851e+04,1.599913620000006631e+02,382,386
42,5.914278880028732699e-01,5.153078321029853637e-01,1.544799027500004740e+04,1.480275979999569245e+02,387,390
43,5.382862254255960099e-01,5.451147211929998626e-01,1.567200714900001185e+04,1.920326280000153929e+02,392,397
44,5.230083267575703632e-01,5.301448748559504098e-01,1.590799405900004786e+04,1.320866519999690354e+02,398,402
45,5.433798404694369921e-01,4.734169894037152382e-01,1.611204690200003097e+04,1.199686469999724068e+02,403,406
