# Idx, longitude, latitude, start timestamp, duration, start frame, end frame
0,5.097599278394786548e-01,5.332399569917922744e-01,3.600647500000195578e+01,2.000023890000011306e+02,3,9
1,5.565593884238826394e-01,5.357928120185875276e-01,2.879919230000086827e+02,2.800153189999982715e+02,11,19
2,5.884926818678981597e-01,6.326594704471857344e-01,6.400324499999987893e+02,2.399418549999973038e+02,21,28
3,5.255654569915760854e-01,7.277991890230186556e-01,9.479533349999983329e+02,3.280351660000014817e+02,30,40
4,5.109918176888643693e-01,7.786064021147915959e-01,1.327935637000002316e+03,2.560230719999963185e+02,42,50
5,5.613387490151908743e-01,8.918556945438633754e-01,1.663942274000000907e+03,5.040159419999981765e+02,52,67
6,6.247683177558333023e-01,9.764685500343823765e-01,2.231989144999999553e+03,3.400277250000071945e+02,69,79
7,8.260266932215825086e-01,9.441016591517594758e-01,2.611981710000007297e+03,3.960153359999967506e+02,80,92
8,5.450185552641406694e-01,9.045309520829403205e-01,3.091973188999996637e+03,1.160456340000091586e+02,95,98
9,4.776586369230373386e-01,8.190180038856602618e-01,3.316031117999998969e+03,1.799679380000015954e+02,101,107
10,4.914066749846095483e-01,7.689548022890968504e-01,3.583982887000005576e+03,1.679810799999977462e+02,109,114
11,4.889656874896383121e-01,6.954805893310683773e-01,3.844023626000009244e+03,1.199618039999913890e+02,117,121
12,4.920102086193544055e-01,6.684286311201748099e-01,4.008021822000009706e+03,3.719925839999923483e+02,122,133
13,4.394022562818286071e-01,7.164355523551900751e-01,4.448010827000005520e+03,2.199858079999976326e+02,135,142
14,3.800941283317829100e-01,7.032616067905556045e-01,4.735966257000007317e+03,1.640264210000023013e+02,144,149
15,3.639165404271904602e-01,6.834278153057010696e-01,4.947965481999999611e+03,2.440293720000045141e+02,150,158
16,3.409042463882947516e-01,6.570700046104029912e-01,5.248034069000001182e+03,2.599757360000076005e+02,159,167
17,3.588212861364592499e-01,5.751297556859900073e-01,5.583989673000003677e+03,1.800101330000034068e+02,169,175
18,3.774817247814876708e-01,5.411098760678018094e-01,5.807998564000008628e+03,1.199846120000001974e+02,176,180
19,3.394606576117802366e-01,5.321410893190805513e-01,5.983996161999995820e+03,4.719863650000042981e+02,181,195
20,3.896748543075488902e-01,5.578566492030649915e-01,6.892024000999997952e+03,1.639525790000043344e+02,209,214
21,4.328080422599422938e-01,5.518493882026198616e-01,7.123995525000005728e+03,3.280554080000001704e+02,216,225
22,4.461359122044912251e-01,5.148357252931823336e-01,7.508002336000005016e+03,2.759625850000011269e+02,227,235
23,5.097300866946689046e-01,5.122659230674324604e-01,7.876000631000002613e+03,6.799730560000025434e+02,238,258
24,5.027287679389416120e-01,5.979822769112561609e-01,8.619986654000007547e+03,1.600104639999917708e+02,260,265
25,4.982360837202293169e-01,6.531604596398189466e-01,8.816012431000010110e+03,7.679566009999980452e+02,266,289
26,5.043929698572953146e-01,6.222329441096779989e-01,9.627956957000002149e+03,1.999955460000055609e+02,291,297
27,5.047954775445812059e-01,5.837059364193109001e-01,9.863972091999996337e+03,1.240133990000031190e+02,298,301
28,5.201631220141642586e-01,5.471487711866140913e-01,1.002796116500000062e+04,9.203000800000154413e+01,303,305
29,5.007932610458133427e-01,4.968701928548820979e-01,1.018799215700000059e+04,4.119716780000017025e+02,307,320
30,5.106578557349880088e-01,4.711584214455794006e-01,1.063199825899999996e+04,1.559748360000085086e+02,321,325
31,5.083959246260272291e-01,4.267445688125443004e-01,1.084803510900000401e+04,1.519622999999992317e+02,327,332
32,5.075466424683421351e-01,3.881147518066121460e-01,1.103599618600000395e+04,2.999648100000049453e+02,333,342
33,5.117696886469020878e-01,3.106454738264627924e-01,1.139198567000000912e+04,3.440362689999892609e+02,343,354
34,5.303876312060911147e-01,2.200498024748873682e-01,1.182007734000000346e+04,2.678859110000048531e+02,356,364
35,5.620980261538237599e-01,1.528138177936003705e-01,1.216396792199999618e+04,2.320388080000120681e+02,367,374
36,5.352809826069967469e-01,1.434999440129314241e-01,1.243195960499999637e+04,6.160792620000138413e+02,375,393
37,5.700739986245618729e-01,3.125809705206692435e-01,1.314802381100000639e+04,2.519329889999935403e+02,396,404
38,5.690113707737799453e-01,4.911317691723653400e-01,1.351597306800000661e+04,8.800093699998978991e+01,407,410
39,5.753234142523189210e-01,5.524667667004659055e-01,1.372800394000000961e+04,8.040012799999967683e+02,413,438
40,5.984298727937340523e-01,5.553452801166975927e-01,1.457598829700000351e+04,1.319837289999995846e+02,439,443
41,6.547597657314808695e-01,5.579443406703676889e-01,1.486799817099999927e+04,3.240035290000087116e+02,448,457
42,7.050045822482036151e-01,5.464610454062515110e-01,1.526002777200000128e+04,1.999579130000056466e+02,459,465
43,7.297855976475577933e-01,5.192560694452486025e-01,1.551595219900000666e+04,5.360204299999895738e+02,467,483
44,7.594156937133875740e-01,5.325515471927728672e-01,1.609595314100000542e+04,3.679854649999906542e+02,484,495
45,7.937066507562250406e-01,5.714746543956583658e-01,1.653197095100001025e+04,1.320119539999868721e+02,497,501
46,8.462523218818647219e-01,6.001955538963564818e-01,1.673992685000000347e+04,3.280405820000014501e+02,504,514
47,8.958586778639383574e-01,6.029112577294828412e-01,1.713200434800000221e+04,6.640284019999962766e+02,516,535
48,9.105447268243878067e-01,5.886583645853658009e-01,1.781598338099999819e+04,3.199941300000064075e+02,536,546
49,9.244692391860085401e-01,5.587562650060391434e-01,1.818799934399999620e+04,1.999830020000081277e+02,547,553
50,9.108581519483145428e-01,5.419287699743036146e-01,1.843198110400000587e+04,1.919998419999901671e+02,554,560
51,9.064067272695144339e-01,5.049484825513003150e-01,1.866397714699999779e+04,3.119736200000043027e+02,561,571
52,9.567713609913058859e-01,4.904787533246774966e-01,1.904396201400000427e+04,3.160830909999931464e+02,573,582
53,9.321407824726026803e-01,5.106841550643739236e-01,1.941199936800000432e+04,1.359743120000057388e+02,584,588
54,9.887633085339764261e-01,5.250494187593828244e-01,1.962394841599999927e+04,3.240485740000003716e+02,590,600
0,9.620375694932330468e-01,4.845569457469021124e-01,2.000649900001008064e+01,2.999691790000069886e+02,2,11
1,9.170159571526694808e-01,6.073749431174494395e-01,4.080332940000225790e+02,3.159554459999781102e+02,13,23
2,9.112402022525295520e-01,6.222353406639882234e-01,8.679752010000520386e+02,1.512066812999953981e+03,27,72
3,8.270615758060415601e-01,6.249530319980718396e-01,2.808021649000002071e+03,2.279654000000446104e+02,85,92
4,7.749234277660250747e-01,6.652821891745743788e-01,3.204026753000041936e+03,9.995836499996948987e+01,97,100
5,7.025532373463541091e-01,6.307794304215503800e-01,3.579981736999994610e+03,1.799931970000034198e+02,108,114
6,6.258242050321626282e-01,6.385882871664103622e-01,3.908039500000013504e+03,8.790594199998304248e+01,118,121
7,6.150241069061469501e-01,6.432850464518143907e-01,4.139942735999997240e+03,2.480163739999989048e+02,125,133
8,5.162041135117243496e-01,6.393586706512455198e-01,4.563981969000014942e+03,1.320218490000115708e+02,138,142
9,4.743477223603078663e-01,6.167707801420979630e-01,4.787978172000031918e+03,1.800433740000007674e+02,145,150
10,4.344706594568561453e-01,6.167856979494000802e-01,5.204064471000048798e+03,2.199266489999718033e+02,157,164
11,3.748399483698845458e-01,6.239322092245636053e-01,5.659972462000034284e+03,8.799689000000944361e+01,171,173
12,3.590393254695958269e-01,7.235911774163408250e-01,5.828007034000009298e+03,1.200010710000060499e+02,176,179
13,3.656882215050391016e-01,6.487921503913993693e-01,6.083999150999996345e+03,9.998716000001877546e+01,183,186
14,2.543264227153234636e-01,5.730342296650124956e-01,6.511993041000037920e+03,1.520155169999925420e+02,196,201
15,2.143700772134889410e-01,5.939213159403828879e-01,6.819970749000029173e+03,1.480198059999966063e+02,206,210
16,1.483700867409400437e-01,5.657412759608440034e-01,7.055967772000003606e+03,2.000672640000120737e+02,213,219
17,6.805482642611782040e-02,5.646334180392238444e-01,7.356013643000042066e+03,1.000199479999719188e+02,222,225
18,2.418669369554432569e-02,5.673666108230890348e-01,7.604007495000027120e+03,3.879891610000049695e+02,229,241
19,9.925918856812200319e-01,5.347154843120380807e-01,8.195968114000046626e+03,6.800182349999668077e+02,247,267
20,1.055388447881495662e-01,5.765302729540390247e-01,9.012007901000033598e+03,7.799498010000097565e+02,271,295
21,1.225289548659311278e-01,5.421340034482375891e-01,9.860031628000026103e+03,9.919166729999706149e+02,297,326
22,1.736196435360461421e-01,5.255057552166180201e-01,1.094397711000003619e+04,5.399832959999912418e+02,329,345
23,2.629798740828988013e-01,4.991835050775538241e-01,1.163593943000002764e+04,2.679946469999849796e+02,350,358
24,2.494523680988185999e-01,4.936631359474030756e-01,1.193593569300003583e+04,4.040484159999759868e+02,359,371
25,2.927916557112422158e-01,4.687633551129790632e-01,1.240801298900000984e+04,3.799678019999992102e+02,373,384
26,2.821198086792076065e-01,4.560924621193398476e-01,1.283197096800000872e+04,1.319873510000179522e+02,386,390
27,3.634250721299763232e-01,5.100564930346873638e-01,1.306402017600002000e+04,1.560100879999808967e+02,393,397
28,3.960470671088431871e-01,5.226653185181939776e-01,1.328000357300002361e+04,1.559938369999872521e+02,399,404
29,4.403816563060416467e-01,5.228667634327075486e-01,1.355598023500002455e+04,1.999982689999742433e+02,407,413
30,4.361759306545982540e-01,5.121212875858427438e-01,1.378404485100001330e+04,1.440012850000057369e+02,414,418
31,4.946432488332466182e-01,4.955629815919517789e-01,1.400396009599999525e+04,4.240007450000266545e+02,421,434
32,4.956971186604366419e-01,4.730244124126329330e-01,1.447201659100002144e+04,4.359858830000157468e+02,435,448
33,5.045029351422771757e-01,5.484118416720362710e-01,1.497598117600003025e+04,2.160284429999883287e+02,450,456
34,4.109260650601288534e-01,5.938086744571249298e-01,1.529204524700000184e+04,1.759113840000354685e+02,459,465
35,1.065269617728263341e-01,6.029981489018215735e-01,1.612798604400001932e+04,1.879928879999788478e+02,484,490
36,5.591559846499211117e-02,5.762338900261976260e-01,1.647195252700004494e+04,1.440486129999626428e+02,495,499
37,9.594814911965505733e-01,4.984765623259193035e-01,1.693996055499999784e+04,2.160817570000072010e+02,509,515
38,5.894336434957897497e-02,4.622934908506810547e-01,1.739999569000001065e+04,1.120039460000116378e+02,523,526
39,8.145255428190206759e-02,3.965850658629875847e-01,1.759195178800000576e+04,1.680043510000105016e+02,528,533
40,1.576148973647940044e-01,5.111752502777663354e-01,1.799602073099999689e+04,1.399442770000314340e+02,540,545
41,2.052114183514265333e-01,5.177576700503123686e-01,1.821598159300000407e+04,2.879729200000292622e+02,547,556
42,2.609824226825077087e-01,5.291690358358973612e-01,1.858393432000000030e+04,1.200532450000173412e+02,558,562
43,2.937779733294210160e-01,5.988149685371469966e-01,1.882796496100001968e+04,2.119557539999950677e+02,565,572
44,2.780401485311403409e-01,5.284925055712614839e-01,1.911993245300004492e+04,2.240269939999561757e+02,574,581
45,2.497658010774642112e-01,4.995470360547549227e-01,1.939600262899999507e+04,1.479525209999992512e+02,582,587
0,4.274499618388141187e-01,4.437736333929527266e-01,0.000000000000000000e+00,1.799966169999679551e+02,1,6
1,5.186571318714290335e-01,5.133072421087701009e-01,3.359639399999869056e+02,3.480904909999808297e+02,11,21
2,4.969762981780853073e-01,5.749197944119821546e-01,7.360348909999593161e+02,2.839720770000130869e+02,23,31
3,5.055906095291321511e-01,6.578136510374518187e-01,1.087986239999998361e+03,2.760145809999667108e+02,33,42
4,5.783795156722093544e-01,6.417694377388099003e-01,1.440000881999963894e+03,3.839820450000115670e+02,44,55
5,4.947822840043900605e-01,6.942398976084345197e-01,1.907956164999981411e+03,1.920099819999886677e+02,58,64
6,4.792847795739969552e-01,7.451060555098394378e-01,2.144047840999963228e+03,3.039121470000245608e+02,65,74
7,4.859626375266348219e-01,7.855665526557666922e-01,2.479932524000003468e+03,3.721300489999703132e+02,75,86
8,4.953631286588335847e-01,8.099774923784932579e-01,2.883992627999978140e+03,1.879404290000093170e+02,87,93
9,5.123159976094031620e-01,9.001057274473378556e-01,3.139963362999958917e+03,2.560220520000439137e+02,95,102
10,5.456261506660765592e-01,9.645698245891789480e-01,3.455984097999986261e+03,1.960222300000023097e+02,104,110
11,9.820665709017318834e-01,9.506623493224635180e-01,3.723980171000002883e+03,1.319816489999648184e+02,112,116
12,5.172411681323226817e-01,9.109866393152707964e-01,4.231989505000005011e+03,2.119999449999886565e+02,128,134
13,4.232749353333962183e-01,9.585788620875301813e-01,4.503974732999980915e+03,7.480106219999724999e+02,136,158
14,4.774186048121558112e-01,7.515393027195775844e-01,5.419983718000003137e+03,1.999957040000008419e+02,163,169
15,3.821919879004733733e-01,6.872331960410962282e-01,5.719992240999999922e+03,1.439901669999817386e+02,172,176
16,3.641562600344303569e-01,6.792971336645617919e-01,5.907999383999966085e+03,1.560263400000403635e+02,178,182
17,3.573066423709756467e-01,6.513079353538662186e-01,6.111988519000005908e+03,1.000159549999516457e+02,184,187
18,3.934079743331460044e-01,5.427573148931927882e-01,6.299965440999949351e+03,1.120124990000040270e+02,189,193
