# Idx, longitude, latitude, start timestamp, duration, start frame, end frame
0,4.908620258628347832e-01,5.322046515615026507e-01,0.000000000000000000e+00,3.160292879999615252e+02,1,8
1,3.864268440671134730e-01,5.184735640091822084e-01,4.040358709999709390e+02,4.600197400000179186e+02,11,22
2,3.991000267544793090e-01,4.711526511559425145e-01,9.160198189999791794e+02,1.600003830000059679e+02,23,27
3,2.984996667306071272e-01,4.575154489909896149e-01,1.188016735999961384e+03,4.040019440000178292e+02,30,40
4,2.024980005812722084e-01,4.446380752799263814e-01,1.712009201999986544e+03,2.559618960000225343e+02,43,50
5,1.871823313684989332e-01,4.301278269554756895e-01,2.035986862999969162e+03,1.760342630000086501e+02,51,56
6,1.638503664920694658e-01,4.193853425019149483e-01,2.256007596999988891e+03,2.280272669999976642e+02,57,63
7,1.184669927407511758e-01,4.123795590938398314e-01,2.560013826999987941e+03,1.359576890000025742e+02,65,68
8,8.636513147364249798e-02,4.369880765067687411e-01,2.751991592999955174e+03,2.000436000000336207e+02,69,74
9,5.897682684150490351e-02,4.264883194030568703e-01,3.036038367000001017e+03,3.639441859999787994e+02,76,85
10,3.408687818811467762e-02,4.335138467306667298e-01,3.439966183999960776e+03,4.120364169999957085e+02,87,97
11,9.666899468102980730e-01,4.635189554695287040e-01,4.011969626999984030e+03,1.000319219999946654e+02,101,103
12,9.370799401812499596e-01,4.928323920823509674e-01,4.179967135999992024e+03,1.240680590000119992e+02,105,108
13,9.620448268248809054e-01,4.639004482881302627e-01,4.348013681999989785e+03,2.559513469999656081e+02,109,116
14,9.974908494619791899e-01,4.744329130613477163e-01,4.659968284999951720e+03,1.800137240000185557e+02,117,121
15,2.882758262490912049e-01,4.793404456303148597e-01,5.240004776999994647e+03,9.195867399999406189e+01,132,134
16,3.196526721159338447e-01,4.800440239864094405e-01,5.387989230000006501e+03,2.359827679999871179e+02,135,141
17,3.524001396665169539e-01,4.625968798870795373e-01,5.675974979999999050e+03,1.999965589999919757e+02,142,147
18,3.802587388074959440e-01,4.490078248152982177e-01,5.931989904999965802e+03,1.799558480000123382e+02,149,153
19,4.293459451709100705e-01,4.307834480209006278e-01,6.175947274999984074e+03,2.080450030000065453e+02,155,160
20,3.963525593551651127e-01,5.062144575652527401e-01,6.447963293000007980e+03,3.560445659999968484e+02,162,171
21,3.774955623988309750e-01,5.897921797298502078e-01,6.883935207000002265e+03,2.720747489999630488e+02,173,179
22,3.073214476055530220e-01,4.967243973140401669e-01,7.727988025999977253e+03,5.279878930000122637e+02,194,207
23,4.652798886263841416e-01,4.674340473573235233e-01,8.367973307999956887e+03,3.680433900000061840e+02,210,219
24,4.717912419410256186e-01,3.616237709230994968e-01,8.927962246999959461e+03,1.640100640000309795e+02,224,228
25,5.005818318724370997e-01,3.382532786133650715e-01,9.152042268999968655e+03,1.559667529999860562e+02,229,233
26,5.654595903574087812e-01,3.300502567846856916e-01,9.383982854000001680e+03,2.559929719999781810e+02,235,242
27,5.769597292988190018e-01,3.560314437743066218e-01,9.675972582999966107e+03,1.639978059999994002e+02,242,247
28,6.842516492342481937e-01,4.519645974987023251e-01,1.009995707699999912e+04,1.720282879999722354e+02,253,257
29,7.172114805483841282e-01,4.776021967817185576e-01,1.033600798399996711e+04,2.120030810000025667e+02,259,264
30,7.728312854256276232e-01,4.729594804358264737e-01,1.064802616499998840e+04,1.800413790000020526e+02,267,271
31,8.161273470661487561e-01,4.629103462380746992e-01,1.089195245899999281e+04,2.160324339999933727e+02,273,278
32,8.257586419275880774e-01,4.706092835214581438e-01,1.113995714399998542e+04,1.680793330000014976e+02,279,283
33,8.146871812230200849e-01,4.987832915424931235e-01,1.132797512099996675e+04,3.120267340000136755e+02,284,292
34,8.321917412600748909e-01,4.786446390378789051e-01,1.168400029900000663e+04,3.239827930000028573e+02,293,301
35,8.308220345357819614e-01,5.119743649981211009e-01,1.203196163899998646e+04,2.800504920000093989e+02,301,308
36,8.112845206913712470e-01,5.233105701829522394e-01,1.234401545800000895e+04,1.799572729999781586e+02,309,314
37,8.436750628892435433e-01,5.932456024246464121e-01,1.261195165899995482e+04,2.000213630000362173e+02,316,321
38,7.658724909697433025e-01,6.477904434145544954e-01,1.290798870399995940e+04,3.319699400000390597e+02,323,331
39,7.284676119951069007e-01,5.316319865731993222e-01,1.333597774800000479e+04,5.359921449999674223e+02,334,347
40,7.212551483120854812e-01,4.973590078654060997e-01,1.389594330799998716e+04,1.360272540000150912e+02,348,351
41,6.501296432162744221e-01,5.517439802198418342e-01,1.419996949599997606e+04,2.679935069999773987e+02,355,362
42,6.118717294480566782e-01,5.465787766666155845e-01,1.453195197999995435e+04,1.720405470000114292e+02,364,368
43,6.163669720463801349e-01,5.324278575359683296e-01,1.496799716500000795e+04,2.160036389999440871e+02,375,380
44,5.500545674875532143e-01,5.418739350046077874e-01,1.525998375799995847e+04,3.120190370000200346e+02,382,390
45,5.168584668308746632e-01,5.230825922427695396e-01,1.563202827700000489e+04,2.319488520000013523e+02,391,397
46,5.338551222256801010e-01,5.319849782616452583e-01,1.589595194599998649e+04,3.280400859999936074e+02,398,406
47,5.352385765123128802e-01,5.070329785173104398e-01,1.625600305699999444e+04,1.760131650000112131e+02,407,411
48,3.953994328972286754e-01,5.092658908273774987e-01,1.655599504399998114e+04,1.119688779999851249e+02,414,417
49,3.893395624688704704e-01,5.197064986418202803e-01,1.670398633899999550e+04,3.315924070000008214e+03,418,501
0,9.911421430435874980e-01,5.277552724157161812e-01,0.000000000000000000e+00,5.679921310000063386e+02,1,15
1,9.521538836544707340e-01,4.898599804662304713e-01,6.359660300000105053e+02,4.281150480000069365e+02,16,27
2,9.378063593012024857e-01,5.672006161732581209e-01,1.128009370000014314e+03,2.799939359999843873e+02,29,36
3,9.619996159107659928e-01,5.680482604721318607e-01,1.451974409000016749e+03,2.120830459999851882e+02,37,42
4,9.627279340891223836e-01,5.184039332500014474e-01,1.868022771999996621e+03,1.199666510000242852e+02,47,50
5,9.447158365333777619e-01,4.925008665091433757e-01,2.031995308000012301e+03,1.360031069999968167e+02,51,55
6,8.656025022617797049e-01,5.198831039601095050e-01,2.323994634000002407e+03,8.806765100001939572e+01,59,61
7,8.532868736110101882e-01,5.221308539905271662e-01,2.436028017000004184e+03,9.995130200000130571e+01,61,64
8,8.163238938305115155e-01,5.213623913394750398e-01,2.592000287000002572e+03,1.680292630000039935e+02,65,70
9,8.166151915591932653e-01,5.077651178992337311e-01,2.791990986999997403e+03,7.039846900000120513e+02,70,88
10,8.387308120089403962e-01,5.129558557955637976e-01,3.527994705000019167e+03,1.600520890000043437e+02,89,93
11,8.202389871179026626e-01,5.076182763979297796e-01,3.836038469999999506e+03,1.760112820000213105e+02,97,101
12,7.364727643266966162e-01,5.154918184890788790e-01,4.100015337000018917e+03,3.240052389999909792e+02,103,111
13,7.254970945371196356e-01,5.100347167668732862e-01,4.456035042000003159e+03,2.679754330000141636e+02,112,119
14,7.338495153675272942e-01,4.768173858259630027e-01,4.767988705000025220e+03,2.240345509999897331e+02,120,125
15,8.302996347449724812e-01,5.077826633267923384e-01,5.092034714000008535e+03,1.000034760000125971e+02,128,130
16,8.270495330358567099e-01,5.077453241311205012e-01,5.216048683000000892e+03,5.039669050000084098e+02,131,144
17,7.990858664525937183e-01,6.190476094525920736e-01,5.800026522000000114e+03,2.760312940000148956e+02,145,152
18,8.396955935156729112e-01,5.163712040280969973e-01,6.243990428999997675e+03,3.560636110000195913e+02,157,166
19,8.187819528514508338e-01,5.087200582561675066e-01,6.648029696000012336e+03,1.316038870999997016e+03,167,200
20,7.950622291295791344e-01,5.015322502391724724e-01,8.019990035000024363e+03,2.040220519999857061e+02,201,206
21,7.374565136769124507e-01,5.110383750175533368e-01,8.304003064000018639e+03,2.280302640000008978e+02,208,214
22,7.075057607469303900e-01,5.164843506054349609e-01,8.588042037000006530e+03,3.239636140000075102e+02,215,223
23,7.202081968035221049e-01,4.817148204287517999e-01,8.972030032000009669e+03,1.440199089999950957e+02,225,228
