# Idx, longitude, latitude, start timestamp, duration, start frame, end frame
0,9.968309716808289034e-01,5.147400534066559619e-01,2.001476699998602271e+01,9.598090000002412125e+01,1,4
1,9.971378430766721923e-01,5.087008563489134882e-01,1.560117990000289865e+02,1.600211959999869578e+02,5,10
2,3.476252375078536794e-03,4.982790345383910635e-01,3.320129910000250675e+02,1.240010589999728836e+02,11,14
3,9.394066334373230021e-03,5.437081408729679266e-01,5.160344000000040978e+02,1.319682500000344589e+02,16,20
4,9.477712634484791732e-01,5.786435147393690359e-01,7.479621550000156276e+02,8.402569599996786565e+01,23,25
5,8.851377103747707364e-01,5.127832745141280846e-01,9.399863919999916106e+02,9.602480600000126287e+01,29,32
6,8.638198342462533041e-01,4.888493720519486718e-01,1.084007065000012517e+03,1.879578200000105426e+02,33,39
7,8.029320192479313389e-01,5.369659916636346786e-01,1.379985094000003301e+03,1.479864480000105686e+02,42,47
8,8.174039126807699507e-01,5.874471231298971086e-01,1.575980809000029694e+03,2.680679189999937080e+02,48,56
9,7.980935861067459669e-01,4.910610868875400215e-01,1.931986886000027880e+03,4.040390069999848492e+02,59,71
10,7.039625896892716117e-01,4.799690449391000868e-01,2.444041825000022072e+03,1.600032340000034310e+02,74,79
11,6.666566273459455516e-01,4.980319161432124053e-01,2.684022585000027902e+03,1.519827299999888055e+02,81,86
12,6.592520278806170975e-01,4.757636788602438438e-01,2.884023991000023670e+03,8.798748000001069158e+01,87,90
13,6.684138435791840971e-01,4.651769605888419479e-01,2.992016829000029247e+03,2.480052559999749064e+02,90,98
14,5.643175769538957276e-01,5.272262569395420595e-01,3.392058129000011832e+03,9.602879700000630692e+01,102,105
15,5.536184273429665126e-01,5.538535082672373377e-01,3.520025535000022501e+03,1.000099679999984801e+02,106,109
16,5.832880950542129739e-01,4.825771055999545922e-01,3.696002777000016067e+03,8.001116799999726936e+01,111,114
17,5.912197545512810626e-01,4.611483477610404114e-01,3.808042931000003591e+03,2.840501960000256076e+02,115,123
18,4.946044744532930304e-01,3.933295460766997875e-01,4.292010997000033967e+03,9.999884999997448176e+01,129,132
19,4.888432171343237709e-01,4.005158610165405753e-01,4.399995568000013009e+03,6.720094210000243038e+02,133,153
20,4.675564808394022664e-01,5.269878173235451602e-01,5.224036185999982990e+03,1.520089600000064820e+02,157,162
