# Idx, longitude, latitude, start timestamp, duration, start frame, end frame
0,3.882612064377224392e-01,4.367280882114078500e-01,0.000000000000000000e+00,2.720091759999049827e+02,1,7
1,4.741098343026795003e-01,4.572331455707936421e-01,3.560237539999652654e+02,2.919606490000151098e+02,9,17
2,4.989122667182861459e-01,4.829117708280745713e-01,6.920116429999470711e+02,1.039891439999919385e+02,18,20
3,4.130875164211382788e-01,4.980796891920175051e-01,8.719749039999442175e+02,2.880225280000595376e+02,22,30
4,3.487839176992058032e-01,5.565629761963903910e-01,1.239965549999964423e+03,2.119916759999468923e+02,32,37
5,3.079550319182756679e-01,5.746533605066920236e-01,1.636039932999992743e+03,1.399240349999163300e+02,41,45
6,2.011582295706047518e-01,5.201143313788836320e-01,2.124010552999912761e+03,1.199631529999896884e+02,54,57
7,1.659653977781749279e-01,4.921854463956738535e-01,2.311989755999995396e+03,2.440371980000054464e+02,58,65
8,1.188075981562854988e-01,4.606850790358647529e-01,2.635946318999980576e+03,1.920604459999594837e+02,66,71
9,8.012365072590504900e-02,4.960784341635227079e-01,2.891956112999934703e+03,2.680656370000215247e+02,73,80
10,7.254975633039867366e-02,4.889696787129145239e-01,3.184010845999931917e+03,1.240019150000298396e+02,80,83
11,4.421131411408959488e-01,4.864758582554060684e-01,3.839969565999926999e+03,1.479682010000105947e+02,97,100
12,4.136476958538646276e-01,4.781624913279509670e-01,4.024008366999914870e+03,2.879435550000052899e+02,101,108
13,3.922822251485722500e-01,5.002423214092708292e-01,4.356024493000004441e+03,1.559359619999304414e+02,109,113
14,4.572159374061028903e-01,4.780933413980794633e-01,4.583995879999944009e+03,2.879851799999596551e+02,115,122
15,4.840242449415157466e-01,4.798214876615289892e-01,4.911927342999959365e+03,2.040162189999828115e+02,123,128
16,4.634827182031643344e-01,5.109829754221300036e-01,5.171952519999933429e+03,4.800134079999988899e+02,130,142
17,5.181766768731934647e-01,4.819334036166880164e-01,5.715960322999977507e+03,3.360597350000170991e+02,144,152
18,5.510524833834530289e-01,4.733959013691110274e-01,6.111991655999911018e+03,2.080105050000129268e+02,153,159
19,4.808095855500096327e-01,5.443736173166188186e-01,6.423976479999953881e+03,3.119987940000137314e+02,161,169
20,4.633302253183179120e-01,5.216846740254720283e-01,6.771982579999952577e+03,5.360309200000483543e+02,170,183
21,4.272907440891908770e-01,4.786887591210454707e-01,7.371952583999955095e+03,3.560283150000032037e+02,185,194
22,3.798006373613218578e-01,4.813449397495992432e-01,7.996035987999988720e+03,2.359263179999543354e+02,200,206
23,4.017199950740100167e-01,4.846712523627401126e-01,8.275950200999970548e+03,5.880390350000234321e+02,207,222
24,4.600623142865634119e-01,4.960304841826036482e-01,8.967996340999961831e+03,1.919797620000317693e+02,225,230
25,4.138281025930747870e-01,5.178869721340139121e-01,9.227989586999989115e+03,4.479544870000099763e+02,231,242
26,3.384338080355031586e-01,5.395659639047769573e-01,9.751958959999959916e+03,2.239876500000245869e+02,244,250
27,4.833461876441695892e-01,5.196698539178696841e-01,1.014400655599997845e+04,1.319289049999788404e+02,254,257
28,4.872163039147117125e-01,4.811318906289403508e-01,1.041195159499999136e+04,1.483963973999954760e+03,261,298
29,3.970409995632371292e-01,5.096859322219987609e-01,1.199593551599991042e+04,3.040107919999863952e+02,300,308
30,4.278608108722122827e-01,5.064627686644942450e-01,1.233191627799998969e+04,4.921108789999270812e+02,309,321
31,3.732363599737634763e-01,5.343948735236887515e-01,1.290399897999991663e+04,2.200144619999919087e+02,323,329
32,3.833021746912315120e-01,5.509095152102876369e-01,1.316000734799995553e+04,7.240021399999968708e+02,330,348
33,4.888626114704162084e-01,4.852163101992449379e-01,1.405197078799991868e+04,6.680214070000220090e+02,352,369
34,5.390785155953585761e-01,4.718412564738782011e-01,1.479994349199999124e+04,4.239987480000127107e+02,371,381
35,5.518675141602169543e-01,4.154596656363470641e-01,1.538401104799995665e+04,2.519904180000303313e+02,385,392
36,6.293983535176046473e-01,4.677793872716159429e-01,1.572793932799994946e+04,2.000133790000109002e+02,394,399
37,5.243580333464639143e-01,5.286159582810094903e-01,1.603200457399990410e+04,1.559869950000429526e+02,401,405
38,6.760503750646102983e-01,4.725133151176974522e-01,1.632000286899995990e+04,2.119349409999558702e+02,409,414
39,5.880723203171389635e-01,5.184113004894628229e-01,1.662396832999994513e+04,7.760093989999732003e+02,416,436
40,5.779760598343424149e-01,5.371849204502021635e-01,1.744796817899995949e+04,3.239685370000079274e+02,437,445
41,5.411473813864851046e-01,5.088676758654631094e-01,1.806398460699990392e+04,1.347920470000011846e+03,452,486
42,5.027793292556588245e-01,5.056750461253174400e-01,1.948395789299998432e+04,2.320053029999835417e+02,488,493
43,5.495814518591014552e-01,4.840806594743076730e-01,1.978398893899994437e+04,2.319502779999747872e+02,495,501
0,9.974896384266236371e-01,5.196199181491206742e-01,0.000000000000000000e+00,2.479580870000063442e+02,1,7
1,1.719370026427852194e-02,5.339272500706748747e-01,2.920067380000255071e+02,1.359962649999943096e+02,8,11
2,9.422359155207009618e-01,5.639505344270703269e-01,5.160079310000000987e+02,8.801775900000939146e+01,13,16
3,9.531797990750681127e-01,5.738701802833676702e-01,6.400102110000152607e+02,1.200179699999862351e+02,16,20
4,9.448435333241239631e-01,5.997846663641119846e-01,8.639786180000228342e+02,8.802032399998279288e+01,22,24
5,2.751995134297235968e-02,5.387262417554428140e-01,1.188017499000008684e+03,1.879810339999967255e+02,30,35
6,9.006901373875073613e-01,5.258874164979627785e-01,1.867946079000015743e+03,1.320547199999855366e+02,47,51
7,8.948195280531677787e-01,5.209418982462169501e-01,2.032002150000014808e+03,4.479336769999936223e+02,51,63
8,8.902677636693868690e-01,5.483291891425869924e-01,2.515935744000016712e+03,7.360690060000051744e+02,63,82
9,8.716687063513498535e-01,5.557056620504103872e-01,3.287984995000006165e+03,5.560363500000094064e+02,83,97
10,8.047574409776147020e-01,5.474042956963399709e-01,3.935981788000004599e+03,1.360552810000081081e+02,99,102
11,8.972819927984290178e-01,5.236677640290292590e-01,4.156050275000015972e+03,9.719270499999984168e+02,104,129
12,8.914001471203784055e-01,5.421921830632178141e-01,5.163994918000011239e+03,1.879756179999967571e+02,130,134
13,7.174233063316001191e-01,5.725320596615051105e-01,5.551997158000012860e+03,8.798782300000311807e+01,139,142
14,7.048253411925594625e-01,5.586574034999951532e-01,5.699953766000020551e+03,8.807249799999408424e+01,143,145
15,6.585219705823176506e-01,4.555468764882701915e-01,6.228031806000013603e+03,1.999872779999859631e+02,156,161
16,4.480766561917133295e-01,4.228171050568463318e-01,7.371948480000020936e+03,1.000205819999973755e+02,185,187
17,4.213846737381865548e-01,4.175859645209271109e-01,7.519975223000015831e+03,2.240274229999922682e+02,188,194
18,5.305853693410806926e-01,4.887054392075236287e-01,7.843969058000016958e+03,2.320265490000019781e+02,197,202
19,3.509091190046282893e-01,5.138003505461172793e-01,9.263979464000003645e+03,1.320073930000071414e+02,232,235
20,4.146035881237788434e-01,4.933299790671800134e-01,9.475941056000010576e+03,2.680221890000102576e+02,237,244
21,4.693327495706408614e-01,5.122145674281370908e-01,9.808007859000004828e+03,1.119196269999956712e+02,246,249
22,4.918270634927850438e-01,4.860090028703856202e-01,1.011992417300000670e+04,1.480113479999999981e+02,254,257
23,5.095379979446815755e-01,5.174050371942076065e-01,1.031193741500002216e+04,3.240522809999820311e+02,258,266
24,4.863599995467827730e-01,4.820679691135754119e-01,1.070396929700000328e+04,8.280129130000132136e+02,268,289
25,2.826922447499479185e-01,4.906491300200078731e-01,1.194402915600000415e+04,3.119254380000056699e+02,299,307
26,1.645618319649627681e-01,5.252740968280720235e-01,1.241197020000001066e+04,1.560301449999969918e+02,311,315
27,1.625679384446395148e-01,5.044323725185539953e-01,1.260001709200002369e+04,1.359361090000020340e+02,316,319
28,1.135089242985710123e-01,5.150039287414931444e-01,1.281195245500002056e+04,2.800349909999931697e+02,321,328
29,7.460910198283876582e-02,5.916778983830627281e-01,1.317195761100001982e+04,2.320245529999956489e+02,330,336
30,1.589331055754045208e-02,6.048210472260884263e-01,1.350799047700001393e+04,1.439588980000116862e+02,338,342
31,1.373696855273165429e-03,5.910699013864305629e-01,1.369595041400002083e+04,1.360492929999891203e+02,343,346
32,6.655100612717790298e-03,4.873147232100705217e-01,1.423199308200000087e+04,1.359874260000069626e+02,356,360
33,9.013672231270097868e-01,5.174073933565971339e-01,1.464804229900002247e+04,3.639669429999776185e+02,367,376
34,2.030730457093510855e-01,5.343565418414140122e-01,1.545202932400000282e+04,1.639833700000017416e+02,387,391
35,5.089109121455025475e-01,4.706396173111253578e-01,1.627596270300002652e+04,9.195901799999410287e+01,407,410
36,6.340476807356798528e-01,4.806368043526125788e-01,1.661209364500001539e+04,1.238634339999989606e+02,416,419
37,5.863689716944996411e-01,5.068886011306352746e-01,1.680000425800000085e+04,2.479700620000076015e+02,421,427
38,6.053161911496929282e-01,5.175349253198544552e-01,1.709194684899999993e+04,3.799763139999995474e+02,428,437
39,7.756206140082962941e-01,5.086524370070013568e-01,1.762795730000000913e+04,1.439945360000128858e+02,441,445
40,7.696768476648441215e-01,4.894714784872831181e-01,1.778798030900000595e+04,9.600947200000518933e+01,445,448
41,6.991486342742657678e-01,4.885498561072521007e-01,1.796395367300001089e+04,2.800153200000058860e+02,450,457
42,5.902028067309377235e-01,5.216752961868662553e-01,1.847597016799999983e+04,1.960215000000025611e+02,462,467
43,5.762166919905835627e-01,5.200547897990940305e-01,1.871195166099999915e+04,2.000668230000010226e+02,468,473
44,5.726857755712673193e-01,5.011178352962291083e-01,1.895601553100001183e+04,2.799166740000073332e+02,474,481
45,4.881386430396730258e-01,5.015712446369474664e-01,1.932795280500000808e+04,2.000163590000011027e+02,484,489
46,4.698126635857962086e-01,4.860940139202437615e-01,1.958399326800002018e+04,1.320028319999983069e+02,490,493
47,5.031848254709829771e-01,4.561012456674816695e-01,1.979595543000000180e+04,8.799124400000437163e+01,495,498
0,5.021909369931047973e-01,5.298137000818990971e-01,0.000000000000000000e+00,6.802521699998760596e+01,1,2
1,5.081561360320696608e-01,5.006348919552130461e-01,1.039675430000061169e+02,3.640253890000167303e+02,3,12
2,4.845636006225807479e-01,4.750278305405079005e-01,5.239959389999858104e+02,3.799976970000425354e+02,14,23
3,5.236005921689776965e-01,4.990036326567236502e-01,9.599761160000343807e+02,3.560094410000019707e+02,25,34
4,5.043074907791479378e-01,5.493972268073039622e-01,1.371974594000028446e+03,2.240051849999581464e+02,35,40
5,4.699921834195313064e-01,5.560901484839502196e-01,1.652448929000005592e+03,3.995081290000234731e+02,42,52
6,4.357587963180338253e-01,5.278417519087522658e-01,2.119983986000006553e+03,4.039853819999843836e+02,54,64
7,4.087819563989729676e-01,5.139582586871482839e-01,2.580056195000011940e+03,3.439076880000066012e+02,65,74
8,3.579448520932235756e-01,5.901002938025114997e-01,3.003941174999985378e+03,5.120304640000103973e+02,76,89
9,3.183845835008833891e-01,6.206510990813820516e-01,3.583952665999997407e+03,2.360328120000194758e+02,90,96
10,3.048407651965315823e-01,5.986850742897689148e-01,3.867964554000005592e+03,3.079875999999931082e+02,97,105
11,3.047792117727639027e-01,6.127803257933405190e-01,4.191981197000015527e+03,1.400093709999928251e+02,105,109
12,2.867627294280552519e-01,6.931862238896960848e-01,4.388030637999996543e+03,3.999728469999972731e+02,110,120
13,3.250015741602125807e-01,6.504856514063329653e-01,4.935968074999982491e+03,1.680400970000191592e+02,124,128
14,3.293545054067912314e-01,6.399639563237055073e-01,5.236001310000021476e+03,2.362050140000064857e+02,132,137
15,3.456082314919870502e-01,5.832507853716785151e-01,5.527957869999983814e+03,1.880486040000105277e+02,139,144
16,3.127540415646794525e-01,5.667277021528593917e-01,5.844020148000039626e+03,2.399452769999625161e+02,147,153
17,3.446213507004476373e-01,5.917786227789197939e-01,6.143986099000030663e+03,1.640167269999510609e+02,154,158
18,3.412562377666602531e-01,6.257186446864229090e-01,6.499989553000021260e+03,1.439654549999977462e+02,163,167
19,3.259587452459415946e-01,6.364788051341181419e-01,6.679999401000037324e+03,4.439907069999608211e+02,168,179
20,2.811465006095332786e-01,6.432368280999405386e-01,7.191974270000006072e+03,1.759841979999910109e+02,180,185
21,2.668427351249591517e-01,6.435910033872718206e-01,7.515952994999999646e+03,2.240382570000365376e+02,188,194
22,2.315988107545502439e-01,6.304581536240930761e-01,7.788029344000038691e+03,2.879790929999435320e+02,195,202
23,2.225676902345603558e-01,5.808170530682607025e-01,8.131963262000004761e+03,1.319919970000046305e+02,204,207
24,1.844677008528107232e-01,5.555421448050950062e-01,8.331940277000016067e+03,3.360573849999927916e+02,209,217
25,1.395322672400989839e-01,5.368789585576669854e-01,8.731978127000038512e+03,3.119739059999701567e+02,219,227
26,9.837246764207807637e-02,5.685609777005157239e-01,9.112001483000000007e+03,3.159987010000040755e+02,228,236
27,7.072070858432671914e-02,5.642037289316033100e-01,9.472010630999982823e+03,2.239393260000506416e+02,237,243
28,2.687609795876888530e-02,5.811854186045197768e-01,9.759934699000034016e+03,3.359969430000055581e+02,245,253
29,7.795631915944456480e-04,5.728028901754205204e-01,1.014397800300002564e+04,2.879608460000017658e+02,254,261
30,9.649262249936080282e-01,5.789290836723760547e-01,1.048796181300003082e+04,3.999648639999795705e+02,263,273
31,9.268817827089944617e-01,5.457849151208333804e-01,1.095594647700001951e+04,1.239789009999949485e+02,274,278
32,9.218766165321310435e-01,5.443400946412594310e-01,1.108791994300001534e+04,2.480287929999758489e+02,278,284
33,9.148449750353544463e-01,5.320890351165848964e-01,1.138396630100003676e+04,3.399926579999737442e+02,285,294
34,9.139280377165134306e-01,5.182976691275336112e-01,1.174797315899998648e+04,1.880007062999997288e+03,294,341
35,8.900634931656560278e-01,5.404636723362039596e-01,1.366399011700000847e+04,2.280068869999959134e+02,342,348
36,9.196499555019075345e-01,5.231672613479910749e-01,1.394796978899999522e+04,3.720105460000340827e+02,349,359
37,5.160392631499816085e-02,5.475560235969839651e-01,1.452006255299999611e+04,1.799696480000275187e+02,364,368
38,1.371437096616623941e-01,5.574833478978392654e-01,1.481200998999999138e+04,1.439859820000128821e+02,371,374
39,1.978384232297378809e-01,5.395894814321174904e-01,1.504398807100002887e+04,4.360189510000054725e+02,377,388
40,2.171710004627777080e-01,5.939021201655512172e-01,1.553595414799998980e+04,2.240097470000036992e+02,389,395
41,2.183571607955198113e-01,6.564557146479268468e-01,1.581596975300001213e+04,2.320265490000019781e+02,396,402
42,2.856923210418546022e-01,5.858761070383724512e-01,1.613997584700002335e+04,1.999713130000163801e+02,404,409
43,3.000243771103869861e-01,5.317334807267657393e-01,1.639597867700003553e+04,4.600129079999751411e+02,410,422
44,2.634864833433576692e-01,5.355132658767398635e-01,1.689998264499998186e+04,1.679579870000015944e+02,423,427
45,2.058257530606455998e-01,5.277435589689146722e-01,1.713591453100001672e+04,4.120865750000230037e+02,429,439
46,1.919569687887617282e-01,5.113840109278786628e-01,1.759197021400002996e+04,6.800272249999688938e+02,440,457
47,2.134975934644640083e-01,5.897824993962657025e-01,1.833992743199999677e+04,4.360651369999977760e+02,459,470
48,2.300692173211053571e-01,5.612478494262999051e-01,1.880799335000000428e+04,3.400000700000091456e+02,471,479
49,2.798571683173023406e-01,5.580974433029205484e-01,1.921195364299998619e+04,2.120120549999992363e+02,481,486
50,2.928604840191106895e-01,5.065491809774897991e-01,1.947997070100001292e+04,5.360101659999927506e+02,488,501
0,3.331354304428324475e-04,5.420925719527343034e-01,0.000000000000000000e+00,5.479898299999986193e+02,1,14
1,6.675295044269519140e-02,5.703276221343109853e-01,6.239810519999955432e+02,2.679869499999986147e+02,16,23
2,1.041657128830651424e-01,5.490599626498989805e-01,9.440605069999946863e+02,2.679068360000019311e+02,24,31
3,1.489713831031352909e-01,5.319021405332200469e-01,1.283965133999998216e+03,2.680425449999966077e+02,33,39
4,1.993068773908615032e-01,5.406919714973850155e-01,1.620043685999997251e+03,3.439576450000022305e+02,41,50
5,2.365296171412238357e-01,5.664195934595467330e-01,2.019966383999999380e+03,3.880627170000007027e+02,51,61
6,2.684585443746700939e-01,5.285184344534020751e-01,2.548012721999999485e+03,1.199563109999944572e+02,64,67
7,3.076840374403235767e-01,5.248341687073855288e-01,2.731963426999995136e+03,3.480525720000005094e+02,69,78
8,3.442928034073908794e-01,5.267644785715905886e-01,3.139988166999995883e+03,2.519844310000044061e+02,79,85
9,2.854547922728476461e-01,4.989992442001134343e-01,3.471966374999996333e+03,5.360408979999992880e+02,87,101
10,3.354952185734199066e-01,4.941763259936420294e-01,4.107957940000000235e+03,5.160959829999992508e+02,103,116
11,3.976040521344916812e-01,4.885586713932696945e-01,4.704010350999997172e+03,5.559883800000025076e+02,118,132
12,4.173849435654469753e-01,4.773094688632050220e-01,5.308034798000000592e+03,2.879050659999993513e+02,133,140
13,4.124957582651476162e-01,4.572470040704118555e-01,5.615972306999996363e+03,4.040087859999985085e+02,141,151
14,4.744988788267023860e-01,4.671660973296719588e-01,6.099990834999996878e+03,3.320013010000038776e+02,153,161
15,4.917299937908842233e-01,4.737700264173201337e-01,6.475926147999998648e+03,4.800268079999950714e+02,163,175
16,3.754125721286051265e-01,4.933046806944334506e-01,7.087967106999996759e+03,4.280095710000023246e+02,178,188
17,1.751215058733990859e-01,5.217381032646996042e-01,7.740005666999997629e+03,8.039890739999973448e+02,194,214
18,3.440396898657921421e-02,5.394683687289629770e-01,8.711991679999999178e+03,3.239944819999946048e+02,218,226
19,9.490302956590233041e-01,5.395604599221390796e-01,9.135957641999993939e+03,6.119959130000061123e+02,229,244
20,8.915490862820587559e-01,5.310314842059471463e-01,9.839982648999997764e+03,4.359887339999986580e+02,247,257
21,8.083261235985390591e-01,5.579421128092241222e-01,1.040793706699999893e+04,2.240791669999962323e+02,261,266
22,7.651743433018414198e-01,5.578507535924419614e-01,1.072003279499999917e+04,9.198547400000097696e+01,269,271
23,7.684212535521850462e-01,5.539238513933429919e-01,1.082400711400000000e+04,1.999703299999964656e+02,271,276
24,7.246294357564839750e-01,5.510745868832696015e-01,1.108794902999999613e+04,2.720422469999975874e+02,278,285
25,7.036095748744289891e-01,5.486489814037832646e-01,1.141201535799999692e+04,5.039620189999986906e+02,286,299
26,6.612676513323876293e-01,5.798342649875889432e-01,1.201999189599999954e+04,1.319964739999995800e+02,301,304
27,6.595741295905516166e-01,5.676111355731427999e-01,1.220799675799999386e+04,2.759504330000054324e+02,306,313
28,7.090033405870557193e-01,4.995263449252527188e-01,1.256396491599999717e+04,2.919894449999992503e+02,315,322
29,8.229867487768731671e-01,5.623175334904271239e-01,1.299993198299999494e+04,2.320064430000056745e+02,326,331
30,9.301362099760585034e-01,5.264865755994767582e-01,1.341595014199999423e+04,2.920022740000058548e+02,336,343
31,8.955252128460484684e-01,5.282287289431903954e-01,1.374793519199999719e+04,1.920276589999994030e+02,344,349
32,9.174378991163196773e-01,5.217182534952946593e-01,1.398396614199999749e+04,3.000002549999990151e+02,350,358
33,5.648905274499482765e-02,5.133054611586935767e-01,1.443999273600000015e+04,1.239588650000005146e+02,362,365
