# Idx, longitude, latitude, start timestamp, duration, start frame, end frame
0,9.925525730701647564e-01,5.183322522287523437e-01,0.000000000000000000e+00,4.599675670000142418e+02,1,14
1,3.438175629116624332e-02,5.139055733166872919e-01,5.159762400000181515e+02,2.680499569999810774e+02,16,24
2,9.920114927673899796e-01,5.557470756057776295e-01,8.600102920000208542e+02,9.206587199997738935e+01,26,29
3,7.697427895763386818e-03,5.992977154787744176e-01,1.008007574000017485e+03,1.800142939999932423e+02,31,36
4,2.970525237712523525e-02,6.323787296200267249e-01,1.232007483000023058e+03,2.600400029999727849e+02,38,45
5,3.893333364981732547e-02,6.430337921771202003e-01,1.524026294000010239e+03,2.079959650000091642e+02,46,53
6,4.571715423242855847e-02,8.074782120088032089e-01,1.999984404000017093e+03,1.480360569999902509e+02,61,65
7,2.615597966275495789e-02,8.110188764588159849e-01,2.199999210000009043e+03,3.240369620000128634e+02,67,76
8,5.283031893682993418e-02,8.194433362773141383e-01,2.552005583999998635e+03,2.440004199999966659e+02,77,84
9,5.145380381161496208e-02,6.435353198094443394e-01,2.960044009000004735e+03,2.279656850000028498e+02,89,96
10,4.348852858394558485e-02,6.285536923730888903e-01,3.228013281999999890e+03,8.396097800001734868e+01,98,100
11,1.895728993357437275e-04,6.256157605705683356e-01,3.524010413000010885e+03,2.160275869999895804e+02,106,113
12,9.693792272334239568e-01,5.971499027341733434e-01,3.800035257000010461e+03,1.919646509999874979e+02,115,120
13,9.382422083679415881e-01,4.889607374304699716e-01,4.092006741000019247e+03,9.604818399998475797e+01,123,126
14,8.355661936223832686e-01,3.324304067184241651e-01,4.584043207000009716e+03,1.679513220000080764e+02,138,143
15,7.499693575359356323e-01,3.718700737888998020e-01,4.835999697999999626e+03,3.360201060000108555e+02,146,156
16,7.414954601527183886e-01,3.808954478583300718e-01,5.208005443000001833e+03,3.559732899999944493e+02,157,168
17,7.011045665107524805e-01,3.647838633291360377e-01,5.632006756999995559e+03,3.119757010000175796e+02,170,179
18,6.519329334793041442e-01,3.304750612194325976e-01,6.024024701999995159e+03,3.239902060000167694e+02,181,191
19,5.924814558009182663e-01,3.064687820818344788e-01,6.427966203999996651e+03,2.560143550000211690e+02,193,201
20,5.861446444182902837e-01,3.119547004445404337e-01,6.715975617999996757e+03,3.040746550000039861e+02,202,211
21,5.508405332025680945e-01,3.256069161604969731e-01,7.088030400000017835e+03,3.879176009999937378e+02,213,225
22,6.099082713341784645e-01,3.122446882408711488e-01,7.563960000999999465e+03,2.440742610000015702e+02,228,235
23,7.379337632818756543e-01,3.341764225335717153e-01,8.064006992000009632e+03,1.679786920000042301e+02,243,248
24,7.482626131089507027e-01,3.553744880693607833e-01,8.292023425999999745e+03,2.560340270000160672e+02,249,257
25,7.722114452235337989e-01,3.287108395232835045e-01,8.591986617000016849e+03,4.120281499999982771e+02,258,271
26,7.153523689346099612e-01,3.927703018689400194e-01,9.071997174999996787e+03,1.800268389999982901e+02,273,278
27,6.523596963892398515e-01,4.076842562527707159e-01,9.360023979999998119e+03,1.799877800000249408e+02,281,287
28,7.376979931971424653e-01,3.793105426946642433e-01,9.655996876999997767e+03,1.880430660000129137e+02,290,296
29,7.469761638577212537e-01,3.609293851029163891e-01,9.900009557000012137e+03,5.920364560000016354e+02,298,315
30,7.336210098202511354e-01,3.790903829014855564e-01,1.053601765799999703e+04,3.039472140000143554e+02,317,326
31,6.992634904150203390e-01,3.549052045497465002e-01,1.085202100200002315e+04,5.560223079999850597e+02,326,343
32,5.364264287932516417e-01,3.378511069458021154e-01,1.153997307000000728e+04,2.240115989999903832e+02,347,354
33,5.135201550605792420e-01,3.461376704859272513e-01,1.181999191599999904e+04,2.680146050000039395e+02,355,363
34,4.717792018091433448e-01,3.640193549737050782e-01,1.213198215700002038e+04,4.480097969999769703e+02,365,378
35,5.940192952120563197e-01,3.988026764295339310e-01,1.276802076500002295e+04,2.840111359999864362e+02,384,392
36,6.112088657222907173e-01,3.961449443783101598e-01,1.311599379300000146e+04,5.439673180000099819e+02,394,410
37,6.129346558634795050e-01,4.024233728243714614e-01,1.369598153300001286e+04,1.759555739999923389e+02,411,417
38,6.417488824345624066e-01,4.063190336133755132e-01,1.393999221700002090e+04,2.159620139999897219e+02,419,425
39,6.252421873722631140e-01,3.982213341476970037e-01,1.416397559000001638e+04,5.840293519999831915e+02,426,443
40,5.785650811630695944e-01,3.977491950872706905e-01,1.479195149800000945e+04,5.240158449999871664e+02,444,460
41,5.360245522136014573e-01,3.985270247074330641e-01,1.538399992900001234e+04,3.880056979999935720e+02,462,474
42,6.097679177944567153e-01,4.099167181786945724e-01,1.585197488500000327e+04,2.760556349999969825e+02,476,485
43,5.274760727308840380e-01,4.079323234792783248e-01,1.621996866700000828e+04,2.120045059999974910e+02,487,494
44,4.760613556012813774e-01,4.267512742824488559e-01,1.652803304599999683e+04,1.399519750000035856e+02,496,501
