# Idx, longitude, latitude, start timestamp, duration, start frame, end frame
0,5.021212025164188963e-01,5.200053354246092496e-01,0.000000000000000000e+00,2.480038300000014715e+02,1,8
1,4.855249334812647977e-01,4.951153992622034927e-01,2.839777789999934612e+02,2.000130950000020675e+02,9,15
2,4.545752721771927352e-01,4.865186692717922146e-01,5.359972779999952763e+02,3.880165310000011232e+02,17,28
3,6.346234947101218049e-01,5.994375089078828323e-01,1.320003232000002754e+03,1.000416149999946356e+02,40,43
4,6.401953915125027095e-01,6.055169983287967961e-01,1.439992043999998714e+03,8.798776600000564940e+01,44,47
5,7.138901320827204522e-01,6.398322997199448192e-01,1.924030245000001742e+03,1.679798319999972591e+02,58,63
6,6.905297085776024302e-01,6.600849683862324291e-01,2.143988255999996909e+03,1.239885150000045542e+02,65,69
7,7.561344837994286028e-01,7.758356015669607419e-01,2.467999274000001606e+03,8.000888699998904485e+01,75,77
8,7.755413855235696596e-01,7.786691408554382576e-01,2.603994880999991437e+03,3.359998640000121668e+02,79,89
9,8.026761195165473817e-01,7.428968915972675724e-01,3.059973008000000846e+03,8.003369099998963065e+01,92,95
10,8.228212602408326859e-01,6.869568909062133688e-01,3.351969295000002603e+03,2.120036509999918053e+02,101,107
11,6.924860786281727965e-01,6.216181768852749867e-01,4.020003245999992942e+03,1.359636759999993956e+02,121,125
12,6.743064292191692788e-01,6.345598514333808948e-01,4.192009296000003815e+03,2.479961320000002161e+02,126,134
13,6.387804098672564823e-01,5.302171982726822108e-01,4.568005621000003885e+03,3.479567769999994198e+02,138,148
14,5.500196965857566678e-01,4.932149264472789341e-01,5.039972010999990744e+03,2.199925080000102753e+02,152,158
15,4.961651084663274425e-01,5.663026952108582979e-01,5.444008736999996472e+03,1.039540770000021439e+02,164,167
16,3.249325606121020726e-01,5.468674619355258226e-01,6.187990860999998404e+03,6.480246020000049612e+02,186,206
17,3.694757984070641266e-01,4.860551693299394183e-01,6.896048643000001903e+03,2.199386240000021644e+02,207,214
18,3.598984608818658337e-01,4.996999889871367451e-01,7.147960942999998224e+03,1.160224659999948926e+02,215,218
19,3.385596913606414571e-01,6.143669203159756176e-01,7.595965893000000506e+03,8.002627799999027047e+01,228,231
20,4.011004237842306086e-01,6.445898838121773000e-01,7.840002521000002162e+03,9.198205199999210890e+01,236,238
21,3.994724695174161067e-01,6.847767555989721089e-01,7.964012988999995287e+03,1.799689630000066245e+02,239,245
22,4.109884459025059389e-01,7.077936447339306936e-01,8.164004130999994231e+03,1.239805320000014035e+02,245,249
23,4.118030671981240953e-01,6.883107682701676833e-01,8.299964955999996164e+03,1.000427550000022165e+02,249,252
24,3.627279388929133264e-01,6.385689589766884167e-01,8.691972636999998940e+03,1.439918769999931101e+02,261,265
25,4.350502534514999464e-01,4.648918126428153164e-01,9.080011121000003186e+03,2.159734179999941261e+02,273,279
26,4.049776403469631525e-01,4.876047050229834756e-01,9.335988983000002918e+03,1.307998135000001639e+03,281,320
27,4.128669828100408612e-01,4.814904898676671818e-01,1.067994966399999976e+04,2.000082479999982752e+02,321,327
28,4.138661836395718385e-01,6.089975994426570782e-01,1.114796595899999375e+04,2.239947769999998854e+02,335,341
29,4.363579139039961419e-01,4.802665474972179771e-01,1.147194390499999281e+04,2.000615620000025956e+02,344,350
30,4.654475092262663205e-01,4.612887185029223014e-01,1.173199787700000161e+04,3.439596409999940079e+02,352,363
31,3.928783471326422472e-01,3.879768077172218721e-01,1.229994516799999110e+04,3.679949220000125933e+02,369,380
32,6.254989826554857579e-01,4.209150312636120717e-01,1.305998084299999755e+04,1.759994810000061989e+02,392,397
33,6.565537225907956964e-01,4.186470325878567378e-01,1.327992317399999592e+04,1.119971030000015162e+02,399,402
34,5.660624487753942446e-01,5.357699939234182862e-01,1.359601062299999467e+04,1.999389680000022054e+02,408,414
35,4.902562937053891456e-01,5.564740860015680024e-01,1.392793095500000345e+04,1.720513809999974910e+02,418,423
36,4.536911194391222146e-01,5.708643532928201481e-01,1.414396994599999744e+04,3.840077049999963492e+02,424,436
37,4.983258355418648256e-01,5.570094723482952315e-01,1.458798574200000439e+04,1.240284299999912037e+02,438,442
38,5.488012157193808971e-01,5.122622174885684831e-01,1.491201529199999641e+04,3.919629200000053970e+02,448,459
39,5.691381791844183358e-01,5.042062404201396175e-01,1.535594783800000732e+04,1.039851529999868944e+02,461,464
40,5.476539052813392816e-01,5.185028171347330073e-01,1.547196830799999589e+04,5.599992030000139493e+02,464,481
41,5.658476695827603375e-01,4.891169082979107685e-01,1.608398959500000637e+04,1.840159929999790620e+02,483,488
42,5.617868189651658017e-01,4.761640437752303612e-01,1.629997327699999732e+04,3.080333030000037979e+02,489,498
43,5.459591165567708737e-01,5.040846586259861706e-01,1.681199172299999918e+04,3.239864989999914542e+02,504,514
44,5.488323181305884146e-01,5.290651938145080058e-01,1.719196722299999965e+04,7.600242720000096597e+02,516,539
45,5.749389048551681869e-01,4.736247546145258003e-01,1.802798214699998789e+04,3.799601050000055693e+02,541,552
46,5.849720204064465801e-01,5.014589560968376603e-01,1.845597518200000923e+04,1.640516899999929592e+02,554,559
47,5.088571277371677359e-01,5.225405721464755349e-01,1.870000069100000837e+04,3.559370819999894593e+02,561,572
48,4.757268210736400604e-01,5.314133451330851354e-01,1.912392331800000102e+04,2.480311989999900106e+02,574,581
49,4.682717365834567769e-01,4.986606194867023722e-01,1.943591612500000338e+04,4.120295749999932013e+02,583,596
50,4.520080401122656966e-01,4.863547473057977522e-01,1.991595633299999463e+04,1.480021290000004228e+02,598,602
0,9.997970667759087382e-01,5.283937003552905409e-01,0.000000000000000000e+00,5.203979399998206645e+01,1,2
1,1.380792611318681917e-02,5.169541995927241507e-01,8.802288999999291264e+01,1.759611039999872446e+02,3,9
2,4.354233007745222928e-02,5.193590352318842029e-01,3.199912780000013299e+02,9.998779499999363907e+01,10,13
3,6.737026192187500762e-02,5.615097142661727991e-01,4.879772049999737646e+02,4.040623600000108127e+02,15,27
4,1.838487337338973182e-02,6.868343935796048516e-01,1.004028186999988975e+03,2.919833599999838043e+02,31,39
5,3.938486348125691539e-02,7.651526210329240296e-01,1.520046667999995407e+03,2.199222289999888744e+02,46,53
6,6.266127046140090862e-02,7.410354445986947480e-01,1.772000469999999041e+03,1.479871129999810364e+02,54,58
7,9.243904731481372705e-02,5.718391928870660834e-01,2.056053697999974247e+03,9.997382500002277084e+01,62,65
8,1.037284290673043952e-01,5.412488331258995533e-01,2.196036553999991156e+03,1.599619970000057947e+02,67,71
9,1.216578944083051006e-01,5.408570789018644076e-01,2.387980515999981435e+03,1.560292900000058580e+02,72,77
10,1.310553342658015707e-01,4.686327838488926201e-01,2.619983685999992304e+03,2.040163499999907799e+02,79,85
11,1.471241069205798113e-01,4.747608301739743020e-01,2.884027837999979965e+03,1.160051490000041667e+02,87,91
12,5.045005496320849048e-01,4.368923752870560451e-01,3.640038065999979153e+03,8.793935500000952743e+01,110,112
13,6.707062530638259190e-01,4.903839397085516527e-01,4.063978925999981584e+03,1.239948670000012498e+02,123,126
14,6.854699247729669764e-01,5.651162969984004913e-01,4.256008133999974234e+03,4.679718340000254102e+02,128,142
15,6.498484726135684841e-01,5.589219252318065045e-01,4.767960479999979725e+03,1.760303840000124183e+02,144,149
