# Idx, longitude, latitude, start timestamp, duration, start frame, end frame
0,5.004807782606065514e-01,5.221183456741957940e-01,0.000000000000000000e+00,4.279744930000160821e+02,1,11
1,4.717040892828860965e-01,5.097504386655326014e-01,4.719555750000290573e+02,1.440022330000065267e+02,12,16
2,4.303961471818378293e-01,5.526941362003215952e-01,6.799491080000298098e+02,2.680415759999887086e+02,18,24
3,3.603686509626308210e-01,5.353222889768571857e-01,1.171935427000047639e+03,1.360170769999967888e+02,30,33
4,3.236245396449903833e-01,5.999729633123296324e-01,1.407971090000006370e+03,1.879864510000334121e+02,36,40
5,3.142264235191462030e-01,4.827289030907396805e-01,1.707971253000025172e+03,2.239672659999923781e+02,43,49
6,3.708075239055288463e-01,4.677844706948529607e-01,2.007934352000011131e+03,1.479848329999949783e+02,51,54
7,6.302051230804820436e-01,5.065489010111737800e-01,2.947968389999994542e+03,9.201062100002309307e+01,74,77
8,6.880423796887737975e-01,5.278332054499639270e-01,3.139942001999996137e+03,1.080593370000133291e+02,79,82
9,7.173864614818596941e-01,5.383240952543956181e-01,3.315959842000040226e+03,2.919696750000002794e+02,83,91
10,6.901679641145063160e-01,6.190509061511701994e-01,3.675953309000004083e+03,1.639924929999979213e+02,92,97
11,7.179357111278257264e-01,4.745072073627282228e-01,3.963941240000014659e+03,1.040721759999869391e+02,100,102
12,7.411211964154975629e-01,4.698411525713906967e-01,4.111963991000025999e+03,2.120074940000195056e+02,103,109
13,8.101534489268075179e-01,4.633364507557633516e-01,4.411961018000030890e+03,1.560247279999894090e+02,111,115
14,8.916735817171470568e-01,4.947524639116260836e-01,4.767967038000002503e+03,1.680321140000014566e+02,120,124
15,9.373064859711150998e-01,5.080715823466301906e-01,5.103995343000045978e+03,1.359683239999576472e+02,128,132
16,9.429288336621183264e-01,4.853887737123456780e-01,5.271933373000007123e+03,1.440090760000166483e+02,132,136
17,9.616199573967055825e-01,4.739805440389870395e-01,5.463998503000009805e+03,2.319815030000172555e+02,137,143
18,9.598029381189578935e-01,6.089155129072669759e-01,5.788017142000026070e+03,1.319979840000160038e+02,145,149
19,9.232998358138991835e-01,6.842858692233453333e-01,5.996034053000039421e+03,2.479321429999545217e+02,151,157
20,8.676465941438945562e-01,7.273393286375015032e-01,6.319978564999997616e+03,2.280621960000135005e+02,159,164
21,8.337997100519891625e-01,8.224554755998976230e-01,6.632007495000027120e+03,1.799291639999719337e+02,166,171
22,8.213921432726540850e-01,8.340331699941688770e-01,6.847934295000042766e+03,4.440195019999518991e+02,172,183
23,8.216140601249979358e-01,8.487386187950809457e-01,7.307956897000025492e+03,1.639751019999966957e+02,183,187
24,7.614578082542435844e-01,9.006993605510589251e-01,7.543950364999996964e+03,8.802460000000428408e+01,189,192
25,5.912834215129176840e-01,9.011810724362052660e-01,8.187933482000022195e+03,3.400280100000090897e+02,205,214
26,5.132048346816714401e-01,8.926168618340344363e-01,8.823915192000044044e+03,1.641014029999496415e+02,221,225
27,5.492469339169123721e-01,8.475973317448128874e-01,9.027987708000000566e+03,2.639859900000155903e+02,226,233
28,3.741520682062376979e-01,8.728996051079751517e-01,9.651918411999999080e+03,1.200079910000204109e+02,242,245
29,3.782981880301425903e-01,8.419355516281272767e-01,9.931949981999990996e+03,1.080011770000564866e+02,249,252
30,4.685225517344064894e-01,8.376328254399727502e-01,1.014394151000003330e+04,1.559811079999781214e+02,254,258
31,3.857458739328287756e-01,7.342952308505121817e-01,1.067993998700001976e+04,9.997924199997214600e+01,268,270
32,4.028807689373792300e-01,6.323706665636101842e-01,1.087193355700001121e+04,1.159894680000143126e+02,272,275
33,4.027238289404808658e-01,6.032285632450429258e-01,1.103196911000000546e+04,9.195531200000550598e+01,276,279
34,3.903581466412696654e-01,5.767902435927749760e-01,1.116798846800002502e+04,1.240019949999987148e+02,280,283
35,4.030321887309836759e-01,5.154299587215119827e-01,1.137198343600000953e+04,1.439423609999939799e+02,285,288
36,4.225750954892126821e-01,5.056057024089833929e-01,1.155998784800001886e+04,1.560096190000185743e+02,290,293
37,4.613318314615324489e-01,5.199998402463182900e-01,1.177192093000002205e+04,2.561063219999778084e+02,295,301
38,3.910178380065210124e-01,5.699559562666547397e-01,1.211197944600001210e+04,2.079824140000273474e+02,303,309
39,3.489706644944783331e-01,6.358861221477599690e-01,1.239595427200000267e+04,1.359817240000120364e+02,311,314
40,2.949206064510729863e-01,6.945973846110484740e-01,1.264398306400002912e+04,2.359894769999664277e+02,317,323
41,3.987892542014200847e-01,6.078443002959001973e-01,1.299200763500004541e+04,3.600214069999638014e+02,325,334
