# Idx, longitude, latitude, start timestamp, duration, start frame, end frame
0,4.997488115618990978e-01,5.228331992721150234e-01,0.000000000000000000e+00,3.599684320000087610e+02,1,9
1,5.291950054574086071e-01,3.854863065900263619e-01,5.719495600000082050e+02,9.600507660000002943e+02,15,39
2,4.837145576071975039e-01,3.778310946142172666e-01,1.588041215000004740e+03,2.440021310000010999e+02,40,46
3,4.657890689133675766e-01,3.834509575335218745e-01,1.868060916000002180e+03,1.639282410000014352e+02,47,51
4,5.280322240964303582e-01,3.917656185275555369e-01,2.104052807000000030e+03,3.439710449999984121e+02,53,62
5,5.161417276366144780e-01,4.038182385296972265e-01,2.472077950000006240e+03,9.595295999999507330e+01,62,65
6,4.156376229022128443e-01,5.285557587876053010e-01,2.727980544999998529e+03,1.520594229999987874e+02,69,73
7,3.558387330670325088e-01,5.242208155307641615e-01,3.016036431000000448e+03,2.159685710000048857e+02,76,81
8,3.195998312318293344e-01,5.161843963228456289e-01,3.295976873000006890e+03,2.680342769999988377e+02,83,90
9,2.393385870384506231e-01,5.139391499866656776e-01,3.675987156000002869e+03,9.999343200000294019e+01,92,95
10,2.183460230197655227e-01,5.177415138203884659e-01,3.823999834000002011e+03,3.520214839999971446e+02,96,105
11,2.364137432726145516e-01,3.904314470388877689e-01,4.280023006999996142e+03,2.999592000000120606e+02,108,115
12,2.299373014697821405e-01,3.422005707656458062e-01,4.611974985000008019e+03,5.919976829999941401e+02,116,131
13,2.311470194181928783e-01,3.711604689968959203e-01,5.564019786999997450e+03,3.119623010000068462e+02,140,147
14,2.261534756215698438e-01,4.206500066221082745e-01,5.920013319999998203e+03,1.799678220000059810e+02,149,153
15,2.188304768656182953e-01,4.852157640609536804e-01,6.163999769999994896e+03,1.840502050000068266e+02,155,159
16,2.226156716114370826e-01,5.952306306446089046e-01,6.604053496000007726e+03,1.319785129999945639e+02,166,169
17,2.231600976194880737e-01,6.109715336123158202e-01,6.768023646999994526e+03,1.159463430000032531e+02,170,173
18,2.254561455798044234e-01,6.576446850956273460e-01,6.916001256999996258e+03,6.239382870000117691e+02,173,189
19,2.263083518989811305e-01,5.640425110395362873e-01,7.631975766000003205e+03,3.999794319999928121e+02,191,201
20,2.351512995682834561e-01,4.704253231190643758e-01,8.123988284000006388e+03,1.880048620000015944e+02,204,208
21,2.379176089625163470e-01,3.961943793698210481e-01,8.379984962000002270e+03,1.439821839999931399e+02,210,214
22,2.416737647558878099e-01,3.465961043270229247e-01,8.579976389000003110e+03,1.240603609999961918e+02,215,218
23,2.425312197756891996e-01,3.178842517557078917e-01,8.748014382000008482e+03,4.679604149999941001e+02,219,231
24,1.553752996667230879e-01,4.515437291324131408e-01,9.351995208000007551e+03,3.760236939999886090e+02,234,244
25,1.093902505332736141e-01,5.207743528239265896e-01,9.840032827000002726e+03,6.759877410000044620e+02,247,263
26,2.345474806614800123e-01,6.372155524291203132e-01,1.098400550199999998e+04,1.759712560000043595e+02,275,280
27,2.298754215064779394e-01,6.736864289337802791e-01,1.120399943599999824e+04,2.120053610000031767e+02,281,286
28,2.390937026451070424e-01,6.818113766748429283e-01,1.146000951400000486e+04,2.839923199999902863e+02,287,294
29,2.227354643442966409e-01,5.846244482573074164e-01,1.208799026999999478e+04,1.879729300000035437e+02,303,307
30,4.869803165880159934e-02,5.648083259380055621e-01,1.272398753700000816e+04,8.007075499999336898e+01,319,321
31,8.201022181004491429e-03,5.601811332435437940e-01,1.289196423300000606e+04,1.599812819999933708e+02,323,327
32,2.454638626502791965e-02,5.564232063163917497e-01,1.307601044700000784e+04,1.839792149999993853e+02,327,332
33,9.295066144138268704e-01,5.496358987756732040e-01,1.337602695300000778e+04,5.399995469999994384e+02,335,348
34,9.553437741711219289e-01,5.339032768145048902e-01,1.395999101700000756e+04,1.599459289999940665e+02,350,354
35,8.544126746893467850e-01,6.891176572675052903e-01,1.426399553699999524e+04,2.559875549999997020e+02,357,364
36,8.832716279463479481e-01,6.463875181610894138e-01,1.457593303400000150e+04,1.440412000000069384e+02,365,369
37,8.037250101555959425e-01,5.830936975865068650e-01,1.484396132299999590e+04,4.959934050000010757e+02,372,384
38,9.008096696402205783e-01,5.098265141397206879e-01,1.545993954799999483e+04,3.280788610000017798e+02,387,395
39,2.399098563290092412e-01,4.806487179510170460e-01,1.650798292700000457e+04,1.600140680000040447e+02,413,417
40,3.228291770886360101e-01,5.327053827377354889e-01,1.703199620599999616e+04,1.187974826000005123e+03,426,456
41,5.226386719704000372e-01,3.807397126191476300e-01,1.874395922200000496e+04,1.272016772999995737e+03,469,501
