# Idx, longitude, latitude, start timestamp, duration, start frame, end frame
0,9.914094059386640012e-01,4.918875109035178994e-01,0.000000000000000000e+00,6.400864900002488866e+01,1,2
1,1.307894694238365130e-03,5.234542318673249817e-01,2.279822210000129417e+02,1.919826120000216179e+02,6,11
2,3.625887359502572016e-02,5.354265392828874148e-01,4.759797790000448003e+02,3.800747149999951944e+02,12,21
3,6.793337817140560064e-02,4.192469569104310123e-01,9.439801080000470392e+02,4.559758459999575280e+02,24,35
4,9.564536502354659131e-01,3.690060479071499699e-01,1.516023466000042390e+03,5.999229620000114664e+02,37,52
5,8.753756298036170502e-01,3.239944928110556344e-01,2.224039338000002317e+03,2.519111600000178441e+02,54,60
6,8.650246361942052209e-01,2.984693490537210225e-01,2.519983724999998230e+03,2.239443140000221319e+02,61,67
7,8.565249868221775920e-01,2.729969948641254307e-01,2.775951608000032138e+03,1.480568690000218339e+02,68,71
8,8.565615549955637453e-01,2.322576976654275871e-01,2.967958454000006896e+03,2.119942420000443235e+02,72,77
9,7.709930236051161234e-01,3.296660395359878315e-01,3.327927171000046656e+03,2.160375659999554045e+02,81,86
10,7.828951502784322614e-01,3.421251465558012850e-01,3.559989494000037666e+03,1.320409499999950640e+02,86,90
11,8.215855991910568923e-01,3.986614711351453844e-01,3.747999202000035439e+03,1.559858549999771640e+02,91,95
12,7.521514312230491717e-01,4.841833002534877695e-01,4.047965815000003204e+03,1.640636640000157058e+02,98,102
13,6.605426586873435202e-01,5.281641498118643252e-01,4.680009567000030074e+03,4.439864299999899231e+02,113,124
14,6.408328058811242345e-01,4.898514817762673612e-01,5.191992090000014286e+03,2.639587360000004992e+02,125,132
15,6.640021185047603192e-01,4.737801071087412996e-01,5.503997156000055838e+03,2.119933869999949820e+02,133,138
16,5.948835013840984010e-01,4.374617952375192687e-01,5.803958922000019811e+03,1.439992900000070222e+02,140,144
17,5.425672290277387955e-01,5.120851536256888492e-01,6.027975938000017777e+03,2.000059670000337064e+02,146,150
18,5.331821114215817836e-01,4.910367342500462362e-01,6.263987215000030119e+03,1.079879920000093989e+02,151,154
19,5.159586658541461812e-01,4.974352649095550305e-01,6.395981408999999985e+03,3.559752860000007786e+02,154,163
20,4.819253433051753355e-01,5.026652108108176087e-01,6.800032390000007581e+03,5.119619960000272840e+02,164,176
21,4.535336629999243696e-01,5.052094579337900182e-01,7.355993116000026930e+03,3.919583579999743961e+02,177,187
22,5.322715854799869861e-01,5.234431990776444721e-01,7.836014793000009377e+03,4.559881049999967217e+02,189,200
23,4.841482518157098625e-01,5.283493283655524841e-01,8.351992171999998391e+03,5.159913500000257045e+02,201,214
24,4.753910975030086750e-01,5.267879731655176201e-01,8.887972344000008889e+03,1.679784060000092722e+02,214,218
25,4.881494135650059629e-01,5.033607768149499506e-01,9.087923001000017393e+03,3.120273039999883622e+02,219,227
26,4.234914478465995336e-01,4.624104423314762125e-01,9.479943797000043560e+03,2.560209119999781251e+02,228,235
27,4.902479272678472721e-01,5.015305504996034891e-01,9.811975034000002779e+03,4.799509710000129417e+02,236,248
28,4.383258141793882068e-01,5.608192388111667981e-01,1.039192342900001677e+04,4.720570530000259168e+02,250,262
29,4.137414002254748979e-01,5.493158697597044782e-01,1.090795212700002594e+04,2.280238460000255145e+02,263,268
30,4.413693794823173588e-01,5.600735700569672293e-01,1.120801710000005551e+04,2.799504209999577142e+02,270,277
31,4.548347697600694239e-01,5.726497860445305399e-01,1.152398765700001968e+04,9.996349699998972937e+01,277,280
32,4.475846492010324695e-01,5.777446307132843017e-01,1.164396991200000048e+04,9.997746700001880527e+01,280,283
