# Idx, longitude, latitude, start timestamp, duration, start frame, end frame
0,4.954980912898515610e-01,4.743221451908204989e-01,1.200766300002578646e+01,1.680069159999839030e+02,5,10
1,4.361201061409494262e-01,4.028428447066891849e-01,2.800148550000158139e+02,6.920341649999609217e+02,13,33
2,5.721294866859923944e-01,3.827050251589440011e-01,1.184012472000031266e+03,1.039746039999881759e+02,40,43
3,5.547169084418317464e-01,3.178754657918564375e-01,1.351978049000026658e+03,1.680448349999496713e+02,45,50
4,5.384632982819923530e-01,2.930826559950775456e-01,1.543988600999990012e+03,2.240361170000396669e+02,51,57
5,7.238232395061821034e-01,3.961650398869949186e-01,2.316002288000017870e+03,2.120458459999645129e+02,74,80
6,7.871359073130985706e-01,4.109680071913630606e-01,2.680005206000001635e+03,1.239668470000033267e+02,84,88
7,9.261578507443626318e-01,4.856582143668952689e-01,3.456003771000017878e+03,1.879849049999611452e+02,108,113
8,9.354027402888704934e-01,4.784529374943740088e-01,3.711993037000007462e+03,4.239568379999836907e+02,115,128
9,8.718904064145068800e-01,4.470717668606787321e-01,4.215953916000027675e+03,2.000213619999703951e+02,131,137
10,5.432458627396397066e-01,3.919363183692841091e-01,5.231965171999996528e+03,2.000133800000185147e+02,161,167
11,4.373740905731955397e-01,3.831049480061602397e-01,5.543993902000016533e+03,4.439884259999962524e+02,170,184
12,3.827883021431121024e-01,3.946027526356898907e-01,6.055987544000032358e+03,1.320033169999951497e+02,186,190
13,2.867205626316029488e-01,4.028835424575135660e-01,6.295962601999985054e+03,1.960401910000364296e+02,193,199
14,2.628106063058351927e-01,4.253644821279032318e-01,6.539990392000006977e+03,1.680354270000243559e+02,200,205
15,2.150106796115924812e-01,4.637546432901324955e-01,6.808061732000031043e+03,2.319197719999938272e+02,208,215
16,1.733743445995099552e-01,4.596401265022380667e-01,7.139955550000013318e+03,5.800427640000125393e+02,218,236
17,2.201810934968251310e-01,5.359070054308765485e-01,7.808026850000023842e+03,2.119768509999848902e+02,238,245
18,2.488175462443085184e-01,5.223112046136207942e-01,8.075990706000011414e+03,2.599975219999905676e+02,246,254
19,3.026060920733451010e-01,4.847944860106019327e-01,8.423943491999991238e+03,1.120561200000229292e+02,257,260
20,5.725638245778242874e-01,4.035441349374733200e-01,9.159974677000020165e+03,4.919905649999855086e+02,279,294
21,5.727057744241773607e-01,4.742253297761782616e-01,9.719945654999988619e+03,2.280848570000380278e+02,296,302
22,5.720561220415996129e-01,6.600630627785104565e-01,1.023197464999998920e+04,2.599781350000412203e+02,311,319
23,5.386116914912666420e-01,7.105025947074240511e-01,1.057199360300000990e+04,4.679706790000200272e+02,321,335
24,4.732273380687846975e-01,7.015826235712170345e-01,1.107996245300001465e+04,3.799943169999751262e+02,336,347
25,5.168428210654947286e-01,4.694325837054958983e-01,1.168797291800001403e+04,2.079754379999940284e+02,355,361
26,5.278499060210343208e-01,4.293611905344543178e-01,1.195596528499998385e+04,9.202339200000278652e+01,363,365
27,5.603102929412682176e-01,3.933501830853115555e-01,1.209995146000001114e+04,1.800436599999666214e+02,367,372
28,4.410034841260755956e-01,3.703192493935409946e-01,1.237994692700001178e+04,8.360143539999844506e+02,375,400
29,5.097039992084220206e-01,3.256915521803727120e-01,1.330799294100003317e+04,1.519986959999660030e+02,403,408
30,5.616154562338251388e-01,2.945752968152050011e-01,1.352800483599997824e+04,2.560126450000097975e+02,410,417
31,5.093284803680775408e-01,2.870877864110907840e-01,1.385195569799997611e+04,2.480360460000229068e+02,419,427
32,5.607305168273066798e-01,3.825766712192824048e-01,1.424804433599999174e+04,4.519048680000123568e+02,431,445
33,4.575816456862127346e-01,3.812052358083953818e-01,1.480398339399998076e+04,2.880424860000493936e+02,448,457
34,4.345277261447235695e-01,3.643608568165430661e-01,1.512798700000002282e+04,6.239685069999541156e+02,458,476
35,4.391416553595779426e-01,3.673905593970914207e-01,1.577599877200002084e+04,9.919922260000021197e+02,477,507
36,5.216259743165096996e-01,5.172738291738496752e-01,1.713598535000003176e+04,2.239902159999473952e+02,518,525
37,4.924068039421010123e-01,4.561117300095359761e-01,1.755204085799999302e+04,1.079691750000347383e+02,530,534
38,5.024807923750169714e-01,4.279804799630787526e-01,1.787599884700000985e+04,3.119528919999720529e+02,540,549
39,5.139385070886904883e-01,3.109047944899608895e-01,1.837595688700000755e+04,1.239625699999742210e+02,555,559
40,4.520628730837938924e-01,2.829923025071919840e-01,1.856395234000001801e+04,1.839846319999778643e+02,561,566
41,5.156500192988812126e-01,3.149518348311584059e-01,1.882396896399999969e+04,5.480297439999994822e+02,568,585
42,4.419803187515334297e-01,3.764998022411122358e-01,1.945193403900001431e+04,4.519812749999691732e+02,587,601
0,1.430730308357663905e-03,5.434809535682092463e-01,0.000000000000000000e+00,2.519965669999946840e+02,1,8
1,2.963309559941523785e-02,5.844473350714780580e-01,3.039975879999692552e+02,2.000186400000238791e+02,10,16
2,9.962770052129943377e-01,6.672551727378680519e-01,5.720063769999542274e+02,1.320310570000438020e+02,18,22
3,9.390970566815308729e-01,6.701664954932318174e-01,7.720683529999805614e+02,2.559093160000047646e+02,24,31
