# Idx, longitude, latitude, start timestamp, duration, start frame, end frame
0,4.935851401820567919e-03,5.273197013741808270e-01,0.000000000000000000e+00,6.799914359999820590e+02,1,17
1,9.379553057438390073e-01,5.871631174600526748e-01,7.719937309999950230e+02,1.879686539999966044e+02,19,24
2,9.058276210735335399e-01,5.253895954041420957e-01,1.035967861999990419e+03,1.160772060000163037e+02,25,28
3,8.939500041750092496e-01,4.808201615020083475e-01,1.204020965999981854e+03,1.479399770000018179e+02,29,33
4,8.207370675331087106e-01,4.683214907733799226e-01,1.443986044999997830e+03,2.319776480000000447e+02,35,41
5,7.830618205837210910e-01,4.695808403206297443e-01,1.739966639999998733e+03,3.120760569999984000e+02,42,50
6,8.331468298798249128e-01,4.967100349032516071e-01,2.199988945999997668e+03,5.000384389999962877e+02,53,65
7,6.939957771623855853e-01,4.776395327165628979e-01,2.835998187999997754e+03,2.560226229999971110e+02,69,75
8,6.607680657698523641e-01,4.764971960732525824e-01,3.159979554999998072e+03,2.120293109999911394e+02,76,81
9,6.495200205535749394e-01,4.679117637245676642e-01,3.420036378999997396e+03,2.879227419999951962e+02,82,89
10,5.535059396358847916e-01,4.692577510818446429e-01,3.807998170000006212e+03,2.599958119999791961e+02,92,98
11,4.897379196978317584e-01,4.780605576505337906e-01,4.155997142999985954e+03,4.679618410000111908e+02,100,111
12,4.247982319073004831e-01,4.627048931981636581e-01,4.695998116000002483e+03,7.679720739999902435e+02,113,131
13,3.629104517521203332e-01,4.912400838884992682e-01,5.539943165999982739e+03,2.480745350000215694e+02,133,139
14,4.026493046203339921e-01,5.658040319431971721e-01,5.887967512999981409e+03,3.439505170000193175e+02,142,150
15,4.153113902743899022e-01,5.338592792089407180e-01,6.435965324999997392e+03,1.320135810000065248e+02,155,158
16,4.386927960452875475e-01,4.854435537954018276e-01,6.740016887000005227e+03,1.155935861999983899e+03,162,190
17,5.031270844314439383e-01,4.974306366956913195e-01,7.988002084999985527e+03,7.319949889999988955e+02,192,210
18,4.346795558682361449e-01,4.659158850895683823e-01,8.799986573999980465e+03,2.039820060000056401e+02,212,216
19,4.952027309000792687e-01,4.929103151447364883e-01,9.071972085999994306e+03,3.120464060000085738e+02,218,225
20,6.199712955065668218e-01,4.878315889964185414e-01,9.560007423999981256e+03,2.719721130000252742e+02,230,236
21,6.551245118532572631e-01,4.728588071132550086e-01,9.895949411999987205e+03,1.800402380000159610e+02,238,242
22,7.302439079405149691e-01,4.511085605160577439e-01,1.017599534199998016e+04,3.439727560000028461e+02,245,253
23,7.423918643190077216e-01,4.469213666143602159e-01,1.054398171199997887e+04,3.999919770000269637e+02,253,263
24,7.642771932896470499e-01,4.551807661147631023e-01,1.097996959100000095e+04,1.639875419999880251e+02,264,268
25,7.560418192589225539e-01,4.537896488309010046e-01,1.117994248599998537e+04,2.000381840000045486e+02,269,273
26,8.416731800752111914e-01,4.859001393437253347e-01,1.148399091199997929e+04,4.119511720000009518e+02,276,286
27,7.687674974835871922e-01,4.635603151299756419e-01,1.198392671400000108e+04,2.800362369999929797e+02,288,295
28,7.881786927634385487e-01,4.526664305031742330e-01,1.230794799499999499e+04,1.040347609999880660e+02,296,298
29,8.336811874050926718e-01,4.895030005677677432e-01,1.246391303799999878e+04,4.360665670000016689e+02,299,310
30,1.717750422948410849e-02,5.054461373605962926e-01,1.323591646099998616e+04,1.439987200000032317e+02,318,321
31,4.568437273481162908e-02,4.863042221737384763e-01,1.343592812999998569e+04,2.240050409999967087e+02,323,328
32,1.431319844929845875e-02,4.809750396022063335e-01,1.371594041899999138e+04,1.760248549999960233e+02,329,334
33,8.065019959387733639e-01,4.687992273972498847e-01,1.416401578899999731e+04,1.759216479999886360e+02,340,344
34,8.557452528807878434e-01,4.968717986744870529e-01,1.439598687900000368e+04,4.839974320000037551e+02,346,357
35,9.061011788493450458e-01,5.135065716414846104e-01,1.494395247499999823e+04,2.360175499999895692e+02,359,364
36,8.752270559108842329e-01,5.372207853095370966e-01,1.524799348800000735e+04,4.239930469999962952e+02,366,376
37,9.292636391760323855e-01,5.308567729737188046e-01,1.575201309799999581e+04,2.999500769999867771e+02,378,385
38,8.900707371261652456e-01,4.894550456672848160e-01,1.611592307200000505e+04,2.800382329999993090e+02,387,394
39,8.786297870115928887e-01,5.211054482794557074e-01,1.643198172599999816e+04,3.999566239999840036e+02,394,404
40,8.779316134166775809e-01,5.505999110772912264e-01,1.684398763799999142e+04,2.679527370000141673e+02,404,411
41,9.009266381903953125e-01,4.932129344640684421e-01,1.727997295100000338e+04,3.119657219999935478e+02,415,422
42,9.143946973245524745e-01,4.910607856212673150e-01,1.761193889900000067e+04,4.600485359999875072e+02,423,434
43,1.017843085222943089e-01,4.962810966638143695e-01,1.830795737299998291e+04,1.640325870000233408e+02,439,443
44,1.536576274782396334e-01,4.993004463389403291e-01,1.854396979099998134e+04,2.760262700000021141e+02,445,452
45,2.356087439285514118e-01,4.934221219400516389e-01,1.892401599600000191e+04,1.759096739999949932e+02,454,458
46,2.970503959316468379e-01,4.905306912111119244e-01,1.917598588699998800e+04,1.799988989999983460e+02,460,465
47,3.531677215860412611e-01,4.655281836850737598e-01,1.943592496299999766e+04,3.119859649999998510e+02,467,474
