# Idx, longitude, latitude, start timestamp, duration, start frame, end frame
0,5.081377632107407782e-01,5.420936610641082787e-01,0.000000000000000000e+00,2.999948380000423640e+02,1,10
1,4.632323086153045111e-01,5.179327147464030112e-01,3.679977730000391603e+02,1.600317439999780618e+02,12,16
2,5.449887979156080586e-01,5.743189341621622868e-01,6.040332850000122562e+02,5.559940819999901578e+02,19,35
3,5.619834050310085205e-01,5.663068790449833356e-01,1.208005273000046145e+03,3.679943519999505952e+02,37,48
4,4.636045788286343727e-01,5.486041135394378321e-01,1.676010449000052176e+03,2.000071069999830797e+02,51,57
5,4.309936411744671458e-01,5.169124278711134668e-01,1.932021953000046778e+03,4.119756899999920279e+02,59,71
6,3.234977836814022512e-01,5.603727628619806778e-01,2.460044913000019733e+03,1.119514869999838993e+02,74,78
7,3.358601437480324137e-01,6.128807942465009928e-01,2.627989107000001241e+03,5.919865640000207350e+02,79,97
8,2.601334982023977282e-01,6.636850975243535622e-01,3.303962594000040554e+03,4.040036540000000969e+02,100,112
9,2.002543882658568974e-01,6.767735408043917822e-01,3.795959716000012122e+03,1.360452149999910034e+02,114,119
10,1.760580980625174874e-01,5.361101701010748677e-01,4.180033565000048839e+03,1.119740099999471568e+02,126,129
11,6.737948157984513520e-02,5.261461884235657527e-01,4.411965311000007205e+03,1.480776809999952093e+02,133,137
12,8.140424547487579154e-02,5.580686680141261347e-01,4.592000417000032030e+03,1.879854749999940395e+02,138,144
13,1.144930806334146234e-01,5.921448917693763470e-01,4.828002572000026703e+03,2.559681679999921471e+02,145,153
14,9.377218662142322581e-02,5.723024539457575166e-01,5.127975742000038736e+03,1.680479719999711961e+02,154,159
15,7.933361685552675624e-02,5.369399172686308841e-01,5.339982529000029899e+03,1.240255780000006780e+02,161,164
16,2.125492754153496811e-01,5.659550292541568606e-01,5.576009202000044752e+03,2.200007769999792799e+02,168,174
17,1.510604647616717311e-01,4.856213765277370698e-01,5.875969543000042904e+03,2.560126440000021830e+02,177,184
18,2.152722725072608867e-01,5.454989279334732100e-01,6.208040979000041261e+03,1.599621799999731593e+02,187,191
19,2.286365423263425067e-01,5.368461698294049178e-01,6.399966570999997202e+03,1.280355450000497513e+02,192,196
20,2.733755884307325079e-01,5.648705929853442553e-01,6.660041356000001542e+03,1.000202320000389591e+02,200,203
21,4.699213744727699371e-01,5.187732125676821626e-01,7.227974961000028998e+03,1.152012565999990329e+03,217,252
22,5.651475735597313310e-01,5.500133325374124693e-01,8.592038220000045840e+03,5.720216899999650195e+02,258,275
23,6.443181786260009369e-01,5.438870309470129616e-01,9.295974275000044145e+03,1.000418999999528751e+02,279,282
24,8.394420804057718399e-01,5.217845667071387972e-01,9.791975092000036966e+03,1.159785599999595433e+02,294,298
25,8.587850020035973087e-01,5.351429470505528752e-01,9.951994577000034042e+03,1.559790119999670424e+02,299,304
26,8.959678253393168479e-01,5.528205625562381265e-01,1.017595913299999665e+04,2.480226470000343397e+02,306,313
27,9.594252300199059835e-01,6.328623876608223675e-01,1.064393922100000782e+04,2.240589250000193715e+02,320,326
28,9.741398004372767705e-01,6.604531571693190717e-01,1.089196642900002189e+04,1.600226210000109859e+02,327,332
29,9.724815078451277683e-01,6.621704761700095698e-01,1.143198650300002191e+04,3.119990790000301786e+02,343,352
30,9.721668307823019273e-01,7.345907347381742669e-01,1.245599802100000670e+04,1.399873270000098273e+02,374,378
31,8.935803015234392577e-01,6.610891086579576692e-01,1.290401123900001403e+04,1.200133309999946505e+02,387,391
32,8.875097428103341235e-01,6.303737572587271298e-01,1.306006067100004293e+04,1.079395249999943189e+02,392,395
33,8.374903912845126364e-01,6.649364339987560157e-01,1.323603078600001754e+04,2.919540929999784566e+02,397,406
34,8.598866881908513449e-01,6.369344454580483372e-01,1.357196393600001466e+04,2.440380540000041947e+02,407,415
35,6.918996141763460450e-01,6.630111806621560300e-01,1.397595533100003377e+04,1.560217779999948107e+02,419,424
36,5.944307370908780142e-01,6.093858737568172979e-01,1.423999988300004043e+04,2.119916769999545068e+02,427,434
37,5.834734390749490851e-01,6.102337165787604656e-01,1.449999084800004493e+04,1.799914859999553300e+02,435,441
38,5.096486208291366449e-01,5.921096429034697906e-01,1.476802426900004502e+04,1.439288700000033714e+02,443,448
39,4.578111543863863098e-01,5.502756844565739325e-01,1.497999998000002233e+04,2.240036160000017844e+02,450,456
40,5.521068315794532833e-01,5.698937264318203466e-01,1.631597037799999816e+04,1.960005620000301860e+02,490,495
41,4.660150494423158651e-01,5.069666890255486447e-01,1.665999986900005024e+04,1.435929332999978215e+03,500,543
42,4.654848394004159617e-01,5.094775374058369000e-01,1.810796451900003012e+04,1.700049152999999933e+03,543,594
43,5.167489014657038471e-01,5.307812459693171947e-01,1.988396611999999732e+04,1.439838950000121258e+02,597,601
0,1.236761585583001644e-03,4.938030677932370160e-01,0.000000000000000000e+00,2.199461780000128783e+02,1,7
1,2.100174766216739153e-02,5.263753838589254608e-01,2.799862389999907464e+02,9.998921999998856336e+01,9,12
