# Idx, longitude, latitude, start timestamp, duration, start frame, end frame
0,9.840822534527291499e-01,5.077712758228736245e-01,0.000000000000000000e+00,3.359773400000012771e+02,1,11
1,3.677854570277400148e-02,5.140991629947456731e-01,4.160304180000021006e+02,1.199985059999999066e+02,13,17
2,5.442846851966415267e-02,5.203806773467607449e-01,5.680188510000007227e+02,2.520425920000016049e+02,18,25
3,9.729903010213235559e-01,4.844348675828135109e-01,9.079756520000009914e+02,1.520180829999990237e+02,28,32
4,9.535963772344444589e-01,4.749075824254607170e-01,1.096023280000001250e+03,3.359770549999993818e+02,33,44
5,9.599493941873071812e-01,4.921997364129537811e-01,1.624053652999999031e+03,5.559573040000032051e+02,49,66
6,9.976451509492191283e-01,5.456759114778975128e-01,2.260083421999999700e+03,2.318878399999994144e+02,68,75
7,5.926037097095598893e-02,5.269130344711902003e-01,2.572008375000001251e+03,4.000264739999984158e+02,78,90
8,2.151853723231345050e-02,5.289585048127933842e-01,3.040022673999999824e+03,3.439961340000008931e+02,92,102
9,1.159107377892831803e-02,5.079342359916190208e-01,3.407973406000000978e+03,3.480209260000010545e+02,103,113
10,6.993379984597164478e-02,5.246009636264085119e-01,3.831966737000002468e+03,4.600693479999972624e+02,115,129
11,9.473831910269259193e-01,4.820659428999014562e-01,4.591989298000000417e+03,3.120170409999991534e+02,138,148
12,9.291359453421965675e-01,6.048410481138040140e-01,5.195948457000002236e+03,1.920353559999966819e+02,156,162
13,8.950354141673644293e-01,5.594554367923092464e-01,5.456036071000002266e+03,1.639553249999989930e+02,164,169
14,8.901777489011218902e-01,5.077196480440410165e-01,5.675937632000001031e+03,1.880342270000001008e+02,171,176
15,9.420946346512233394e-01,4.936225575908369523e-01,5.955977289999998902e+03,2.040356060000012803e+02,179,185
16,9.286405384564074827e-01,4.823314529421621755e-01,6.192009951000000001e+03,2.199440400000021327e+02,186,193
17,8.378634787294069186e-01,5.636075656568579895e-01,6.523950240000001941e+03,2.560380179999992833e+02,196,204
18,8.072282883822557986e-01,5.332493073837025754e-01,6.835995790000000852e+03,2.280460840000014286e+02,206,212
19,8.047877368158948830e-01,5.284058755317555534e-01,7.072019328000002133e+03,1.439402730000001611e+02,213,217
20,7.929964077595420546e-01,5.290330516289805107e-01,7.247962358000000677e+03,1.840319589999999152e+02,218,223
21,7.579679195313833162e-01,5.316548904413482823e-01,7.483991882000002079e+03,1.880732869999992545e+02,225,231
22,7.242525093821732263e-01,5.324887758956124983e-01,7.732033346000000165e+03,3.999526320000004489e+02,232,244
23,7.115799806094309510e-01,5.473917616173067380e-01,8.164005841000001965e+03,4.800467659999994794e+02,245,260
24,7.443603993046326028e-01,5.554214244326508565e-01,8.691988032000001112e+03,8.919862489999977697e+02,261,288
25,8.248122767252562548e-01,5.478619649308424933e-01,9.696004741000000649e+03,1.360218370000002324e+02,291,295
26,8.259155263710142858e-01,5.512635099944016570e-01,9.999988448000000062e+03,1.759957749999994121e+02,300,306
27,8.180455655526621683e-01,5.512536819977980063e-01,1.037600786599999992e+04,7.039919349999981932e+02,311,333
28,8.239810874307478272e-01,5.273415831035688228e-01,1.110400400700000318e+04,1.240133189999978640e+02,333,337
29,8.057873344134980353e-01,4.697274922541734288e-01,1.128397952700000315e+04,1.000099689999988186e+02,339,342
30,6.707990790976910978e-01,5.032500958292935866e-01,1.151603956900000048e+04,3.359248819999993430e+02,346,356
31,6.440526762893213908e-01,5.063582324147477554e-01,1.190798424299999897e+04,2.440460370000000694e+02,358,365
32,6.159594073108113355e-01,5.163535539809384067e-01,1.221199389399999927e+04,5.439319660000037402e+02,367,383
33,5.532582932479159776e-01,5.316440371096009532e-01,1.283598321500000020e+04,2.439599349999989499e+02,385,393
34,6.601008330504459787e-01,5.926766667458139848e-01,1.317997136599999794e+04,3.840416320000003907e+02,396,407
35,5.658790869891753283e-01,5.563842675697615592e-01,1.368395448300000135e+04,2.560140689999971073e+02,411,418
36,5.353556748495711393e-01,5.616507116254404464e-01,1.399598207199999888e+04,2.120190460000012536e+02,420,426
37,4.868108820673833215e-01,5.314166375148756671e-01,1.428799888700000156e+04,2.119919609999997192e+02,429,435
