# Idx, longitude, latitude, start timestamp, duration, start frame, end frame
0,5.027371152040319702e-01,5.234596444555598138e-01,0.000000000000000000e+00,3.519589869999908842e+02,1,9
1,5.881918252934006386e-01,4.988779047834229763e-01,4.399770309999876190e+02,8.000665799999842420e+01,12,14
2,6.172915304385278024e-01,4.862750672611840796e-01,5.840513949999876786e+02,2.159265149999991991e+02,15,21
3,5.880963001018791880e-01,6.896567894935775600e-01,9.359847239999799058e+02,1.439708720000053290e+02,24,28
4,5.139964444812410438e-01,7.063325659887660368e-01,1.155963972999976249e+03,6.359968210000079125e+02,30,46
5,5.105365393301118937e-01,5.744072631422370012e-01,1.895982791999995243e+03,3.440128909999912139e+02,48,57
6,5.068640195831946027e-01,6.687682505270109434e-01,2.307975853999989340e+03,1.920132410000078380e+02,58,63
7,6.134183780066313485e-01,4.785176517275820940e-01,2.683994657999981428e+03,3.039670810000097845e+02,68,75
8,7.949918530318105248e-01,5.788842616819681597e-01,3.915977557999984128e+03,3.480892889999959152e+02,99,107
9,8.249516300359692744e-01,5.770518072540977705e-01,4.327979171999992104e+03,1.919758929999952670e+02,109,114
10,7.066927497944943681e-01,6.672963326893777136e-01,4.639951367000001483e+03,1.920092500000027940e+02,117,121
11,5.386873359110819770e-01,8.436807940398328709e-01,5.299932451999979094e+03,1.120690210000029765e+02,133,136
12,4.693323735729553192e-01,8.876009109085141180e-01,5.491938850999984425e+03,1.240319299999973737e+02,138,141
13,4.031961303387082696e-01,8.190307907422464950e-01,5.727934599999978673e+03,9.599778200002037920e+01,144,146
14,3.612032535570378622e-01,7.750066589586377397e-01,5.895957304999988992e+03,1.200410630000114907e+02,148,151
15,3.815016740531947947e-01,4.830769983706275639e-01,6.463979941999976290e+03,6.560232890000042971e+02,162,179
16,2.816534381351776251e-01,4.083954982078968898e-01,7.243979281999985687e+03,1.119703750000044238e+02,182,185
17,3.481831684525300563e-01,2.530035510993524639e-01,7.604008955999976024e+03,8.794562800001585856e+01,191,193
18,3.461323373453110142e-01,1.734820779418626557e-01,7.784017949000000954e+03,1.079789379999856465e+02,195,198
19,3.711695609805636398e-01,1.481534218142386283e-01,7.947976515999995172e+03,1.160000169999839272e+02,199,202
20,4.654075978405629588e-01,1.588639809702843131e-01,8.139979493999999249e+03,1.319985539999906905e+02,204,207
21,5.182259423237124407e-01,1.806679740308918536e-01,8.339997847999999067e+03,9.999577799998223782e+01,209,212
22,5.116434695167395574e-01,5.624755030834434066e-01,9.064003874999994878e+03,2.119504719999968074e+02,227,233
23,5.089671803086850410e-01,5.368675813672679764e-01,9.303972528999991482e+03,1.600227240000094753e+02,233,237
24,6.208509415403599130e-01,4.787896850740052113e-01,9.611966400999983307e+03,1.280752570000186097e+02,241,244
25,6.161763177411840875e-01,4.757077552817428057e-01,9.744023971999995410e+03,2.559306989999895450e+02,244,251
26,6.180341312156639733e-01,5.911854656449051504e-01,1.009194761599999038e+04,2.360279659999941941e+02,253,259
27,1.439640553735067052e-01,5.736690792437951769e-01,1.110004051299998537e+04,1.239717740000050981e+02,278,281
28,1.022131503856590351e-01,6.195180788181156029e-01,1.130806740299999365e+04,1.358719599999894854e+02,283,287
29,7.089476310438458384e-02,6.051065017867517382e-01,1.152397852199999033e+04,2.559982690000033472e+02,289,295
30,1.351508413246775842e-01,7.247410910015139596e-01,1.186798884700000053e+04,1.000325559999910183e+02,297,300
31,1.796262890997546435e-01,7.016431129586746529e-01,1.203601183699999820e+04,1.319503729999996722e+02,302,305
32,1.835477295996804648e-01,6.844831895456731097e-01,1.219194618899998022e+04,1.799867540000122972e+02,305,310
33,1.771286967461867534e-01,8.629679672536232360e-01,1.247996462600000086e+04,1.440438579999899957e+02,313,316
34,1.457872132661694464e-01,9.147387828349660133e-01,1.270398834199999692e+04,1.720067299999936949e+02,318,323
35,9.885733088923263079e-01,9.503556121038010396e-01,1.294394986900000367e+04,3.560077309999905992e+02,324,333
36,9.163939506579413807e-01,9.236687401412415621e-01,1.349991807899999549e+04,3.880407290000002831e+02,338,348
