# Idx, longitude, latitude, start timestamp, duration, start frame, end frame
0,5.213613684975780815e-01,5.211827214804685138e-01,0.000000000000000000e+00,4.800533230000291951e+02,1,13
1,6.362598081336597877e-01,5.457895322907673208e-01,6.280483240000321530e+02,3.879800379999796860e+02,16,26
2,7.183643900733226451e-01,5.944592815045506295e-01,1.192081442000053357e+03,4.839489639999810606e+02,30,42
3,6.906823690496201040e-01,6.048897226351050982e-01,1.731998309000045992e+03,1.000347729999921285e+02,44,46
4,6.392883558873140304e-01,5.580107213330665061e-01,1.912067343000031542e+03,1.999386829999857582e+02,48,53
5,6.293080784575222353e-01,5.457770945135842489e-01,2.124016254000016488e+03,3.200004809999954887e+02,54,62
6,6.775255178518835297e-01,4.700181481180630838e-01,2.580037146000016946e+03,1.000253650000086054e+02,65,68
7,7.548862760216834555e-01,4.737762847249767928e-01,2.784035119000007398e+03,2.199403340000426397e+02,70,76
8,8.162357260097330425e-01,4.787474500562280966e-01,3.127986777000012808e+03,8.805134300002828240e+01,79,81
9,8.891361859240504151e-01,4.895255469014174743e-01,3.436013523000001442e+03,1.280212900000042282e+02,86,90
10,9.398401029526548545e-01,4.888847682890568036e-01,3.680025062000029720e+03,1.960230849999934435e+02,92,97
11,9.651400423212127544e-01,4.755434503218824993e-01,3.931994667000020854e+03,2.160552429999806918e+02,99,104
12,9.349141350350159696e-01,5.152544729022394687e-01,4.200012123000051361e+03,2.720120269999606535e+02,106,112
13,4.055858034060011441e-02,5.058943811239001720e-01,4.604039156000013463e+03,5.840042639999883249e+02,116,130
14,9.103505910836878767e-02,4.973588436910363342e-01,5.304055907000030857e+03,3.679053999999887310e+02,133,142
15,7.266383119566566240e-02,5.037985297970819509e-01,5.696018827000050806e+03,2.040196399999549612e+02,143,148
16,9.330953742505302406e-01,5.311624716020186820e-01,6.043980452000047080e+03,4.679957669999566860e+02,152,163
17,8.772068760943497745e-01,5.014859335696066900e-01,6.584032457000052091e+03,2.319961789999506436e+02,165,171
18,6.794148564564177484e-01,5.715657362225257110e-01,7.159966609000053722e+03,1.920903809999581426e+02,180,184
