# Idx, longitude, latitude, start timestamp, duration, start frame, end frame
0,9.581706995005156990e-01,4.151241633644305873e-01,0.000000000000000000e+00,1.519850109999970300e+02,1,5
1,2.686659701415816670e-02,4.898435724287729665e-01,3.479553520000044955e+02,1.119993839999951888e+02,11,14
2,6.842731321948125611e-02,5.186044758959101886e-01,5.279628039999952307e+02,4.120099029999983031e+02,16,29
3,1.140713689854445101e-01,5.119004860691511727e-01,1.008094815000004019e+03,1.998374709999916377e+02,31,37
4,3.749033394371531491e-02,6.068275136156131566e-01,1.311973603999998886e+03,3.239662570000073174e+02,40,50
5,1.287237464462778758e-01,5.275329016752934308e-01,1.843931834999995772e+03,2.240446700000029523e+02,56,63
6,1.110839816456951623e-01,5.051955103393352964e-01,2.111973809000002802e+03,3.159659959999989951e+02,64,73
7,1.588204631803803446e-01,4.978626357731897878e-01,2.495935043000004953e+03,2.920219459999934770e+02,75,84
8,2.085874112991024099e-01,4.961338486612955068e-01,2.851933422000001883e+03,3.119719939999922644e+02,86,95
9,2.443178529142368549e-01,4.901261590844582239e-01,3.223944583000004059e+03,3.200061829999904148e+02,97,107
10,2.934448919584385918e-01,4.835654770292644455e-01,3.611981927000000724e+03,2.999569190000038361e+02,109,118
11,3.335156920528776769e-01,4.490432089755275191e-01,3.987930924000000232e+03,1.040287740000057966e+02,120,123
12,3.414494881322116537e-01,4.106228644060431199e-01,4.135965270000000601e+03,4.039856929999950808e+02,125,137
13,4.196767440898572232e-01,4.556319341597752093e-01,4.683952533999996376e+03,2.800376620000024559e+02,141,149
14,3.782536500197757334e-01,4.774324901885799166e-01,5.031980301999996300e+03,2.119514770000096178e+02,151,158
15,4.491364195225202582e-01,4.351777262476009822e-01,5.371952783999993699e+03,1.840741540000017267e+02,161,167
16,4.646519041210754875e-01,4.031685065042103222e-01,5.599949259999993956e+03,1.920484710000018822e+02,168,174
17,4.833972656970977333e-01,3.943800010828120151e-01,5.831944868999999017e+03,1.799931970000034198e+02,175,181
18,5.240871019959573163e-01,4.130933149451569975e-01,6.079936153999995440e+03,8.799489400000311434e+01,183,185
19,5.128723038013064395e-01,4.750815633919768244e-01,6.211956577000004472e+03,1.051968954999989364e+03,187,218
20,5.170789958387040919e-01,4.288090263560297988e-01,7.319951597000006586e+03,2.680237280000001192e+02,220,228
21,4.822507113740448492e-01,5.054722142935954565e-01,7.643986562999998569e+03,5.159833670000080019e+02,230,245
22,5.383599606019775496e-01,4.664313955164246517e-01,8.263995567000005394e+03,2.479807369999907678e+02,248,256
23,6.046917215461059536e-01,4.246029773768832394e-01,8.635980785000007018e+03,2.599456329999957234e+02,259,267
24,6.450260455122407421e-01,3.817450887690481132e-01,8.971911938999997801e+03,3.799843380000093020e+02,269,281
25,7.011941406367224738e-01,4.409711691703974701e-01,9.439917115000003832e+03,1.800171449999907054e+02,284,289
26,7.321877849781950331e-01,4.138127029098221943e-01,9.719934819999994943e+03,1.479972820000111824e+02,292,296
27,7.785141973233566937e-01,4.172418437812535075e-01,9.927919666000001598e+03,2.279739529999933438e+02,298,305
28,8.144973772370995846e-01,4.194964162626962922e-01,1.021193507900000259e+04,2.000019749999919441e+02,307,313
29,8.050682811696178165e-01,4.082770159616715411e-01,1.043593954900000244e+04,1.036022886999999173e+03,313,344
30,8.598809955248520875e-01,4.338356678554512458e-01,1.160792269099999976e+04,1.440403439999936381e+02,348,353
31,8.393378259043009493e-01,4.519516938688962204e-01,1.180001136099999712e+04,2.679461799999990035e+02,354,362
32,8.085377002871627639e-01,4.710139051203703353e-01,1.211197907899999700e+04,1.919831830000039190e+02,364,369
33,8.082394955134759584e-01,4.478915000269994007e-01,1.232395051300000341e+04,2.880356440000032308e+02,370,378
34,7.985481830439287165e-01,4.061230623110891891e-01,1.261596248099999502e+04,4.119622910000034608e+02,379,391
35,5.989628055855247268e-01,4.533830067411181997e-01,1.325195661300000211e+04,2.240138789999909932e+02,398,404
36,5.247549915787662611e-01,4.015466600467220148e-01,1.357593969100000686e+04,9.999742399998649489e+01,407,410
37,5.281010454787222752e-01,3.643803487966903454e-01,1.370794044200000644e+04,3.600513959999952931e+02,411,422
38,3.129561855906938250e-01,4.527143230867597401e-01,1.426796102699999756e+04,1.360104319999954896e+02,428,432
39,2.950480389459047004e-01,4.705172645322271974e-01,1.446792194800000289e+04,1.040629860000044573e+02,434,437
40,2.732441245368648630e-01,5.025172824865191679e-01,1.463594083900000260e+04,3.920025489999970887e+02,439,451
41,2.513098205292534360e-01,5.136361550346710825e-01,1.507193442000000505e+04,5.040424189999903319e+02,452,467
42,2.985718857555930139e-01,5.336451990769370823e-01,1.562796756200000527e+04,2.719527259999886155e+02,469,477
43,2.784148024795685128e-01,5.305243819229690239e-01,1.593191220999999496e+04,4.479904099999985192e+02,478,491
44,2.617546459712007945e-01,5.302532422617237673e-01,1.640397182900000189e+04,8.391707199999655131e+01,492,495
45,2.745370038525165590e-01,5.392681980547047171e-01,1.663591013200000452e+04,7.360098029999935534e+02,499,521
46,2.489885835402987357e-01,5.380947801083165727e-01,1.741593491500000528e+04,3.280164229999936651e+02,523,532
47,2.584264269332379182e-01,5.369185157956732901e-01,1.777594753799999307e+04,4.760082880000118166e+02,533,548
48,2.276220836048096219e-01,5.261117116306108787e-01,1.828791609100000642e+04,7.359989679999998771e+02,549,571
49,2.008869751620146471e-01,5.245977144001831016e-01,1.905596286200000031e+04,2.719792400000005728e+02,572,580
50,2.002509038259844276e-01,5.264909935866523005e-01,1.934791552799999772e+04,6.839948460000014165e+02,580,601
0,5.280170484061141867e-01,4.956466090715205830e-01,5.279902280000387691e+02,1.319785979999578558e+02,16,20
1,5.917685898482900608e-01,4.570314591141136917e-01,7.479660560000338592e+02,1.160302389999851584e+02,23,26
2,5.962228379310881010e-01,4.330171066255822376e-01,8.920144760000403039e+02,1.543990732999984175e+03,27,73
3,6.159485726594433608e-01,4.565920786749664284e-01,2.491998238000029232e+03,3.120084020000067540e+02,75,84
4,6.516430937587924799e-01,4.198655232155104056e-01,2.872013326000014786e+03,2.760475449999794364e+02,86,95
5,6.024199242313298397e-01,4.702775723107305295e-01,3.228030750000034459e+03,1.028006750000000466e+03,97,128
6,4.610819967102022243e-01,6.038051459963433842e-01,4.411996655000024475e+03,1.360484389999764971e+02,133,137
7,4.477969033763412599e-01,5.448139794017681226e-01,4.616037239000026602e+03,1.239848880000063218e+02,139,142
8,4.494592809624939900e-01,5.077188995740287147e-01,4.792022863000049256e+03,1.479908199999481440e+02,144,148
9,4.110719471529331592e-01,4.652682233505844867e-01,5.015997256000002380e+03,9.206194000004325062e+01,151,153
10,3.275840129284673941e-01,4.601285654579235773e-01,5.204039588000043295e+03,1.679471529999864288e+02,156,161
11,3.423005743447287141e-01,4.376646166608144650e-01,5.404069917000015266e+03,1.159378649999853224e+02,162,166
12,5.024758903351281836e-01,4.643686746627271322e-01,5.676049332000024151e+03,9.198838300001807511e+01,170,173
13,4.915862206458093686e-01,5.136997093022958039e-01,5.819994544000015594e+03,1.931992117999994662e+03,175,233
14,5.275915710681812199e-01,3.750133005451564694e-01,7.900017397000046913e+03,3.360297299999510869e+02,237,247
15,4.448765752801242535e-01,4.980833258549717257e-01,8.336010118000034709e+03,6.559776720000081696e+02,250,270
16,4.301101135765265093e-01,5.117077032857055841e-01,9.012012548000027891e+03,5.279833849999704398e+02,270,286
17,4.049811862308322352e-01,5.039456787598537435e-01,9.584028334000031464e+03,2.679839849999989383e+02,288,296
18,3.936667552646758717e-01,5.068523422699776626e-01,9.864008015000028536e+03,2.680204789999988861e+02,296,304
19,4.531382882701500137e-01,4.424916350528488307e-01,1.022804224199999589e+04,1.279643520000390708e+02,307,311
20,4.788987969858147231e-01,4.295560452906312943e-01,1.040801189100003103e+04,6.719913199999718927e+02,312,332
21,3.432239951442402903e-01,5.191290924020706132e-01,1.130400297900004080e+04,8.002319400000851601e+01,339,341
22,3.459015115398234030e-01,5.190222995201297929e-01,1.139602871100004995e+04,8.007137599994894117e+01,342,344
23,3.149895811656708844e-01,5.267774981279775837e-01,1.154002239200001350e+04,1.199743480000179261e+02,346,350
24,2.292570873304877188e-01,4.691594628589885740e-01,1.176402558100002352e+04,1.199689319999888539e+02,353,357
25,2.134362840869313271e-01,4.708125717813451683e-01,1.194803684499999508e+04,9.602714800002286211e+01,359,361
26,1.654935855240536879e-01,4.681528832425192466e-01,1.211999054600001546e+04,1.000676240000175312e+02,364,367
27,1.282228839249618946e-01,4.789838370924696109e-01,1.228803178300004220e+04,3.239638999999733642e+02,369,378
28,1.492555156804711292e-01,6.421325596543844272e-01,1.280002689500001725e+04,1.359794439999968745e+02,384,388
29,2.930648215087676700e-01,5.620269389261552950e-01,1.327998159600002691e+04,5.840086299999966286e+02,398,416
30,3.599987127736854475e-01,4.536725456438785997e-01,1.398398909300001105e+04,2.680301730000064708e+02,419,427
31,2.448261337322382714e-01,5.419102743406509770e-01,1.436398222900001565e+04,1.560683490000083111e+02,431,436
32,2.625944652960164882e-01,5.534013517116205261e-01,1.454396356699999887e+04,3.800267770000500605e+02,436,448
33,2.621936860043360129e-01,5.523861579412909784e-01,1.493597064400004456e+04,6.480432649999856949e+02,448,467
34,2.881493851521279570e-01,5.647801597531294515e-01,1.561597819700004766e+04,3.280368769999477081e+02,468,478
35,2.625563255020650910e-01,5.593105535431937003e-01,1.595998937700001989e+04,2.840025658999977168e+03,479,564
36,2.079965683617366334e-01,5.415243653559136394e-01,1.882001128400000744e+04,1.219970667999994475e+03,564,601
0,1.368501578875269686e-02,4.549522989295446962e-01,0.000000000000000000e+00,1.559739809999591671e+02,1,5
