# Idx, longitude, latitude, start timestamp, duration, start frame, end frame
0,2.536768165191827240e-03,5.203889767323368609e-01,0.000000000000000000e+00,2.680079350000014529e+02,1,9
1,9.616803628102805757e-01,4.821994169410277475e-01,3.480505149999517016e+02,8.795104499999433756e+01,11,14
2,9.242949051386183390e-01,5.740784106951701826e-01,5.280384109999868087e+02,1.920255009999964386e+02,17,22
3,9.082535674634685252e-01,5.877193506383664445e-01,7.600162069999496453e+02,2.000006790000479668e+02,23,29
4,9.134260043876480939e-01,6.899807054282713903e-01,1.052021519999951124e+03,1.832020859000040218e+03,32,87
5,9.214742852313060339e-01,6.115754876336637613e-01,2.960024241999955848e+03,2.680461380000342615e+02,89,97
6,9.136250569137058797e-01,6.842113981048075777e-01,3.308018591999949422e+03,5.160364420000114478e+02,100,115
7,9.147000590271089360e-01,6.449885555948413618e-01,3.864051804999995511e+03,2.280197159999515861e+02,116,123
8,9.157360990459633143e-01,5.945022987884958088e-01,4.144081093999964651e+03,3.239470790000050329e+02,125,135
9,9.056865630502614062e-01,6.550234342975342905e-01,4.524058263999992050e+03,1.799590999999782071e+02,136,142
10,9.210063796051832785e-01,6.875028934513257584e-01,4.736036106999963522e+03,2.679868359999964014e+02,143,151
11,7.569248989113300796e-01,6.730335501294955058e-01,5.140013220999971963e+03,8.001435599999967963e+01,155,157
12,7.522921372255537698e-01,6.684817743791697797e-01,5.264034031999995932e+03,1.759910410000011325e+02,158,164
13,6.534274424523515146e-01,7.201850154274546112e-01,5.552019681999983732e+03,8.000551799999084324e+01,167,169
14,4.174080900646431891e-01,4.535522867884457243e-01,6.347976218999945559e+03,2.320048820000374690e+02,191,198
15,3.518202652333097813e-01,5.874685157117300882e-01,6.696006776999973226e+03,1.520064920000149868e+02,202,206
16,3.109265782770045394e-01,6.274891010068313069e-01,6.936017341999977361e+03,1.239712029999936931e+02,209,212
17,3.035244483949846028e-01,6.876449676944664802e-01,7.128001787999994121e+03,3.200320479999645613e+02,214,224
18,3.649041135493580335e-01,6.766761802958887184e-01,7.515999751999974251e+03,1.480201859999797307e+02,226,230
19,3.749500714129510026e-01,6.003229641539867822e-01,7.740034301999956369e+03,4.520551219999906607e+02,233,246
20,4.071506196258167787e-01,5.761301674951828655e-01,8.244025725999963470e+03,1.879847399999853224e+02,248,253
21,3.806561961809064032e-01,5.366088489634355252e-01,8.492034846999973524e+03,2.680273210000013933e+02,255,263
22,4.103211263306889567e-01,4.656428250197949259e-01,8.836050017999950796e+03,1.679739530000369996e+02,265,270
23,4.230038072501224322e-01,3.955432057763932363e-01,9.084006394999974873e+03,1.639981960000004619e+02,273,278
24,4.028254646225464253e-01,3.875552822173609080e-01,9.296038121999998111e+03,2.680056539999786764e+02,279,287
