# Idx, longitude, latitude, start timestamp, duration, start frame, end frame
0,9.706036520627360220e-01,5.221061504399386877e-01,0.000000000000000000e+00,3.239542819999915082e+02,1,9
1,9.973191009935737927e-01,5.109086779293624536e-01,3.719997569999832194e+02,1.800282639999932144e+02,10,14
2,2.032762658664111211e-02,5.090896395881758796e-01,5.960105000000039581e+02,3.919563629999756813e+02,15,25
3,8.897604927262185992e-01,5.814163893770509794e-01,1.111983603000000585e+03,1.280141629999852739e+02,28,32
4,8.562234186165665895e-01,6.001728344674954752e-01,1.312032620999991195e+03,1.319434450000117067e+02,33,37
5,8.237950973112704300e-01,5.342108688501198133e-01,1.512050277000002097e+03,1.199058469999872614e+02,38,41
6,8.108758230370399778e-01,4.914349679668550408e-01,1.688000149999978021e+03,2.040008230000094045e+02,43,48
7,8.189279754720700799e-01,5.320256433108377925e-01,1.924198454999976093e+03,5.477765730000101030e+02,49,62
8,7.520092708682273308e-01,5.124833643199524502e-01,2.551981348999979673e+03,2.879640820000204258e+02,64,71
9,7.033607838971968063e-01,4.912796788483551058e-01,2.919942058999993606e+03,3.760085839999956079e+02,73,83
10,6.776813243036510226e-01,5.237548415594636131e-01,3.363969828999979654e+03,1.840259720000030939e+02,85,89
11,6.488674242671901293e-01,4.946115058898579164e-01,3.599983102999976836e+03,2.319551240000000689e+02,90,96
12,6.126384371555507746e-01,5.089509694689511310e-01,3.903955120999977225e+03,2.759689639999996871e+02,98,105
13,5.732301562719092081e-01,5.095167914399243436e-01,4.235940740999998525e+03,2.121156959999934770e+02,106,112
14,5.468273736385651507e-01,4.895994478932759186e-01,4.503934817999979714e+03,2.480987690000038128e+02,113,119
15,5.386424508193633498e-01,4.937283583746210347e-01,4.771983919999998761e+03,3.440095339999825228e+02,120,128
16,4.908063632128054632e-01,4.928043051392441143e-01,5.187986113999999361e+03,2.439978539999865461e+02,130,136
17,5.113671501366060523e-01,5.084840733417470560e-01,5.464016945999988820e+03,2.559912609999882989e+02,137,144
18,5.375443137174102937e-01,5.185337622366388288e-01,5.763992111999978079e+03,4.159830910000018775e+02,145,155
19,4.790483654111770129e-01,4.978907450828782277e-01,6.256000922999985050e+03,2.959825910000072327e+02,157,164
20,5.099128988409703522e-01,5.190951854425290835e-01,6.591957165999978315e+03,2.120238930000050459e+02,165,171
21,5.385796369429766139e-01,5.372958198868185153e-01,6.864020511999988230e+03,9.599543999999877997e+01,172,175
22,5.516706195232151666e-01,5.563115646905800737e-01,7.040002600999985589e+03,2.559459300000162330e+02,176,183
23,5.228995035736063723e-01,5.613359508300702627e-01,7.343988588999985950e+03,1.680183210000104737e+02,184,188
24,4.868307385253651809e-01,5.498760433786822333e-01,7.563999913999985438e+03,3.839746330000052694e+02,190,199
25,5.090145662169082152e-01,5.492364139026622016e-01,7.991994088999985252e+03,2.800222669999930076e+02,200,207
26,4.816040072763885238e-01,5.242523595706020112e-01,8.323988547999993898e+03,3.919794560000009369e+02,209,218
27,4.328798047203337163e-01,5.081909338257900588e-01,8.771949307000002591e+03,2.920675629999896046e+02,220,227
28,4.925158532602098571e-01,5.184486636046481411e-01,9.139950501999992412e+03,1.680168950000079349e+02,229,233
29,5.247782757686895172e-01,5.226676806642551742e-01,9.343951609999989159e+03,5.559898059999977704e+02,234,248
30,5.082324528808492836e-01,5.213356737666703378e-01,9.931974963999993633e+03,3.239457300000067335e+02,249,257
31,4.828351418771710257e-01,5.136576516324538044e-01,1.030398441499998444e+04,2.639778379999916069e+02,258,265
32,4.923290387226282316e-01,4.938144187455744127e-01,1.060395359399999143e+04,9.998145799999474548e+01,266,268
33,4.839200847312463694e-01,4.992578264687406175e-01,1.083994719499998610e+04,2.520089500000176486e+02,271,278
34,5.124345659843103640e-01,5.246325209329196770e-01,1.115199246099998709e+04,3.999654630000004545e+02,279,289
35,4.850042105605232301e-01,5.269878351071818345e-01,1.160793010299999150e+04,2.320366639999847393e+02,291,297
36,3.987826082866821054e-01,4.989232534979829436e-01,1.193197675899998285e+04,1.880062880000041332e+02,299,304
37,3.652034873890968036e-01,4.928467676030614530e-01,1.219197028999999748e+04,1.120039459999825340e+02,305,308
38,3.473835390999926442e-01,4.929119125445317051e-01,1.235595469499999308e+04,5.560205969999951776e+02,309,323
39,4.073745533266286412e-01,5.044578711274025906e-01,1.298395825899997726e+04,3.439969890000065789e+02,325,334
40,3.449722987870746937e-01,4.923289173105244165e-01,1.340796784199998365e+04,6.239804820000135805e+02,336,351
41,4.311534388215615410e-01,5.125247480597933114e-01,1.411202249899998424e+04,3.999150000000081491e+02,353,363
42,3.493233721002246828e-01,5.085122215997102124e-01,1.459204132499999832e+04,4.359579429999866989e+02,365,376
43,3.368643733285986430e-01,4.916296349490540951e-01,1.505993787699998938e+04,6.040438340000109747e+02,377,392
44,3.115035547299894736e-01,4.838501327089742565e-01,1.570793083299999125e+04,1.240486709999968298e+02,393,396
45,4.075863921585036742e-01,5.055457774944565053e-01,1.591996498999997857e+04,3.919965620000148192e+02,398,408
46,4.264008911731165252e-01,4.990756501235420473e-01,1.635595942599998671e+04,6.240286649999907240e+02,409,425
47,4.201856303033466578e-01,5.010967793573656293e-01,1.702795658800000092e+04,9.996549199998844415e+01,426,429
48,3.236670009228322931e-01,5.112999238579981620e-01,1.721592124999998487e+04,4.480174950000073295e+02,431,442
49,4.167011730672620651e-01,5.159637321116712361e-01,1.776392647499998566e+04,3.560314519999956246e+02,445,453
50,5.001016137034886011e-01,5.167623899047324443e-01,1.829195057600000291e+04,2.199979259999818169e+02,458,463
51,5.464916484879104308e-01,4.988106163644454583e-01,1.859592544599997927e+04,1.720308530000038445e+02,465,470
52,6.150217365066814601e-01,4.814106093531812514e-01,1.888399672599998303e+04,2.719498750000202563e+02,472,479
53,6.507463362208422142e-01,4.915702711605984820e-01,1.921592903299999307e+04,1.560092329999897629e+02,481,485
54,7.160166744260143545e-01,5.555329534530297764e-01,1.947198615299997618e+04,3.359522520000173245e+02,487,496
55,7.675516257194627823e-01,5.335082443833039090e-01,1.988393475899999612e+04,1.679940869999991264e+02,498,502
0,4.858837004904952295e-01,5.317056213769529860e-01,0.000000000000000000e+00,4.399476700002560392e+01,1,2
1,4.635594965808464973e-01,5.048571261211540762e-01,1.039966240000212565e+02,3.440379800000227988e+02,3,12
2,5.314350342092264423e-01,5.182795687398618067e-01,5.240444070000085048e+02,2.719805550000164658e+02,14,20
3,5.593902825288648017e-01,5.177790317525767794e-01,8.960378460000501946e+02,1.879790379999903962e+02,23,28
4,6.004184893246666821e-01,5.013013996036668196e-01,1.164043784000037704e+03,1.480412839999771677e+02,30,33
5,6.387935075313924127e-01,4.941606196137807716e-01,1.388050395000027493e+03,1.679904879999812692e+02,35,39
6,6.457316910637522778e-01,4.970497861669871398e-01,1.576046824000019114e+03,2.559902860000147484e+02,40,46
7,6.096303943843088824e-01,5.305327958732000138e-01,1.900060616000031587e+03,9.198524800001177937e+01,48,50
8,5.205305265538968662e-01,5.137588980213763090e-01,2.080030550000024959e+03,1.119849159999866970e+02,52,55
9,4.920595273203556275e-01,4.997416149534292806e-01,2.248018188000016380e+03,1.999801510000252165e+02,57,62
10,4.508445261090416878e-01,5.163387321234229610e-01,2.504136200000008103e+03,1.239004970000241883e+02,63,66
11,3.757324311924565841e-01,5.436135832146563596e-01,2.728017080000019632e+03,1.000114579999935813e+02,69,71
12,3.258158464099545348e-01,5.668697054408416980e-01,2.892016701000044122e+03,1.280427550000022165e+02,73,76
13,2.673965739856618562e-01,5.502757516140968086e-01,3.095997983000008389e+03,2.120040720000397414e+02,78,83
14,3.322786185970445505e-01,5.511229574085969585e-01,3.376015298000012990e+03,1.199988679999951273e+02,85,88
15,4.970193032948647671e-01,5.335550393365279254e-01,3.888064578999998048e+03,3.119870200000004843e+02,98,106
16,4.948690838764641109e-01,5.200998718541487431e-01,4.236044389000046067e+03,3.559829269999754615e+02,106,115
17,5.310180996852463808e-01,5.178523743345911923e-01,4.648020059000002220e+03,2.319917660000501201e+02,117,123
18,5.595687367723303218e-01,5.205830970062120810e-01,4.927997174000018276e+03,1.360401710000005551e+02,124,127
19,5.998486085433561987e-01,5.309852091844022848e-01,5.196025636000034865e+03,9.996555700001772493e+01,130,133
20,6.295445530438569248e-01,5.215103156417377761e-01,5.352013872000039555e+03,1.679810799999977462e+02,134,139
21,6.574526142212240298e-01,5.054232903650028863e-01,5.576029320000030566e+03,2.119863960000220686e+02,140,145
22,6.946507097907759221e-01,5.070698440240196669e-01,5.852022981000016443e+03,1.720033089999924414e+02,147,151
23,7.215591225339530457e-01,5.018701593714116616e-01,6.148040829000005033e+03,1.284013571000017691e+03,154,186
