# Idx, longitude, latitude, start timestamp, duration, start frame, end frame
0,5.343516137064370231e-01,5.193405370094766882e-01,0.000000000000000000e+00,3.359605190000002040e+02,1,11
1,5.875698316993358539e-01,5.262063828600314075e-01,4.159967759999999544e+02,1.000384790000025532e+02,13,16
2,6.175715430817493301e-01,5.480372478157007343e-01,5.680248379999975441e+02,1.799261980000010226e+02,18,23
3,6.159866516493803790e-01,5.703422062935611381e-01,7.679837629999965429e+02,9.203850300000340212e+01,24,26
4,6.136361968328906125e-01,6.106437951114378482e-01,9.040053150000021560e+02,1.119685929999977816e+02,28,31
5,6.405213221956609360e-01,6.278026545264534519e-01,1.059980336000000534e+03,3.360038549999953830e+02,32,43
6,6.274709297442145894e-01,6.326742175551530734e-01,1.427962999000003038e+03,1.240386929999949643e+02,44,47
7,7.310545113654858262e-01,6.220721106990456661e-01,1.688033792000001995e+03,1.879461309999969671e+02,51,57
8,7.522431166619075738e-01,5.852984275190297181e-01,1.940001686999996309e+03,5.920239120000042021e+02,59,77
9,8.147788178818291538e-01,5.347863748122978489e-01,2.624005369999998948e+03,2.919709139999977197e+02,79,88
10,8.711776377382446368e-01,5.578200996859018490e-01,3.084020549000000756e+03,3.199397539999990840e+02,93,103
11,8.813104285626252032e-01,5.119771916855673233e-01,3.451968999999997322e+03,5.479841270000033546e+02,104,121
12,9.303614251599826579e-01,5.062682159757150302e-01,4.063998269999996410e+03,1.679327900000062073e+02,123,128
13,9.418076974595401829e-01,5.652887277156772861e-01,4.287929469000002427e+03,4.040880449999967823e+02,129,141
14,9.980673533944047771e-01,5.529484696524900045e-01,4.799951050999996369e+03,4.600120420000021113e+02,145,158
15,2.889041730906166672e-02,5.613040160152977798e-01,5.316004267999996955e+03,3.359733489999998710e+02,160,170
16,8.438941576662295496e-02,5.359778704124231741e-01,5.744026382999996713e+03,4.679923469999994268e+02,173,187
17,1.035583928499144712e-01,5.146352855850236940e-01,6.255986953999999969e+03,3.080144860000000335e+02,188,198
18,1.022029790378877756e-01,4.463788830680502917e-01,6.667996856999998272e+03,2.920153890000001411e+02,201,209
19,1.641216993872063878e-01,4.789249493790568302e-01,7.047991458999997121e+03,2.919994230000011157e+02,212,221
20,1.440686768307558596e-01,5.312520665978042178e-01,7.415976116999998339e+03,3.480291940000024624e+02,223,233
21,2.187617806450277147e-01,5.193816613459705245e-01,7.895951322000000800e+03,8.802026800000021467e+01,237,240
22,2.203583608435936703e-01,5.492105249469405592e-01,7.995999494999996386e+03,3.919609240000063437e+02,240,252
23,2.368281056350253211e-01,5.575268870426108858e-01,8.431977109999999811e+03,1.679795470000026398e+02,253,258
24,1.410294173362373615e-01,5.840470762727063558e-01,8.699981736000001547e+03,2.440055529999954160e+02,261,269
25,8.688023496271973789e-02,5.891960696531224340e-01,9.011944892999999865e+03,2.360526170000011916e+02,271,278
26,9.116730811200274287e-02,5.504332377908972562e-01,9.367991738999997324e+03,2.039894200000053388e+02,282,288
27,1.024937934923907945e-01,4.751897074062211290e-01,9.635991233000000648e+03,1.799832180000012158e+02,290,295
28,7.138254006048738720e-02,4.558322197642077356e-01,9.903989016999999876e+03,1.399767789999968954e+02,298,302
29,9.337582147954961442e-01,5.366214082163551780e-01,1.019599442699999781e+04,1.799698189999980968e+02,306,312
30,9.704969229644486717e-01,5.309653511997309838e-01,1.042396752500000002e+04,2.679735500000024331e+02,313,321
31,9.716470827479194439e-01,4.922843931562075337e-01,1.072397547800000029e+04,1.679801169999991544e+02,322,327
32,8.613379591693520743e-01,5.497147484805346984e-01,1.099999291000000085e+04,2.359437079999988782e+02,330,337
33,8.393894606465166497e-01,5.692450559001691612e-01,1.129597150900000270e+04,1.400021529999939958e+02,339,343
34,8.609013359080633920e-01,5.824952030674983572e-01,1.147997068099999888e+04,1.480189499999978580e+02,345,349
35,7.896195580472802344e-01,6.385202091520262302e-01,1.173200186899999972e+04,4.519635980000020936e+02,352,366
36,7.598566395510490956e-01,6.177820740479011974e-01,1.223199554599999828e+04,2.439585100000040256e+02,367,375
37,6.833814923742504988e-01,6.408779178337802307e-01,1.257595946299999923e+04,1.320053130000014789e+02,378,382
38,6.764832947384663564e-01,6.485697930151540502e-01,1.274394385699999839e+04,4.360218070000046282e+02,383,396
39,6.676992988434967691e-01,6.448038839096175145e-01,1.319995077899999887e+04,2.480032599999976810e+02,396,404
40,5.962958262813154997e-01,6.189805278602837912e-01,1.352797889199999918e+04,2.360152690000031726e+02,406,413
41,5.830691711385306286e-01,5.842989698045530922e-01,1.380396667300000263e+04,3.919811669999980950e+02,414,426
42,5.378836432511370225e-01,5.733798679839395840e-01,1.425197618499999953e+04,2.560043759999971371e+02,428,436
