# Idx, longitude, latitude, start timestamp, duration, start frame, end frame
0,4.952927015812852440e-01,5.418019797047094466e-01,0.000000000000000000e+00,3.160292879999615252e+02,1,8
1,3.932794900853588960e-01,5.181491544014356077e-01,4.040358709999709390e+02,4.600197400000179186e+02,11,22
2,4.091740483909853676e-01,4.702956043520264418e-01,9.160198189999791794e+02,1.600003830000059679e+02,23,27
3,3.043891380379271094e-01,4.583214006010604136e-01,1.172039591000007931e+03,4.279893289999454282e+02,30,40
4,2.061690502375692624e-01,4.465184764425786934e-01,1.712009201999986544e+03,2.679598649999825284e+02,43,50
5,1.915328151819065128e-01,4.277880668833833333e-01,2.035986862999969162e+03,1.760342630000086501e+02,51,56
6,1.648480676038149850e-01,4.165855447609398965e-01,2.272013822000008076e+03,2.200136059999931604e+02,57,63
7,1.166851890819128323e-01,4.105862278407058641e-01,2.591973247999965679e+03,1.039982680000248365e+02,65,68
8,8.957589152709055647e-02,4.353910210686140481e-01,2.751991592999955174e+03,2.000436000000336207e+02,69,74
9,5.299524188358722965e-02,3.994183053142527084e-01,3.007983994999958668e+03,1.000344870000262745e+02,76,78
10,5.388811737419085812e-02,4.253448832819032299e-01,3.116013326999964193e+03,2.720356899999896996e+02,78,85
11,3.380838913177092175e-02,4.314630781362149836e-01,3.439966183999960776e+03,4.120364169999957085e+02,87,97
12,9.724894239086443459e-01,4.642418154164732469e-01,4.011969626999984030e+03,1.000319219999946654e+02,101,103
13,9.407753154190148237e-01,4.880613024486706308e-01,4.179967135999992024e+03,1.240680590000119992e+02,105,108
14,9.651351152790820231e-01,4.542850920525222103e-01,4.359995969999989029e+03,2.439690589999663644e+02,109,116
15,3.793735229828731903e-03,4.715110236440305247e-01,4.659968284999951720e+03,1.800137240000185557e+02,117,121
16,3.289525290032111471e-01,4.784633931566983911e-01,5.387989230000006501e+03,2.359827679999871179e+02,135,141
17,3.628197084018168761e-01,4.614548949020107482e-01,5.675974979999999050e+03,1.999965589999919757e+02,142,147
18,3.920989208009413307e-01,4.492351235183940084e-01,5.931989904999965802e+03,1.799558480000123382e+02,149,153
19,4.357292586800605161e-01,4.306156582343069195e-01,6.223940291000006255e+03,1.600519869999843650e+02,156,160
20,4.060647040144208519e-01,5.016496913816722580e-01,6.447963293000007980e+03,3.560445659999968484e+02,162,171
21,3.883038204368336466e-01,5.854313632472548656e-01,6.883935207000002265e+03,2.680493869999772869e+02,173,179
22,3.030814890159506669e-01,6.301478877776627296e-01,7.251995988000009675e+03,2.439707699999562465e+02,182,188
23,2.899314014665398398e-01,6.337909890278887737e-01,7.531971212999953423e+03,9.999656900000991300e+01,189,191
24,3.099140873759159698e-01,4.891229321303300903e-01,7.727988025999977253e+03,5.160036090000066906e+02,194,207
25,4.671798958846736793e-01,4.712566629005958685e-01,8.411991994999989402e+03,3.240247029999736696e+02,211,219
26,4.822979307241057612e-01,3.511516976244921651e-01,8.927962246999959461e+03,1.560311850000289269e+02,224,228
27,5.120114308071065379e-01,3.264688257335199850e-01,9.152042268999968655e+03,1.559667529999860562e+02,229,233
28,5.760142073937619678e-01,3.222494791100681821e-01,9.383982854000001680e+03,2.479935659999609925e+02,235,241
29,5.867382377917134129e-01,3.427785583340698938e-01,9.675972582999966107e+03,1.639978059999994002e+02,242,247
30,6.913308598570835350e-01,4.482243683367486131e-01,1.009995707699999912e+04,1.760040419999859296e+02,253,257
31,7.225070420364947399e-01,4.711659708965821869e-01,1.033600798399996711e+04,2.120030810000025667e+02,259,264
32,7.802423530034767740e-01,4.694383114782078037e-01,1.064802616499998840e+04,1.800413790000020526e+02,267,271
33,8.236336465245296390e-01,4.603448743059896930e-01,1.089195245899999281e+04,2.160324339999933727e+02,273,278
34,8.336018859339938691e-01,4.662724068628498753e-01,1.113995714399998542e+04,1.760311269999947399e+02,279,283
35,8.244486967261248633e-01,4.916654372920257199e-01,1.132797512099996675e+04,3.120267340000136755e+02,284,292
36,8.417836886466624202e-01,4.682688708671208788e-01,1.169598429799999576e+04,3.000224929999676533e+02,293,300
37,8.388560019471835716e-01,5.046692147607272361e-01,1.203196163899998646e+04,2.800504920000093989e+02,301,308
38,8.197793133060558013e-01,5.165973292603285305e-01,1.234401545800000895e+04,1.799572729999781586e+02,309,314
39,8.510610328459324858e-01,5.842757025035032470e-01,1.261195165899995482e+04,2.159905240000225604e+02,316,321
40,7.776389252205894165e-01,6.335298745503081808e-01,1.290399242199998116e+04,3.439607809999724850e+02,323,332
41,7.356268350119858912e-01,5.413854920109519853e-01,1.333597774800000479e+04,2.359807709999731742e+02,334,340
42,7.358011188679741688e-01,5.096270820609325458e-01,1.358802147999999579e+04,2.999284089999855496e+02,340,348
43,7.307144210564623377e-01,4.864876186819457882e-01,1.389594330799998716e+04,1.360272540000150912e+02,348,351
44,6.552670756595146973e-01,5.523463391092108266e-01,1.414397735899995314e+04,3.239856440000003204e+02,354,362
