# Idx, longitude, latitude, start timestamp, duration, start frame, end frame
0,7.070288620754816566e-03,5.134665657939712080e-01,0.000000000000000000e+00,4.560140499999979511e+02,1,14
1,1.734097098958808925e-02,5.434911934556800883e-01,5.160344000000040978e+02,1.319682500000344589e+02,16,20
2,9.578613220915312976e-01,5.778350360075070746e-01,7.240189610000234097e+02,1.119996699999901466e+02,22,26
3,8.848207237670236980e-01,5.071869353074835995e-01,9.240143800000078045e+02,1.119968179999850690e+02,28,32
4,8.656714249576000775e-01,4.821334922078459595e-01,1.092032699999981560e+03,1.799321850000414997e+02,33,39
5,8.039771787740765951e-01,5.374455751328885977e-01,1.363997115000034682e+03,1.559995399999897927e+02,42,46
6,8.233592382975878365e-01,5.977070577792689132e-01,1.588008143000013661e+03,2.560405850000097416e+02,48,56
7,8.037098071344506156e-01,4.874616882515206973e-01,1.931986886000027880e+03,4.040390069999848492e+02,59,71
8,7.016113025614105769e-01,4.689154859215692861e-01,2.444041825000022072e+03,1.600032340000034310e+02,74,79
9,6.625771819424128850e-01,4.929946435233462099e-01,2.684022585000027902e+03,1.519827299999888055e+02,81,86
10,6.744958039632908964e-01,4.581047419101044182e-01,3.004053572000004351e+03,2.359685129999998026e+02,91,98
11,5.665449396889188360e-01,5.390375105405336154e-01,3.408037840000004508e+03,8.004908600001363084e+01,103,105
12,5.577286520676548731e-01,5.694137348279311173e-01,3.528008405000029597e+03,9.202709799999138340e+01,106,109
13,5.906444744879061348e-01,4.746235227008355206e-01,3.696002777000016067e+03,9.205275799997616559e+01,111,114
14,5.972103990612714908e-01,4.498856644518067771e-01,3.808042931000003591e+03,2.840501960000256076e+02,115,123
15,4.827042614577969903e-01,3.824841164633610013e-01,4.424027714000025298e+03,6.479772750000120141e+02,133,153
16,4.679810114883478089e-01,5.355280406128087867e-01,5.192025732000009157e+03,9.205047700001159683e+01,156,159
17,4.459358138877160815e-01,5.519769022730205421e-01,5.340007903999998234e+03,2.319796429999987595e+02,161,168
18,5.392924159146044172e-01,5.937300275543002659e-01,5.672034008999995422e+03,1.679718490000232123e+02,171,176
19,6.534265436223847257e-01,6.439134050187484970e-01,6.196067244999983814e+03,2.719361900000367314e+02,186,194
20,8.501464369481760430e-01,6.100140987297334449e-01,6.912007825999986380e+03,1.559567740000202321e+02,208,213
21,9.188750175492159666e-01,5.734549519782288218e-01,7.203958496999985073e+03,1.600910460000159219e+02,217,221
22,9.843375396532704213e-01,5.687416761125634324e-01,7.483966224000032526e+03,1.880045769999851473e+02,225,231
23,2.121670086913046704e-02,5.611482562628389292e-01,7.827972050999989733e+03,9.200514500000281259e+01,235,238
24,5.680199297400878589e-02,4.517576509986368505e-01,8.199986918999988120e+03,2.759621219999971800e+02,246,255
25,1.597031640620120707e-01,4.461555508614499788e-01,8.675999484000029042e+03,1.039962719999602996e+02,261,264
26,1.961075987776931262e-01,4.546307944595791017e-01,8.844039188000024296e+03,1.039708969999919645e+02,266,269
27,2.574519078285719687e-01,4.335255115581284624e-01,9.060059078000020236e+03,4.360229469999903813e+02,272,285
28,3.582773187470235099e-01,4.452209187352716979e-01,9.516017816999985371e+03,8.599641050000209361e+02,286,312
29,3.578848287261152672e-01,5.549595742433681700e-01,1.050797412000002805e+04,2.360218269999604672e+02,316,323
30,2.920800124804969755e-01,6.335540209561116853e-01,1.084403585099999327e+04,2.199639980000210926e+02,326,332
31,2.921073295680864934e-01,6.163662868563389852e-01,1.117601805000001332e+04,1.280101709999726154e+02,335,339
32,2.507406145074018156e-01,4.646833009224478062e-01,1.162801557600003434e+04,5.119597150000045076e+02,349,365
33,2.814044031357041398e-01,5.289926114462475404e-01,1.223205000099999597e+04,2.359676570000010543e+02,367,374
34,3.573860272491867773e-01,5.029752668576800145e-01,1.266800651899998775e+04,1.800120140000362881e+02,380,386
35,3.615153561079744726e-01,5.333172111807102933e-01,1.288799275500001386e+04,2.239970580000081100e+02,387,394
36,3.703930659139026416e-01,5.508023669359289887e-01,1.323598688199999742e+04,4.680274140000110492e+02,397,411
37,3.637800218102430483e-01,4.329900692987015409e-01,1.392399540000001434e+04,3.400069789999979548e+02,418,428
38,2.491590194186737994e-01,4.403197865886985252e-01,1.439999000400002114e+04,1.000478869999642484e+02,432,435
39,2.266324686989072412e-01,4.334234950626225658e-01,1.454004803599999286e+04,1.375911549000011291e+03,437,478
40,1.264002832637360352e-01,4.587186157124752972e-01,1.603599914500000887e+04,3.159950759999919683e+02,481,491
41,1.081308233962979815e-02,4.604419260390498758e-01,1.648399440199998207e+04,1.480021290000295267e+02,495,499
42,3.100768696791028622e-02,4.480991144247136182e-01,1.666397277300001588e+04,1.600847739999881014e+02,500,505
43,9.527494959537209374e-01,4.459704293652833051e-01,1.690001398699998390e+04,5.359716180000104941e+02,507,523
44,8.693100799766534381e-01,4.410047209567172777e-01,1.752400416200002655e+04,1.320375289999647066e+02,526,530
45,8.640729259647266236e-01,4.408666600691749649e-01,1.768003420799999731e+04,2.119950979999848641e+02,531,537
