# Idx, longitude, latitude, start timestamp, duration, start frame, end frame
0,3.850118543114486869e-01,4.277448672633568094e-01,0.000000000000000000e+00,2.720091759999049827e+02,1,7
1,4.814583271515688878e-01,4.551981520646148915e-01,3.679912169999442995e+02,2.799931860000360757e+02,10,17
2,5.041115935226514466e-01,4.838436037986403315e-01,6.920116429999470711e+02,1.119577590000117198e+02,18,21
3,4.198604644163660415e-01,4.916468044342825472e-01,8.839908339999383315e+02,2.760065980000654235e+02,23,30
4,3.511913453981838629e-01,5.623753760098652021e-01,1.251961807999992743e+03,1.999954179999185726e+02,32,37
5,3.073662562319571245e-01,5.834012295104334944e-01,1.531956704999902286e+03,2.440072630000067875e+02,39,45
6,2.017750746361805514e-01,5.161282007764624868e-01,2.124010552999912761e+03,1.199631529999896884e+02,54,57
7,1.683418679793068362e-01,4.861376460287775148e-01,2.311989755999995396e+03,2.440371980000054464e+02,58,65
8,1.123076187122041825e-01,4.473604537802253756e-01,2.635946318999980576e+03,1.920604459999594837e+02,66,71
9,7.929092137754950587e-02,4.922923450384839583e-01,2.908047013000003062e+03,2.399516799999400973e+02,73,79
10,7.128455211793688351e-02,4.829680315634770071e-01,3.196001401999965310e+03,1.120113589999964461e+02,80,83
11,4.464666242685321196e-01,4.915594384099444270e-01,3.823998692999943160e+03,1.639390739999944344e+02,96,100
12,4.218817019367753218e-01,4.723601942733619552e-01,4.031978406999958679e+03,2.799735149999614805e+02,101,108
13,4.004206039175768339e-01,4.974122937377986053e-01,4.356024493000004441e+03,1.559359619999304414e+02,109,113
14,4.646937848873726740e-01,4.758687958065161983e-01,4.583995879999944009e+03,2.879851799999596551e+02,115,122
15,4.921825085072215611e-01,4.785645991953977330e-01,4.911927342999959365e+03,2.040162189999828115e+02,123,128
16,4.723101638879561026e-01,5.107822439456521924e-01,5.171952519999933429e+03,4.800134079999988899e+02,130,142
17,5.246192081385884221e-01,4.849744305720332660e-01,5.731957138999947347e+03,3.200629190000472590e+02,144,152
18,5.530066858908472271e-01,4.810111389294835504e-01,6.111991655999911018e+03,2.080105050000129268e+02,153,159
19,4.900340313509260470e-01,5.446696597405366047e-01,6.423976479999953881e+03,3.240523579999571666e+02,161,169
20,4.741462660471356116e-01,5.204846408068170005e-01,6.779973432999919169e+03,5.280400670000817627e+02,170,183
21,4.288959371191249925e-01,4.694561156305011584e-01,7.383994458999950439e+03,3.679612800000468269e+02,185,194
22,3.787620335064646460e-01,4.773751802456460691e-01,7.912027398000005633e+03,3.199349079999374226e+02,198,206
23,4.107414321678842795e-01,4.803691072555011932e-01,8.287956722999922931e+03,1.920444800000404939e+02,208,213
24,3.853513615282684324e-01,5.058737280703218264e-01,8.672023158999974839e+03,2.079640339999459684e+02,217,223
25,4.633885810962881102e-01,5.036115957711821967e-01,8.967996340999961831e+03,1.919797620000317693e+02,225,230
26,4.204165213762545150e-01,5.174134795724909530e-01,9.227989586999989115e+03,4.479544870000099763e+02,231,242
27,3.318551416091689577e-01,5.474991480636520746e-01,9.771948922000010498e+03,2.240435299999080598e+02,245,250
