# Idx, longitude, latitude, start timestamp, duration, start frame, end frame
0,9.613155979182330668e-04,5.161161833602532223e-01,0.000000000000000000e+00,4.599675670000142418e+02,1,14
1,4.314839058479841283e-02,5.154302171032929536e-01,5.159762400000181515e+02,2.680499569999810774e+02,16,24
2,9.999699288080700077e-01,5.548384728382600439e-01,8.720205200000200421e+02,8.005564399997820146e+01,27,29
3,1.965792173163610768e-02,6.011268414441153229e-01,1.008007574000017485e+03,1.800142939999932423e+02,31,36
4,4.900439662308980759e-02,6.408933710773445647e-01,1.239978379000007408e+03,4.920438800000119954e+02,38,53
5,2.860966493615801909e-02,7.313905923667091136e-01,1.832030517000006512e+03,9.995294799999101087e+01,56,59
6,3.250622947654574491e-02,8.270029256836732845e-01,2.188035738000005949e+03,1.040051099999982398e+02,66,69
7,6.578413708550556738e-02,6.776149689239497897e-01,2.944027520000003278e+03,2.439821740000043064e+02,89,96
8,5.729397786671797110e-02,6.613279249978162300e-01,3.204024472000019159e+03,2.359522609999985434e+02,97,104
9,2.536629035045590008e-03,6.244127896026832047e-01,3.524010413000010885e+03,2.160275869999895804e+02,106,113
10,9.693251698217281165e-01,5.898074565476862929e-01,3.800035257000010461e+03,1.919646509999874979e+02,115,120
11,9.416622428921340715e-01,4.838211693103143807e-01,4.092006741000019247e+03,9.604818399998475797e+01,123,126
12,8.460262061635708264e-01,3.266879285783368392e-01,4.584043207000009716e+03,1.519356890000053681e+02,138,143
13,7.549003777490246314e-01,3.690975210207965151e-01,4.835999697999999626e+03,3.360201060000108555e+02,146,156
14,7.503652332404532332e-01,3.820290679184039639e-01,5.208005443000001833e+03,3.479978319999936502e+02,157,167
15,7.053250682163481056e-01,3.589181433180157477e-01,5.632006756999995559e+03,3.119757010000175796e+02,170,179
16,6.521930314338332257e-01,3.229763219455232814e-01,6.024024701999995159e+03,3.239902060000167694e+02,181,191
17,5.884639579272367138e-01,2.985191570220988577e-01,6.435979294999997364e+03,2.480012640000204556e+02,194,201
18,5.890323355299780239e-01,3.065328948153481781e-01,6.715975617999996757e+03,3.040746550000039861e+02,202,211
19,5.514576091216809584e-01,3.177152819928117378e-01,7.071983976000017719e+03,4.039640249999938533e+02,213,225
20,6.209952421544934209e-01,3.068424598517903723e-01,7.571971096000022953e+03,2.360631659999780823e+02,228,235
21,7.513675253396184806e-01,3.668167308997103415e-01,7.940066944999998668e+03,1.039101710000250023e+02,239,242
22,7.408965981639812348e-01,3.336610470801597561e-01,8.064006992000009632e+03,1.799863539999932982e+02,243,248
23,7.520136271894068969e-01,3.561225678969779374e-01,8.299987194000015734e+03,2.560317459999932908e+02,250,257
24,7.756450690527078029e-01,3.303184491981925319e-01,8.627989362000022084e+03,3.760254049999930430e+02,259,271
25,7.245082491084268161e-01,3.915933360698872212e-01,9.084012249999999767e+03,1.680117639999953099e+02,273,278
26,6.627746036522582651e-01,4.114737756364084120e-01,9.352014309999998659e+03,1.879974500000244007e+02,281,287
27,7.440832062919340295e-01,3.863109557959971685e-01,9.640008613000012701e+03,2.040313299999979790e+02,290,296
28,7.541111298501440574e-01,3.590583764663504152e-01,9.900009557000012137e+03,4.799868940000014845e+02,298,312
29,7.146792745049980189e-01,3.603965773937378714e-01,1.058006000900000799e+04,8.399601719999918714e+02,318,343
30,5.352686378782235410e-01,3.324526646729961676e-01,1.155198586400001659e+04,2.239862250000005588e+02,347,354
31,5.180440314218186515e-01,3.433859280031797967e-01,1.181999191599999904e+04,2.680146050000039395e+02,355,363
32,4.740426181102159742e-01,3.675872960697702529e-01,1.213198215700002038e+04,4.920011139999842271e+02,365,379
33,6.011185612817847579e-01,4.053146403228279349e-01,1.276802076500002295e+04,2.840111359999864362e+02,384,392
34,6.198802222281496466e-01,3.954100463919398845e-01,1.310394935300000361e+04,5.560117580000078306e+02,394,410
35,6.230972626539205139e-01,3.986884745968009014e-01,1.370794700000001467e+04,1.639901069999905303e+02,412,417
36,6.491522302345955620e-01,4.019219730143597236e-01,1.393195802800002275e+04,8.798092299999552779e+01,419,421
37,6.396625782165306084e-01,3.948060080746713663e-01,1.410800768700000481e+04,2.480052549999963958e+02,424,431
38,6.296921960354757708e-01,3.943180411694076071e-01,1.436395447200001217e+04,3.840504699999873992e+02,432,443
39,5.882673807918470388e-01,3.943165747032877366e-01,1.479995860199999879e+04,5.160087409999978263e+02,445,460
40,5.410585687482237782e-01,3.947798058840128466e-01,1.538399992900001234e+04,3.880056979999935720e+02,462,474
41,6.164825469294106242e-01,4.119372551249415038e-01,1.585197488500000327e+04,2.760556349999969825e+02,476,485
42,5.349931354969681419e-01,4.068951566299566780e-01,1.620804368400000385e+04,2.239294890000019222e+02,487,494
43,4.751201024641846793e-01,4.211961695037486075e-01,1.650002201000001514e+04,1.679630109999852721e+02,496,501
44,4.458661462018296273e-01,4.558092326169762565e-01,1.673597626700002002e+04,1.200184629999857862e+02,503,506
45,4.156464792024030519e-01,5.110479733353472387e-01,1.693603184199999669e+04,1.319645430000091437e+02,509,513
46,3.826313301531226729e-01,5.490166202492723357e-01,1.712400420200001099e+04,4.040030850000039209e+02,514,526
47,3.408883123723365216e-01,6.107510384550024485e-01,1.760401618600002257e+04,1.479776099999726284e+02,529,533
48,2.993577029233280840e-01,6.415542661274841185e-01,1.782003949700001976e+04,1.199266589999897406e+02,535,539
49,2.549939604276467708e-01,6.936513948221798564e-01,1.802799469200000749e+04,4.959905530000105500e+02,542,556
50,5.278772136582992047e-01,4.150560605627200417e-01,1.899197388600002159e+04,1.560462960000149906e+02,570,575
51,4.908500146548262499e-01,4.111703890983884335e-01,1.919199182700001984e+04,2.679977829999988899e+02,576,584
52,5.535880905695832466e-01,3.751164048219248759e-01,1.953996713600002113e+04,2.200509549999842420e+02,587,593
53,6.284207817039542121e-01,3.716211523408403661e-01,1.984000359900001786e+04,1.679473310000030324e+02,596,601
0,5.039539262714548551e-01,4.909654024200618139e-01,0.000000000000000000e+00,1.799896060000028228e+02,1,6
1,5.017271687736111208e-01,4.992299966074753570e-01,3.480154480000019248e+02,3.040269530000005034e+02,11,20
2,5.130107457566152052e-01,4.756180080980502156e-01,6.721141999999999825e+02,6.599083840000021155e+02,21,41
3,5.778282349311127941e-01,4.698403012263814293e-01,1.420010691000003135e+03,3.880019560000000638e+02,43,55
