# Idx, longitude, latitude, start timestamp, duration, start frame, end frame
0,5.038895305265013169e-01,4.933166145814572578e-01,3.991435000003548339e+00,2.399730619999900227e+02,1,8
1,4.952219132549140479e-01,4.848684187674017210e-01,2.720037589999992633e+02,1.999697589999996126e+02,9,15
2,4.675813900459493411e-01,4.802878697466088642e-01,5.279756329999945592e+02,3.720097360000072513e+02,17,28
3,6.379774980584986821e-01,5.983387900522045832e-01,1.243994047999993199e+03,2.799655310000089230e+02,38,47
4,7.398128132272586699e-01,6.280415699423972375e-01,1.703998961999997846e+03,1.680454060000047321e+02,52,57
5,7.167702617481734872e-01,6.248762213694267764e-01,1.904016904000003706e+03,1.879692240000003949e+02,58,64
6,7.013112814372488568e-01,6.447444895410023857e-01,2.123974914999998873e+03,1.239885150000045542e+02,65,69
7,7.681637893933168648e-01,7.653548503507363598e-01,2.447985933000003570e+03,4.879817380000022240e+02,75,89
8,7.977916699576531601e-01,7.249910132527254136e-01,2.963963027000005241e+03,2.480237869999982649e+02,90,97
9,6.913817003230364744e-01,5.858283996401900673e-01,3.891971978000001400e+03,1.000014149999915389e+02,118,121
10,6.971858628070215502e-01,6.179827120018401843e-01,4.023986413000005996e+03,1.119671679999883054e+02,122,125
11,6.819906885461817225e-01,6.256511588022783954e-01,4.171995955000005779e+03,2.679709839999995893e+02,126,134
12,6.481397520232011766e-01,5.290911312384900533e-01,4.503997826000006171e+03,4.039597489999869140e+02,136,148
13,5.565990324158509583e-01,4.900905931950689798e-01,5.007931905999997980e+03,2.320192720000050031e+02,151,158
14,4.958989847763987102e-01,5.658071054748413653e-01,5.331966587000002619e+03,2.039885639999993145e+02,161,167
15,4.893108897741401675e-01,6.231178810250020961e-01,5.575937927000006312e+03,1.120062269999907585e+02,168,172
16,3.346538235203941891e-01,5.466187877172280496e-01,6.155954461999994237e+03,6.600476600000110921e+02,186,206
17,3.707306723756278455e-01,4.911464192390483374e-01,6.876035302000003867e+03,2.439562289999885252e+02,207,215
18,3.604000383211889424e-01,5.006228439738645841e-01,7.143974638999992749e+03,9.999542900000233203e+01,215,218
19,3.786313686335766038e-01,6.325110000143732147e-01,8.659949068000001716e+03,1.800487909999937983e+02,261,266
20,4.423675529695472175e-01,4.674101840983369005e-01,9.059997780000005150e+03,2.239662669999961508e+02,273,280
21,4.171985139930383113e-01,4.862209118355373949e-01,9.315975642000004882e+03,1.307998135000001639e+03,281,320
