# Idx, longitude, latitude, start timestamp, duration, start frame, end frame
0,4.961082930686189219e-01,5.233120497785805902e-01,0.000000000000000000e+00,4.279744930000160821e+02,1,11
1,4.752148208388382589e-01,5.108531337956245810e-01,4.719555750000290573e+02,1.440022330000065267e+02,12,16
2,4.326359157016735901e-01,5.492117016697921628e-01,6.799491080000298098e+02,2.680415759999887086e+02,18,24
3,3.611661718274947752e-01,5.374518707942468332e-01,1.159967670999991242e+03,1.479848330000531860e+02,30,33
4,3.264479314308157409e-01,6.012152343674346255e-01,1.395958003000007011e+03,2.120174720000359230e+02,35,41
5,3.173954046312723598e-01,4.877638730339397544e-01,1.699988662000047043e+03,2.319498569999705069e+02,43,49
6,3.717941358399781127e-01,4.675638531828908429e-01,2.007934352000011131e+03,1.600104639999917708e+02,51,55
7,5.556242366956954948e-01,3.012371464745144944e-01,2.504011040000012144e+03,1.239378460000152700e+02,63,66
8,5.420951216645095716e-01,3.017007667634299395e-01,2.659929140000022016e+03,8.799580600002082065e+01,67,69
9,6.381817731671007854e-01,5.034111447422193741e-01,2.959930158000031952e+03,8.004885299998568371e+01,75,77
10,7.158719009593941252e-01,5.319500036162067014e-01,3.315959842000040226e+03,2.919696750000002794e+02,83,91
11,6.889000661690989347e-01,6.189059533963602311e-01,3.683969826000044122e+03,1.679699619999737479e+02,93,97
12,7.232864446787343748e-01,4.643728205973133294e-01,3.963941240000014659e+03,9.199950199999148026e+01,100,102
13,7.471518958740019922e-01,4.583696805591618295e-01,4.111963991000025999e+03,2.120074940000195056e+02,103,109
14,8.107908707119161340e-01,4.581848393759195837e-01,4.411961018000030890e+03,2.479931549999746494e+02,111,117
15,8.926739498380201754e-01,4.875186343283305357e-01,4.779976419000013266e+03,1.560227329999906942e+02,120,124
16,9.364081862432758196e-01,4.971047371729149233e-01,5.011984151000040583e+03,2.279795159999630414e+02,126,132
17,9.446207168824236611e-01,4.807532262643745558e-01,5.283937621000048239e+03,1.320048279999755323e+02,133,136
18,9.638030431743375148e-01,4.711028721277688014e-01,5.463998503000009805e+03,2.319815030000172555e+02,137,143
19,9.647334086822391130e-01,6.066679141363358063e-01,5.788017142000026070e+03,1.439349490000167862e+02,145,149
20,9.267230891165256779e-01,6.868370885227610412e-01,5.996034053000039421e+03,2.599187149999779649e+02,151,157
21,8.770851589397066217e-01,7.337445125756991704e-01,6.319978564999997616e+03,2.280621960000135005e+02,159,164
22,8.450489837968772067e-01,8.293580901183082998e-01,6.632007495000027120e+03,1.799291639999719337e+02,166,171
23,8.314840179104587836e-01,8.449684990291038700e-01,6.847934295000042766e+03,6.360629649999900721e+02,172,188
24,7.960517267665765395e-01,9.044232371999840758e-01,7.555955184000020381e+03,1.680224199999938719e+02,190,194
25,7.378551971168052503e-01,9.298539587365295400e-01,7.788002830000012182e+03,2.559691880000173114e+02,195,202
26,6.086489336943173845e-01,9.051843624315560888e-01,8.135933032000029925e+03,3.920284600000013597e+02,204,214
27,5.247260901176085124e-01,9.074394031388151038e-01,8.587990434000035748e+03,2.119399240000057034e+02,215,221
28,5.006033989612690416e-01,8.967782648506399390e-01,8.807931195000011940e+03,1.480179050000151619e+02,221,225
29,5.648163232042827664e-01,8.482800953569790137e-01,9.027987708000000566e+03,2.760170389999984764e+02,226,233
30,4.824214205145008760e-01,8.735875637561818507e-01,9.359939329000015277e+03,1.679614080000319518e+02,235,239
31,3.976083956298022137e-01,8.592948124297465906e-01,9.591910853000008501e+03,4.719997660000226460e+02,240,252
32,4.873081922961746137e-01,8.312413924811956623e-01,1.011993871400004718e+04,1.919912889999686740e+02,254,258
33,4.681608026997220451e-01,8.941803643022153691e-01,1.036392902800004231e+04,1.800149799999780953e+02,260,264
34,4.032491659876749068e-01,7.357399636083026273e-01,1.069994421800004784e+04,8.796472899999935180e+01,268,270
35,4.123319089816417371e-01,6.281715571926915764e-01,1.087193355700001121e+04,1.159894680000143126e+02,272,275
36,4.106889403318775278e-01,6.009473645329846958e-01,1.103196911000000546e+04,9.195531200000550598e+01,276,279
37,3.951808043285057748e-01,5.742887781740131370e-01,1.118398016300000018e+04,1.240034200000227429e+02,280,283
38,4.093672572133617571e-01,5.135573413106924168e-01,1.137198343600000953e+04,1.439423609999939799e+02,285,288
39,4.251503098588202967e-01,5.022158004504548856e-01,1.155998784800001886e+04,1.679448730000294745e+02,290,294
40,4.608645769371234602e-01,5.131767524102365252e-01,1.178393401700002141e+04,2.440932349999784492e+02,295,301
41,3.943199777203121315e-01,5.644274465185107337e-01,1.211197944600001210e+04,2.079824140000273474e+02,303,309
42,3.618405992805315829e-01,6.384931816758350198e-01,1.240797990299999947e+04,1.359517890000133775e+02,311,314
43,3.162599229898037656e-01,6.943225818903924207e-01,1.265593571000004886e+04,2.320120089999982156e+02,317,323
44,4.010655706389301134e-01,6.025316265745659372e-01,1.299200763500004541e+04,3.600214069999638014e+02,325,334
45,4.081138640452042221e-01,5.926568918680659159e-01,1.336801931100001093e+04,2.959417259999900125e+02,335,342
46,2.633265793964442159e-01,6.400485536003364118e-01,1.379595046900003217e+04,2.320085869999602437e+02,345,351
47,2.595222734765603168e-01,6.111820156150515881e-01,1.407203735800000140e+04,2.039011680000112392e+02,352,357
48,2.637408112402352955e-01,5.824622257445429829e-01,1.430799461799999699e+04,2.119416340000461787e+02,358,364
49,2.712451524554395643e-01,5.383338233119341343e-01,1.457592528900003526e+04,1.120199840000132099e+02,365,368
50,2.689503155126475864e-01,5.188356632301764915e-01,1.471201250200002687e+04,1.759474189999746159e+02,368,373
51,3.237065692740490608e-01,5.280907917143986552e-01,1.495600623600004474e+04,1.799325850000022911e+02,374,379
52,3.665915777019976840e-01,8.673082448870855776e-01,1.554799888200004352e+04,9.994531499996082857e+01,389,392
53,4.421356294758751471e-01,8.705400447924116492e-01,1.570797713000001386e+04,1.999815769999986514e+02,393,398
54,5.540969502386025036e-01,8.692790503084726339e-01,1.599195908300002338e+04,2.399880419999826699e+02,400,406
55,4.941553638880533672e-01,8.850679344275347304e-01,1.627595329500001390e+04,3.119602210000157356e+02,407,415
56,5.162520402207881887e-01,8.530572105307456798e-01,1.661991030600003432e+04,2.120653689999599010e+02,416,421
57,5.433877158586134515e-01,8.020859954260630698e-01,1.689991821200004779e+04,2.799913709999527782e+02,423,430
58,5.183814141413387588e-01,7.568543914976534337e-01,1.722392601699999068e+04,1.119826360000297427e+02,431,434
59,4.838849964016791461e-01,8.605129824596730037e-01,1.741192472800001269e+04,7.279863449999829754e+02,436,454
60,5.270629068556794694e-01,7.546994361951089303e-01,1.826397350900003221e+04,4.239995909999706782e+02,457,468
61,6.167009563961270979e-01,8.044656759559072334e-01,1.877592785100004403e+04,2.680886179999797605e+02,470,477
62,4.603762511836638760e-01,8.869499509150935435e-01,1.913199089200003073e+04,2.719794140000012703e+02,479,486
63,4.892628172762021332e-01,8.651835708039379291e-01,1.942796968100004597e+04,4.079788149999803863e+02,486,496
64,4.290688490508376418e-01,8.161856434175671637e-01,1.989195150300004752e+04,1.239729139999835752e+02,498,501
0,9.950117596137789677e-01,5.038795836865265221e-01,8.795988300000317395e+01,1.240099769999505952e+02,5,8
1,9.972453960892159186e-01,5.503448884126462826e-01,2.560162299999501556e+02,3.119796080000232905e+02,9,17
2,2.112230753012922513e-03,6.496002074570527141e-01,6.799930129999993369e+02,2.119940939999651164e+02,20,25
3,9.443572869267793379e-01,7.187348436805720553e-01,9.840416340000228956e+02,2.119960890000220388e+02,27,32
