# Idx, longitude, latitude, start timestamp, duration, start frame, end frame
0,5.066547546488144871e-01,5.222927764686550178e-01,0.000000000000000000e+00,3.599684320000087610e+02,1,9
1,5.388057595975689340e-01,3.828998957785019197e-01,5.719495600000082050e+02,5.679994639999931678e+02,15,29
2,5.378504731532657290e-01,3.817050947939393257e-01,1.151963243000005605e+03,3.800370830000028946e+02,29,39
3,4.891523239572410642e-01,3.655359367924498892e-01,1.588041215000004740e+03,2.440021310000010999e+02,40,46
4,4.675864058221952391e-01,3.705229750624092766e-01,1.875999024999997346e+03,1.559901320000062697e+02,47,51
5,5.362510398405528900e-01,3.857188055760875089e-01,2.111993767000007210e+03,3.360300849999912316e+02,53,62
6,5.266821932912636450e-01,3.966797073137062757e-01,2.480004941000006511e+03,8.802596899999480229e+01,63,65
7,4.193645071390257328e-01,5.293432920785949847e-01,2.715995691000003717e+03,1.759857959999935701e+02,68,73
8,3.545755274942740121e-01,5.218797291080302658e-01,2.971980680000007851e+03,2.600243219999974826e+02,75,81
9,3.202576595562862671e-01,5.123282450373554120e-01,3.295976873000006890e+03,2.680342769999988377e+02,83,90
10,2.312706696166960674e-01,5.135893964335210837e-01,3.664041645999997854e+03,1.119389420000079554e+02,92,95
11,2.147541195767234679e-01,5.164883129837258835e-01,3.831979852999997092e+03,2.119973780000000261e+02,96,102
12,2.318355768355346291e-01,5.136025493407195830e-01,4.055977765999996336e+03,1.200435520000028191e+02,102,105
13,2.426922046089312612e-01,3.957684255966886777e-01,4.280023006999996142e+03,1.200010710000060499e+02,108,111
14,2.475250567968514948e-01,3.741692913852066038e-01,4.428050510000000941e+03,1.519316970000072615e+02,111,115
15,2.361942823801314040e-01,3.302481841677793462e-01,4.611974985000008019e+03,7.080215739999985090e+02,116,133
16,2.392456442138567452e-01,3.485726467341367929e-01,5.515999687000003178e+03,2.280158629999932600e+02,139,144
17,2.356773191517128052e-01,3.799838677160716216e-01,5.764009218999999575e+03,1.119728690000047209e+02,145,147
18,2.343468217904639550e-01,4.115446907901744167e-01,5.912017619999998715e+03,1.759538640000100713e+02,148,153
19,2.303817269237299348e-01,4.766914664422056136e-01,6.156005780999999843e+03,2.240135940000036499e+02,154,160
20,2.381399430818236240e-01,5.129568498558914058e-01,6.428003553000002285e+03,8.402598099999886472e+01,161,163
21,2.384913120817718779e-01,5.852635525199985089e-01,6.580021066000001156e+03,3.039489239999966230e+02,165,173
22,2.361545735580846128e-01,6.453293551250636195e-01,6.935994640999997500e+03,6.159779390000039712e+02,174,189
23,2.390398788877938774e-01,5.576287057416700055e-01,7.619992337000003317e+03,4.119628609999926994e+02,191,201
24,2.424772220270234868e-01,4.666590733113813450e-01,8.123988284000006388e+03,1.880048620000015944e+02,204,208
25,2.435857667559244155e-01,3.888078432210868574e-01,8.379984962000002270e+03,1.559795829999929992e+02,210,214
26,2.467983219723094979e-01,3.394082355353624791e-01,8.579976389000003110e+03,1.320175719999970170e+02,215,218
27,2.471015615850644109e-01,3.096605318677017049e-01,8.748014382000008482e+03,4.800020049999875482e+02,219,231
28,1.576226594666881864e-01,4.416478402306487361e-01,9.340019761999996263e+03,3.879991399999998976e+02,234,244
29,1.161759271965085438e-01,5.152319971518219965e-01,9.820026614000002155e+03,6.919663109999964945e+02,246,263
30,2.598994031618683254e-01,5.410555599147477412e-01,1.067205403500000830e+04,8.398692299998947419e+01,267,269
31,2.462554568776894048e-01,6.156450261904240495e-01,1.098400550199999998e+04,1.920082720000064000e+02,275,280
32,2.441673148981510222e-01,6.499690716265821289e-01,1.120399943599999824e+04,6.319941430000035325e+02,281,296
33,2.377784512408226969e-01,5.467799056238716870e-01,1.210001817399999709e+04,2.759883520000003045e+02,303,310
34,2.572936195358146438e-01,5.399954972914199347e-01,1.238797883500000171e+04,1.559858550000062678e+02,310,314
35,9.358088385541807330e-03,5.521544354484775319e-01,1.291201007600000594e+04,1.239562979999900563e+02,323,326
36,3.816835890470215986e-02,5.463745778416748688e-01,1.307997479700000258e+04,1.880638789999939036e+02,328,332
37,9.314863473184730180e-01,5.367570379238422174e-01,1.337200729300000239e+04,5.359858729999978095e+02,335,348
38,9.664528553414875045e-01,5.190979536606599165e-01,1.395999101700000756e+04,1.719410459999926388e+02,350,354
39,8.641739956586723670e-01,6.824705657324119379e-01,1.427595758299999579e+04,2.440255089999991469e+02,357,364
40,8.978277509424530400e-01,6.358484635496334247e-01,1.457593303400000150e+04,1.440412000000069384e+02,365,369
41,8.071367454011310061e-01,5.644383428374730727e-01,1.483599498899999890e+04,5.239850540000043111e+02,371,385
42,9.046798505478881314e-01,5.026686749919966335e-01,1.545993954799999483e+04,3.280788610000017798e+02,387,395
43,2.366106409138398203e-01,4.798775710601579370e-01,1.630003143800000544e+04,1.079822899999999208e+02,408,411
44,2.459487886129796408e-01,4.696203193782507723e-01,1.644799279800000659e+04,2.079888369999971474e+02,412,417
45,3.577642941394640896e-01,4.811009252500367817e-01,1.690398888600000646e+04,8.404707899999630172e+01,423,425
46,3.351546295046134993e-01,5.212771693736719669e-01,1.702801902599999448e+04,1.212014670000004116e+03,426,457
47,5.339778449579526409e-01,4.304171702835037916e-01,1.847597227199999907e+04,1.480218009999953210e+02,462,466
48,5.298415610919102736e-01,3.739148517066018806e-01,1.866802587500000664e+04,1.347950119999994058e+03,467,501
0,1.023696476835533886e-03,4.362152321031483870e-01,0.000000000000000000e+00,2.119946629999903962e+02,1,6
1,9.731276480730440825e-01,5.363582272057032529e-01,2.879525779999967199e+02,2.240322690000029979e+02,8,13
2,5.229817370014733235e-02,5.367984190788143151e-01,5.919561519999988377e+02,2.800307150000007823e+02,15,22
3,8.880255494448469067e-02,5.160550176129328204e-01,9.479769979999982752e+02,1.600500940000056289e+02,24,28
4,1.590345277154059378e-01,5.549769422795947094e-01,1.203975836999990861e+03,1.040160109999997076e+02,31,33
5,1.521641834196977849e-01,5.630006803496807599e-01,1.327955308000004152e+03,9.202573199999460485e+01,34,36
6,1.921920790998848383e-01,5.273483201591183667e-01,1.531970233000000007e+03,1.000120279999973718e+02,39,41
7,1.827178615016178398e-01,5.232461477531419325e-01,1.640005051000000094e+03,2.479749089999968419e+02,42,48
8,2.462886700656388150e-01,5.197320161232253932e-01,1.963958115999994334e+03,1.679993269999977201e+02,50,54
9,2.851374734836080727e-01,5.734948082731705643e-01,2.211960680000003777e+03,1.200621599999867612e+02,56,59
10,2.444475612507761575e-01,6.582924408975059372e-01,2.411960502999994787e+03,1.440658110000076704e+02,61,65
11,2.431319096087723453e-01,6.802792990278029306e-01,2.600059284999995725e+03,3.159274239999940619e+02,66,73
12,8.448107168368101938e-02,5.240977151790064958e-01,3.232033591999992495e+03,9.596185900000273250e+01,81,84
13,1.317934854637725639e-02,5.333205157469491642e-01,3.427996075999995810e+03,1.599853750000038417e+02,86,90
14,9.666709229743910559e-01,5.337212575595320363e-01,3.651956785000002128e+03,1.360792289999953937e+02,92,95
15,9.220389248018440176e-01,5.357789537237855892e-01,3.852003079999994952e+03,1.719710920000070473e+02,97,101
16,9.439175825693733035e-01,5.133914105683599072e-01,4.068042209999999614e+03,1.319372579999908339e+02,102,106
17,8.414014201255781700e-01,5.444712016922202968e-01,4.299962415999994846e+03,1.559967889999970794e+02,108,112
18,8.125022255774436708e-01,5.350941892168399328e-01,4.504007560999991256e+03,1.399797200000029989e+02,113,117
19,7.686837801545139959e-01,5.397793289861019250e-01,4.711965455999990809e+03,2.120054980000131764e+02,118,124
20,6.957977447744447819e-01,5.343524906663249530e-01,5.011985290999989957e+03,2.039456440000067232e+02,126,131
21,6.470083626597041837e-01,5.209446647886689652e-01,5.280035990000003949e+03,1.479129869999887887e+02,133,136
22,5.982717607520497971e-01,5.049552219601043390e-01,5.539932182999997167e+03,1.240233770000049844e+02,139,142
23,5.655530421917510653e-01,5.088068764698173707e-01,5.719966834999999264e+03,1.439905440000002272e+02,144,147
24,5.392780569125799062e-01,5.032051119621505642e-01,5.919949836999992840e+03,1.200134079999988899e+02,149,152
25,5.247393172293878250e-01,3.837553629305806568e-01,6.151949586000002455e+03,3.160431769999995595e+02,154,162
26,4.237366209659911842e-01,3.552817978696367618e-01,6.723997302999996464e+03,1.679622640000015963e+02,169,173
27,4.863255821824408187e-01,3.773652448100337509e-01,6.959978226999999606e+03,1.319734650000027614e+02,175,178
28,4.931766415260134817e-01,3.764416524899801830e-01,7.115988129999997909e+03,2.320142899999918882e+02,178,184
29,4.533981913639559824e-01,4.259287046283621869e-01,7.415957217000002856e+03,1.800263839999970514e+02,186,190
