# Idx, longitude, latitude, start timestamp, duration, start frame, end frame
0,1.070465355864946844e-02,5.271425986329525415e-01,0.000000000000000000e+00,4.359536669999943115e+02,1,11
1,4.505598870148047608e-02,5.384825494719162053e-01,4.919686130000045523e+02,3.800747149999951944e+02,12,21
2,7.300150485517797883e-02,4.162084719746765860e-01,9.920022049999679439e+02,4.239425829999963753e+02,24,35
3,9.554269255422112028e-01,3.575238788561632131e-01,1.532012300000002142e+03,6.159608339999685995e+02,37,52
4,8.735383872195567889e-01,3.156917105113743460e-01,2.223968347999965772e+03,2.679709840000141412e+02,54,60
5,8.689233888613510093e-01,2.920209265416603417e-01,2.535972558999957982e+03,2.239443140000221319e+02,61,67
6,8.630804757878484113e-01,2.671189668652271809e-01,2.791940441999991890e+03,1.480568690000218339e+02,68,71
7,8.686010626677670432e-01,2.239540099396637451e-01,2.983947287999966647e+03,2.119942420000443235e+02,72,77
8,7.772717614103398232e-01,3.372155909637043480e-01,3.295944941999972798e+03,2.680314249999937601e+02,80,86
9,7.935755157877916188e-01,3.536319058966597151e-01,3.595993378999992274e+03,1.120258990000002086e+02,87,90
10,8.315602456347862548e-01,4.060865725149924721e-01,3.775966902999964077e+03,1.560046720000100322e+02,91,95
11,7.692208747996075457e-01,4.899687055275788738e-01,4.031981828999996651e+03,2.119876850000000559e+02,97,102
12,7.364737878978324659e-01,4.856941195068610329e-01,4.299987595000013243e+03,2.679758309999597259e+02,104,110
13,6.677713319510121259e-01,5.368275007792341347e-01,4.735978609999991022e+03,4.160170190000208095e+02,114,124
14,6.485615597689979861e-01,4.898325653160020554e-01,5.216001713000005111e+03,2.559379469999694265e+02,126,132
15,6.729007557813633245e-01,4.713517109527921578e-01,5.532001920000009704e+03,2.080219099999521859e+02,133,138
16,5.973925501281566186e-01,4.146761548642764472e-01,5.819947755999979563e+03,1.439992900000070222e+02,140,144
17,5.401372642021795567e-01,5.001138172498754697e-01,6.043964771999977529e+03,1.920051349999848753e+02,146,150
18,5.259262838733239631e-01,4.704063106076005196e-01,6.287952931999985594e+03,1.000111090000136755e+02,151,154
19,5.155611444182178760e-01,4.811773374921126667e-01,6.411970242999959737e+03,1.319939080000040121e+02,154,158
20,5.051257191227618293e-01,4.864280671208622842e-01,6.579990273999981582e+03,1.879552549999789335e+02,158,163
21,4.784515722223801060e-01,4.936614406306041314e-01,6.823943938000011258e+03,5.040392819999833591e+02,164,176
22,4.508144742826221130e-01,4.949780428470527127e-01,7.383972790999978315e+03,3.799675169999827631e+02,178,187
23,5.390205629907244278e-01,5.270636242045894093e-01,7.852003626999969129e+03,4.559881049999967217e+02,189,200
