# Idx, longitude, latitude, start timestamp, duration, start frame, end frame
0,5.075129546864466379e-01,4.738981466525823416e-01,6.001806999999098480e+01,1.439904509999905713e+02,5,10
1,4.401349523614874748e-01,3.931726552830616672e-01,3.040087969999876805e+02,6.920341649999609217e+02,13,33
2,5.656219584085129259e-01,3.927490475143999848e-01,1.112064572999952361e+03,1.999164450000389479e+02,37,43
3,5.611585171288547835e-01,3.154067826553281773e-01,1.375971990999998525e+03,1.680448349999496713e+02,45,50
4,5.455836965273619388e-01,2.784294844980468309e-01,1.579959413999982644e+03,2.120592460000189021e+02,51,57
5,6.582469539431348160e-01,3.111677421824348144e-01,1.891966760999988765e+03,1.560100889999885112e+02,60,65
6,6.988322110980305091e-01,3.441525365553834703e-01,2.163985346000001300e+03,1.000498829999705777e+02,68,71
7,7.268369724708549917e-01,3.972873587122053296e-01,2.371965059999958612e+03,1.880707210000255145e+02,75,80
8,7.834083763420192081e-01,4.141457711541640663e-01,2.639956000999954995e+03,2.000059670000337064e+02,83,89
9,8.286339388659658134e-01,4.327011740379973492e-01,2.940001871999993455e+03,8.005478899995796382e+01,92,94
10,8.954915646551502295e-01,4.648058559782806132e-01,3.255997803999984171e+03,1.679983629999915138e+02,101,106
11,9.242318513239107247e-01,4.872013350350644645e-01,3.475976056999992579e+03,2.040433029999840073e+02,107,114
12,9.341621527446647422e-01,4.786195738953107348e-01,3.723959929000004195e+03,4.359838879999588244e+02,115,128
13,8.740842008405707020e-01,4.453960461299136808e-01,4.239947857999999542e+03,1.840299629999790341e+02,131,136
14,5.498092204783175951e-01,3.972221891903054969e-01,5.263965362999995705e+03,1.920071309999912046e+02,161,167
15,4.403428457625842007e-01,3.827052082986606152e-01,5.567987843999988399e+03,4.439884259999962524e+02,170,184
16,3.899731066466151086e-01,3.950867069546785126e-01,6.079981486000004224e+03,1.480049799999687821e+02,186,190
17,2.811504110404245971e-01,4.027995750375394923e-01,6.316003882999997586e+03,1.999928519999957643e+02,193,199
18,2.633434687837663546e-01,4.293537245819164516e-01,6.571988016999966931e+03,1.600317440000362694e+02,201,205
19,2.137833627543658244e-01,4.628320019949321296e-01,6.832055674000002909e+03,2.319197719999938272e+02,208,215
20,1.704343019024582295e-01,4.469223667316429838e-01,7.140008008999982849e+03,5.919557720000157133e+02,218,235
21,2.277310518493906866e-01,5.435010219980216384e-01,7.832020791999995708e+03,2.119768509999848902e+02,238,245
22,2.581889284419898178e-01,5.317043358450413981e-01,8.099984647999983281e+03,2.599975219999905676e+02,246,254
23,3.109639365193499483e-01,4.963891867246327250e-01,8.440043230999959633e+03,9.994981200003530830e+01,256,259
24,4.900655831346327762e-01,4.248664353912673386e-01,8.904029031999991275e+03,1.279973410000093281e+02,270,274
25,5.765884620143719719e-01,4.051404830468707807e-01,9.231995276999950875e+03,4.439639070000266656e+02,280,294
26,5.818899398099478537e-01,4.785397390793757477e-01,9.755933858999982476e+03,2.240737509999889880e+02,296,303
27,5.609132045325884164e-01,5.288737333822561837e-01,1.003604422300000442e+04,1.119646019999636337e+02,304,308
28,4.748149064446436363e-01,7.136905226194102392e-01,1.113596884499996668e+04,2.640459780000383034e+02,337,345
29,5.258609083644669724e-01,4.660105996391395999e-01,1.173995793999999296e+04,1.959891569999745116e+02,355,361
30,5.340402492856097805e-01,4.289734773793802969e-01,1.197995922699995572e+04,9.202339200000278652e+01,363,365
31,5.634733432880461024e-01,3.937162980236922349e-01,1.213599582999997074e+04,1.679932319999788888e+02,367,372
32,4.483340599440197582e-01,3.700856863585036960e-01,1.241594254499999806e+04,8.359929709999705665e+02,376,401
33,5.181468713461525599e-01,3.213296758417512056e-01,1.334395805199997267e+04,1.400275269999983720e+02,403,408
34,5.678630860002278347e-01,2.959344061590183372e-01,1.358399697300000116e+04,2.240144499999587424e+02,411,417
35,5.202404228613377590e-01,2.737644401691945450e-01,1.387594963999994798e+04,2.480360460000229068e+02,419,427
36,5.704329987365857058e-01,3.860818099567076001e-01,1.425599784099997487e+04,4.679453050000010990e+02,431,445
37,4.512389159463661148e-01,3.769434557096774663e-01,1.482797733599995263e+04,2.800208420000271872e+02,448,456
38,4.278095899734584151e-01,3.602541545551468660e-01,1.515198094199999468e+04,4.480140729999984615e+02,458,471
39,4.443951489134408961e-01,3.671929943339593549e-01,1.569998474099999294e+04,1.079983697999967262e+03,474,506
40,5.104511647448647382e-01,4.659305252995337154e-01,1.687996244199998910e+04,2.120216120000113733e+02,510,516
41,5.420522028298315753e-01,4.813104209686783763e-01,1.718000489199999720e+04,8.393275300000095740e+01,518,521
42,5.122504930288857006e-01,4.467809694810084276e-01,1.749597887099999934e+04,7.039622839999501593e+02,528,549
43,5.211278767894236275e-01,3.027981847979004382e-01,1.842795616299996618e+04,9.595723599998746067e+01,556,559
44,4.566613250153289671e-01,2.639826126786144478e-01,1.858794628199998988e+04,1.839846319999778643e+02,561,566
45,5.230835762553214252e-01,3.075638745759785575e-01,1.894791585399996256e+04,4.480767960000084713e+02,571,585
